numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,64,Acier,,173,510,Suède,,livres,1078,,,,,,0
2,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,64,Acier,,864,2540,Suède,,livres,1078,,,,,,0
3,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyanne,,64,Acier,,41,120,Suède,,livres,1078,,,,,,0
4,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,64,Acons gabares démontés,,4600,6,Nantes,,en nombres,,,,,,,0
5,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,64,Alambics en cuivre,,550,2,Nantes,,en nombres,,,,,,,0
6,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,64,Amandes cassées,,105,150,Marseille,,livres,,,,,,,0
7,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,64,Amandes en coques,,3115,4450,Marseille,,livres,,,,,,,0
8,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,64,Amandes en coques,,245,350,Marseille,,livres,,,,,,,0
9,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,64,Amidon,,189,526,Nantes,,livres,,,,,,,0
10,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,64,Arbres fruitiers,,100,100,Nantes,,pieds,,,,,,,0
11,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,64,Ardoises,,79262,3170500,Anjou,,en nombres,3406000,,,,,,0
12,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,64,Ardoises,,975,39000,Anjou,,en nombres,3406000,,,,,,0
13,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Guadeloupe,,64,Ardoises,,4912,196500,Anjou,,en nombres,3406000,,,,,,0
14,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,64,Ardoises,,300,12000,Anjou,,en nombres,,,,,,,0
15,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,64,Ardoises en carreaux d'un pied carré,,849,2425,Anjou,,en nombres,,,,,,,0
16,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,64,Argent en piastres gourdes,,140075,26000,Espagne,,en nombres,,,,,,,0
17,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,64,Armes à feux,,193152,24144,Ostende,,en nombres,,,,,,,0
18,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,64,Fusils de traitte,,3756,626,Dunkerque,,en nombres,,,,,,,0
19,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,64,Fusils de traitte,,4278,713,Marseille,,en nombres,,,,,,,0
20,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,64,Fusils de traitte,,3160,395,St Etienne,,en nombres,,,,,,,0
21,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,64,Fusils de traitte,,1204,172,Hollande,,en nombres,,,,,,,0
22,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,64,Fusils de traitte,,1484,212,Valenciennes,,en nombres,,,,,,,0
23,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,64,Fusils de chasse,,9576,399,St Etienne,,en nombres,10152,,,,,,0
24,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,64,Fusils de chasse,,384,16,St Etienne,,en nombres,10152,,,,,,0
25,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Guadeloupe,,64,Fusils de chasse,,192,8,St Etienne,,en nombres,10152,,,,,,0
26,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,64,Pistolets,,736,10,St Etienne,,paires,,,,,,,0
27,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,64,Pistolets de traitte,,700,100,Dunkerque,,paires,,,,,,,0
28,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,64,Sabres de traitte,,12500,5000,Hollande,,en nombres,,,,,,,0
29,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyanne,,64,Barils à poudre,,18,30,Nantes,,en nombres,,,,,,,0
30,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,64,Barils à poudre,,13255,24292,Irlande,,en nombres,,,,,,,0
31,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,64,Beurre salé,,10072,14389,Irlande,,livres,27581,,,,,,0
32,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,64,Beurre salé,,4812,6875,Irlande,,livres,27581,,,,,,0
