goods_simpl_classification,nbr_occurences_simpl,ulrich_classification,obsolete,nbr_occurences_ulrich
,2700,,non,2700
???,90,out,non,488241
??? blanc,2,out,non,488241
??? brun,2,out,non,488241
??? d'Anjou et de Touraine,1,out,non,488241
??? d'argent,1,out,non,488241
??? d'une valeur moindre de deux mille francs chacun,473,out,non,488241
??? de boutard,1,out,non,488241
??? de fer,2,out,non,488241
??? de morue,1,out,non,488241
??? de nacre de perle,1,out,non,488241
??? des ci-devant provinces d'Alsace,1,out,non,488241
??? des ci-devant provinces de Bourgogne,1,out,non,488241
??? des ci-devant provinces de Provence,2,out,non,488241
??? des ci-devant provinces du Languedoc,1,out,non,488241
??? diverses,4,out,non,488241
??? fer,1,out,non,488241
??? forts de fer,1,out,non,488241
??? gras,1,out,non,488241
??? particulièrement en chevaux,6,out,non,488241
??? pieds,1,out,non,488241
??? pruneaux,1,out,non,488241
??? raisins secs,1,out,non,488241
???sse,1,out,non,488241
?ufs,1,out,non,488241
à jamis,276,cotton goods,non,14762
abassis,4,out,non,488241
abats,2,out,non,488241
abattis de morue,1,out,non,488241
abricots confits,1,out,non,488241
absinthe,19,out,non,488241
acacia,5,out,non,488241
acacia germanica,1,out,non,488241
acacia vera,1,out,non,488241
acajou,1,out,non,488241
acétates d'étain,1,out,non,488241
acétates de fer,3,out,non,488241
acétates de plomb,29,out,non,488241
acétates de plomb sel de Saturne,2,out,non,488241
acétates de potasse et de soude,2,out,non,488241
acétates de sel d'étain,1,out,non,488241
achia,7,out,non,488241
acide arsénieux,8,out,non,488241
acide benzoïque,1,out,non,488241
acide benzoïque et phosphorique,2,out,non,488241
acide borique,3,out,non,488241
acide borique et benzoïque,2,out,non,488241
acide citrique,2,out,non,488241
acide citrique et muriatique et phosphorique,2,out,non,488241
acide citrique et oxalique et tartrique,2,out,non,488241
acide de potasse crème de tartre,5,out,non,488241
acide de potasse lie de vin desséché et liquide,4,out,non,488241
acide de potasse lie de vin desséchée,3,out,non,488241
acide de potasse lie de vin liquide,2,out,non,488241
acide de potasse tartre brut impur,2,out,non,488241
acide muriatique,1,out,non,488241
