tax_department,nbr_occurence,tax_department_simpl,tax_department_grouping
[vide],1,,
Amiens,1173,Amiens,Amiens
Antilles par la Compagnie des Indes,45,Îles françaises de l'Amérique par la Compagnie des Indes,Colonies Françaises de l’Amérique
Auch,206,Auch,Bordeaux
Aunis et de la Saintonge,16,La Rochelle,La Rochelle
Basse Normandie,22,Caen,Caen
Bayonne,19780,Bayonne,Bayonne
Béarn,22,France,France
Besancon,1167,Besançon,Bourgogne
"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",218,France,France
"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",470,France,France
Bordeaux,37727,Bordeaux,Bordeaux
Bourgogne,763,Bourgogne,Bourgogne
"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",122,France,France
Bretagne,58,Rennes,Rennes
Caen,1566,Caen,Caen
Caën,125,Caen,Caen
Chalons,1059,Châlons,Châlons
Châlons,1435,Châlons,Châlons
Charleville,1546,Charleville,Charleville
Colonies Françaises de l'Amérique,744,Colonies Françaises de l'Amérique,Colonies Françaises de l’Amérique
comNantes,1,Nantes,Nantes
Directions de terre,3,France,France
Dunkerque,308,Dunkerque,Flandre
Flandre,2248,Flandre,Flandre
Flandre Françoise,115,Flandre,Flandre
France par la Compagnie des Indes,261,France par la Compagnie des Indes,France
Grenoble,1349,Grenoble,Lyoon
"Grenoble, Marseille et Lyon",307,"Grenoble, Lyon et Marseille",France
Guyenne,49,Bordeaux,Bordeaux
Haute Normandie,74,Rouen,Rouen
La Rochelle,31907,La Rochelle,La Rochelle
Langres,691,Langres,Langres
Languedoc,13,Montpellier,Montpellier
Le Havre,2402,Le Havre,Rouen
Lille,3083,Flandre,Flandre
Lille - port de Dunkerque - commerce privilégié,352,Dunkerque,Flandre
Lorient,542,Lorient,Rennes
Lyon,1879,Lyon,Lyon
"Lyon, Grenoble et Valence",407,Lyon,Lyon
Marseille,106246,Marseille,Marseille
Montpellier,4081,Montpellier,Montpellier
Nantes,47749,Nantes,Nantes
Narbonne,936,Narbonne,Narbonne
paris,1,Paris,France
Paris,175,Paris,France
Passeport du roy,54,France,France
Passeports,113,France,France
Picardie,52,Amiens,Amiens
Provence,33,Marseille,Marseille
Rennes,24937,Rennes,Rennes
Rouen,26876,Rouen,Rouen
Roüen,328,Rouen,Rouen
Roussillon,1,Montpellier,Montpellier
Saint Malo,1,Saint-Malo,Rennes
Saint Quentin,223,Saint-Quentin,Saint-Quentin
Saint-Malo,988,Saint-Malo,Rennes
Saint-Quentin,689,Saint-Quentin,Saint-Quentin
Soissons,23,Soisson,Châlons
Toulon,1107,Toulon,Marseille
Valenciennes,947,Valenciennes,Flandre
,231619,,
