goods_simpl_classification,nbr_occurences_simpl,canada_classification,details_provenance,obsolete,imports_des_colonies,nbr_occurences_canada
,3043,,,non,1,386384
???,90,,,non,0,386384
??? blanc,2,,,non,0,386384
??? brun,2,,,non,0,386384
??? d'Anjou et de Touraine,1,,,non,0,386384
??? d'argent,1,,,non,,386384
??? d'une valeur moindre de deux mille francs chacun,473,Intraitable,,non,1,6282
??? de boutard,1,,,non,0,386384
??? de fer,2,,,non,,386384
??? de morue,1,,,non,,386384
??? de nacre de perle,1,,,non,,386384
??? des ci-devant provinces d'Alsace,1,,,non,0,386384
??? des ci-devant provinces de Bourgogne,1,,,non,0,386384
??? des ci-devant provinces de Provence,2,,,non,0,386384
??? des ci-devant provinces du Languedoc,1,,,non,0,386384
??? diverses,4,,,non,0,386384
??? fer,1,,,non,0,386384
??? forts de fer,1,,,non,,386384
??? gras,1,,,non,,386384
??? particulièrement en chevaux,6,,,non,0,386384
??? pieds,1,,,non,,386384
??? pruneaux,1,,,non,,386384
??? raisins secs,1,,,non,,386384
???sse,1,,,non,0,386384
?ufs,1,,,non,0,386384
à jamis,276,,,non,0,386384
abassis,4,,,non,0,386384
abats,2,,,non,0,386384
abattis de morue,1,,,non,0,386384
abricots confits,1,,,non,0,386384
absinthe,19,,,non,0,386384
acacia,5,,,non,0,386384
acacia germanica,1,,,non,0,386384
acacia vera,1,,,non,0,386384
acajou,1,,,non,0,386384
acétate d'étain,0,,,oui,0,386384
acétate de fer,0,,,oui,0,386384
acétates d'étain,1,,,non,0,386384
acétates de fer,3,,,non,0,386384
acétates de plomb,29,,,non,0,386384
acétates de plomb sel de Saturne,2,,,non,0,386384
acétates de potasse et de soude,2,,,non,0,386384
acétates de sel d'étain,1,,,non,0,386384
achia,7,,,non,0,386384
acide arsénieux,8,,,non,0,386384
acide benzoïque,1,,,non,0,386384
acide benzoïque et phosphorique,2,,,non,0,386384
acide borique,3,,,non,0,386384
acide borique et benzoïque,2,,,non,0,386384
acide citrique,2,,,non,0,386384
acide citrique et muriatique et phosphorique,2,,,non,0,386384
acide citrique et oxalique et tartrique,2,,,non,0,386384
acide de potasse crème de tartre,5,,,non,0,386384
acide de potasse crème de tartre et tartrate,0,,,oui,0,386384
acide de potasse lie de vin desséché et liquide,4,,,non,0,386384
acide de potasse lie de vin desséché et liquide et tartrate,0,,,oui,0,386384
acide de potasse lie de vin desséchée,3,,,non,0,386384
acide de potasse lie de vin desséchée et tartrate,0,,,oui,0,386384
acide de potasse lie de vin liquide,2,,,non,0,386384
acide de potasse lie de vin liquide et tartrate,0,,,oui,0,386384
acide de potasse tartre brut impur,2,,,non,0,386384
acide de potasse tartre brut impur et tartrate,0,,,oui,0,386384
acide muriatique,1,,,non,0,386384
acide muriatique et nitrique et phosphorique,3,,,non,0,386384
acide muriatique et nitro-muriatique,2,,,non,0,386384
acide nitrique,4,,,non,0,386384
acide oxalique,2,,,non,0,386384
acide phosphorique,2,,,non,0,386384
acide succinique,1,,,non,0,386384
acide tartrique,2,,,non,0,386384
acide vitriolique,4,,,non,0,386384
acide vitriolique et huile de vitriol,109,,,non,0,386384
acide vitrioliques et huile de vitriol,0,,,oui,0,386384
acier,1679,,,non,0,386384
acier battu forgé ou laminé,1,,,non,0,386384
acier battu forgé ou laminé et fer carbonaté,0,,,oui,0,386384
acier brun,1,,,non,0,386384
acier brut,10,,,non,0,386384
acier commun,1,,,non,0,386384
acier en barres,6,,,non,0,386384
acier en bottes pour la Compagnie des Indes,1,,,non,0,386384
acier et clous,1,,,non,0,386384
acier et fer,356,,,non,0,386384
acier fondu en carreaux ou en tôle,5,,,non,0,386384
acier fondu forgé,1,,,non,0,386384
acier fondu forgé et fer carbonaté,0,,,oui,0,386384
acier forgé,7,,,non,0,386384
acons,1,,,non,0,386384
acons démontés,20,,,non,0,386384
acons démontés en gabare,2,,,non,0,386384
acorus,5,,,non,0,386384
acuirson,1,,,non,0,386384
acume de cuivre,1,,,non,0,386384
adatais,3,,,non,0,386384
affûts,2,,,non,0,386384
affûts de bois,1,,,non,,386384
affûts de canons,11,,,non,0,386384
affûts de fer,1,,,non,,386384
affûts de fusils,1,,,non,0,386384
affûts de fûts à canons,1,,,non,0,386384
affûts et canons,1,,,non,0,386384
agaric,138,,,non,0,386384
agaric amadouvier,6,,,non,0,386384
agaric amadouvier brut,4,,,non,0,386384
agaric amadouvier brut et préparé,12,,,non,0,386384
agaric amadouvier préparé,6,,,non,0,386384
agaric brut et préparé,6,,,non,0,386384
agaric de mélèze,4,,,non,0,386384
agaric et amadouvier,0,,,oui,0,386384
agaric fin,1,,,non,0,386384
agaric gros,2,,,non,0,386384
agate,11,,,non,0,386384
agate autre que chique et ouvrages,2,,,non,,386384
agate autre que chique et ouvrée,0,,,oui,0,386384
agate brute,4,,,non,0,386384
agate chique et ouvrée,0,,,oui,0,386384
agate en pierres,1,,,non,,386384
agate fine,1,,,non,0,386384
agate montée,1,,,non,0,386384
agate ouvrée,0,,,oui,0,386384
agneaux,117,,,non,0,386384
agneaux communs,8,,,non,0,386384
agneaux en vie,5,,,non,0,386384
agneaux et cabris,1,,,non,0,386384
agneaux mérinos et métis,7,,,non,0,386384
agnelines et crottelins,1,,,non,0,386384
agobille,1,,,non,,386384
agoutals,4,,,non,0,386384
agoutals de bois,5,,,non,0,386384
agrément,15,,,non,0,386384
agrément au quart,3,,,non,0,386384
agrément d'argent,2,,,non,0,386384
agrément d'or,1,,,non,0,386384
agrément d'or et d'argent,5,,,non,0,386384
agrément de fil,9,,,non,0,386384
agrément de fil et de soie,3,,,non,0,386384
agrément de fleur,1,,,non,0,386384
agrément de soie,57,,,non,0,386384
agrément de soie et d'argent,1,,,non,0,386384
