goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,nbr_occurences_medicinales
,3043,not a medical product,non,4722,530316
???,90,not a medical product,non,75,530316
??? blanc,2,not a medical product,non,2,530316
??? brun,2,not a medical product,non,2,530316
??? d'Anjou et de Touraine,1,not a medical product,non,1,530316
??? d'argent,1,,non,,1394
??? d'une valeur moindre de deux mille francs chacun,473,not a medical product,non,473,530316
??? de boutard,1,not a medical product,non,1,530316
??? de fer,2,,non,,1394
??? de morue,1,,non,,1394
??? de nacre de perle,1,,non,,1394
??? des ci-devant provinces d'Alsace,1,not a medical product,non,1,530316
??? des ci-devant provinces de Bourgogne,1,not a medical product,non,1,530316
??? des ci-devant provinces de Provence,2,not a medical product,non,2,530316
??? des ci-devant provinces du Languedoc,1,not a medical product,non,1,530316
??? diverses,4,not a medical product,non,4,530316
??? fer,1,not a medical product,non,1,530316
??? forts de fer,1,,non,,1394
??? gras,1,,non,,1394
??? particulièrement en chevaux,6,not a medical product,non,6,530316
??? pieds,1,,non,,1394
??? pruneaux,1,,non,,1394
??? raisins secs,1,,non,,1394
???sse,1,not a medical product,non,1,530316
?ufs,1,not a medical product,non,,530316
à jamis,276,not a medical product,non,207,530316
abassis,4,not a medical product,non,3,530316
abats,2,not a medical product,non,1,530316
abattis de morue,1,not a medical product,non,1,530316
abricots confits,1,not a medical product,non,1,530316
absinthe,19,not a medical product,non,19,530316
acacia,5,not a medical product,non,5,530316
acacia germanica,1,not a medical product,non,1,530316
acacia vera,1,not a medical product,non,1,530316
acajou,1,not a medical product,non,,530316
acétates d'étain,1,not a medical product,non,1,530316
acétates de fer,3,not a medical product,non,3,530316
acétates de plomb,29,not a medical product,non,29,530316
acétates de plomb sel de Saturne,2,not a medical product,non,2,530316
acétates de potasse et de soude,2,not a medical product,non,2,530316
acétates de sel d'étain,1,not a medical product,non,1,530316
achia,7,not a medical product,non,7,530316
acide arsénieux,8,not a medical product,non,8,530316
acide benzoïque,1,not a medical product,non,1,530316
acide benzoïque et phosphorique,2,not a medical product,non,2,530316
acide borique,3,not a medical product,non,3,530316
acide borique et benzoïque,2,not a medical product,non,2,530316
acide citrique,2,not a medical product,non,2,530316
acide citrique et muriatique et phosphorique,2,not a medical product,non,2,530316
acide citrique et oxalique et tartrique,2,not a medical product,non,2,530316
acide de potasse crème de tartre,5,not a medical product,non,5,530316
acide de potasse lie de vin desséché et liquide,4,not a medical product,non,4,530316
acide de potasse lie de vin desséchée,3,not a medical product,non,3,530316
acide de potasse lie de vin liquide,2,not a medical product,non,2,530316
acide de potasse tartre brut impur,2,not a medical product,non,2,530316
acide muriatique,1,not a medical product,non,1,530316
acide muriatique et nitrique et phosphorique,3,not a medical product,non,3,530316
acide muriatique et nitro-muriatique,2,not a medical product,non,2,530316
acide nitrique,4,not a medical product,non,4,530316
acide oxalique,2,not a medical product,non,2,530316
acide phosphorique,2,not a medical product,non,2,530316
acide succinique,1,narrow medical product,non,1,24136
acide tartrique,2,not a medical product,non,2,530316
acide vitriolique,4,not a medical product,non,4,530316
acide vitriolique et huile de vitriol,109,not a medical product,non,109,530316
acier,1679,not a medical product,non,1389,530316
acier battu forgé ou laminé,1,not a medical product,non,1,530316
acier brun,1,not a medical product,non,1,530316
acier brut,10,not a medical product,non,9,530316
acier commun,1,not a medical product,non,1,530316
acier en barres,6,not a medical product,non,6,530316
acier en bottes pour la Compagnie des Indes,1,not a medical product,non,,530316
acier et clous,1,not a medical product,non,1,530316
acier et fer,356,not a medical product,non,356,530316
acier fondu en carreaux ou en tôle,5,not a medical product,non,5,530316
acier fondu forgé,1,not a medical product,non,1,530316
acier forgé,7,not a medical product,non,7,530316
acons,1,not a medical product,non,1,530316
acons démontés,20,not a medical product,non,17,530316
acons démontés en gabare,2,not a medical product,non,2,530316
acorus,5,narrow medical product,non,5,24136
acuirson,1,not a medical product,non,1,530316
acume de cuivre,1,not a medical product,non,1,530316
adatais,3,not a medical product,non,,530316
affûts,2,not a medical product,non,,530316
affûts de bois,1,,non,,1394
affûts de canons,11,not a medical product,non,7,530316
affûts de fer,1,,non,,1394
affûts de fusils,1,not a medical product,non,1,530316
affûts de fûts à canons,1,not a medical product,non,1,530316
affûts et canons,1,not a medical product,non,1,530316
agaric,138,narrow medical product,non,125,24136
agaric amadouvier,6,narrow medical product,non,6,24136
agaric amadouvier brut,4,narrow medical product,non,4,24136
agaric amadouvier brut et préparé,12,narrow medical product,non,12,24136
agaric amadouvier préparé,6,narrow medical product,non,6,24136
agaric brut et préparé,6,narrow medical product,non,6,24136
agaric de mélèze,4,narrow medical product,non,4,24136
agaric fin,1,narrow medical product,non,,24136
agaric gros,2,narrow medical product,non,1,24136
agate,11,not a medical product,non,9,530316
agate autre que chique et ouvrages,2,,non,,1394
agate autre que chique et ouvrée,0,not a medical product,oui,2,530316
agate brute,4,not a medical product,non,4,530316
agate chique et ouvrée,0,not a medical product,oui,1,530316
agate en pierres,1,,non,,1394
agate fine,1,not a medical product,non,1,530316
agate montée,1,not a medical product,non,1,530316
agate ouvrée,0,not a medical product,oui,4,530316
agneaux,117,not a medical product,non,108,530316
agneaux communs,8,not a medical product,non,8,530316
agneaux en vie,5,not a medical product,non,3,530316
agneaux et cabris,1,not a medical product,non,1,530316
agneaux mérinos et métis,7,not a medical product,non,7,530316
agnelines et crottelins,1,not a medical product,non,1,530316
agobille,1,,non,,1394
agoutals,4,not a medical product,non,4,530316
agoutals de bois,5,not a medical product,non,5,530316
agrément,15,not a medical product,non,15,530316
agrément au quart,3,not a medical product,non,3,530316
agrément d'argent,2,not a medical product,non,2,530316
agrément d'or,1,not a medical product,non,1,530316
agrément d'or et d'argent,5,not a medical product,non,5,530316
agrément de fil,9,not a medical product,non,9,530316
agrément de fil et de soie,3,not a medical product,non,2,530316
agrément de fleur,1,not a medical product,non,1,530316
agrément de soie,57,not a medical product,non,55,530316
agrément de soie et d'argent,1,not a medical product,non,1,530316
agrément de soie or et argent faux,1,not a medical product,non,1,530316
agréments de soie et milleret,1,not a medical product,non,,530316
agréments et milleret,1,not a medical product,non,,530316
agrès,12,not a medical product,non,13,530316
agrès apparaux de navire et embarcations,6,not a medical product,non,6,530316
agrès apparaux et embarcations,2,not a medical product,non,2,530316
agrès de navire et jeux de voile,10,not a medical product,non,10,530316
agrès et apparaux,1,not a medical product,non,1,530316
agrès et apparaux d'or navire,1,,non,,1394
agrès et bâtiments de mer,10,not a medical product,non,10,530316
agrès et embarcations,8,not a medical product,non,8,530316
agrès et voile de navire,1,not a medical product,non,1,530316
aigles,1,not a medical product,non,1,530316
aigre de cèdre,9,not a medical product,non,9,530316
aigre de cidre,5,not a medical product,non,5,530316
aigre de vitriol,17,narrow medical product,non,16,24136
aigrettes,10,not a medical product,non,8,530316
aigrettes de fil d'or et d'argent,1,not a medical product,non,1,530316
aigrettes de soie,1,not a medical product,non,1,530316
aigrettes de soie et argent,1,not a medical product,non,1,530316
aigrettes et bavolets,1,not a medical product,non,1,530316
aiguières d'étain,1,not a medical product,non,1,530316
aiguilles,209,not a medical product,non,192,530316
aiguilles à boîtes,1,not a medical product,non,1,530316
aiguilles à coudre,61,not a medical product,non,47,530316
aiguilles à coudre voiles,1,not a medical product,non,,530316
aiguilles à ralingue,1,not a medical product,non,1,530316
aiguilles à tabac,1,not a medical product,non,1,530316
aiguilles à toile,1,not a medical product,non,1,530316
aiguilles d'emballage,2,not a medical product,non,2,530316
aiguilles de mercerie fine,1,not a medical product,non,1,530316
aiguilles epars de sapin,1,not a medical product,non,1,530316
aiguilles et épingles,1,not a medical product,non,1,530316
aiguilles et épingles de mercerie fine,3,not a medical product,non,3,530316
aiguilles et mercerie fine,2,not a medical product,non,2,530316
aiguilles grosses,1,not a medical product,non,1,530316
