simplification,nbr_occurences_simpl,africa,note,nbr_occurences_africa
?,12,????,,216
???,195,????,,216
[vide],993,[vide],,993
Afrique,24,Africa,,13807
Afrique occidentale,34,Africa,,13807
Alexandrette,37,Not Outre-mers,,464432
Alger,46,Not Outre-mers,,464432
Aligre de Marans ou Marennes,1,Not Outre-mers,,464432
Allemagne,20030,Not Outre-mers,,464432
Allemagne et Lorraine,125,Not Outre-mers,,464432
Allemagne et Pologne,1109,Not Outre-mers,,464432
"Allemagne, Lorraine et Pays de Liège",1787,Not Outre-mers,,464432
Alsace,359,Not Outre-mers,,464432
Alsace et les Trois Évêchés,3,Not Outre-mers,,464432
Alsace et Lorraine,4,Not Outre-mers,,464432
"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",1,Not Outre-mers,,464432
Amérique et Inde,1,Other outre-mers,,69798
"Amérique, colonies françaises et Inde",1,Other outre-mers,,69798
"Amérique, Inde et Turquie",2,Not Outre-mers,,464432
Amériques,35,Other outre-mers,,69798
Amiens,2,Not Outre-mers,,464432
Angleterre,25419,Not Outre-mers,,464432
Angleterre et Cologne,1,Not Outre-mers,,464432
Angleterre et flotte anglaise,49,Not Outre-mers,,464432
Angleterre et Irlande,1,Not Outre-mers,,464432
Antilles et Colonies Françaises,45,Other outre-mers,,69798
Archipel,5,Not Outre-mers,,464432
Asie,34,Other outre-mers,,69798
Autriche,2035,Not Outre-mers,,464432
Barbarie,470,Not Outre-mers,,464432
Barbarie dans l'Océan,1,Not Outre-mers,,464432
Barbarie dans l'Océan et Îles françaises d'Amérique,1,Not Outre-mers,,464432
Barbarie et Levant,34,Not Outre-mers,,464432
"Barbarie, Empire Ottoman et Levant",123,Not Outre-mers,,464432
Bayonne,379,Not Outre-mers,,464432
Bayonne et ?,1,Not Outre-mers,,464432
Bayonne et Dunkerque,3,Not Outre-mers,,464432
Bayonne et Lorient,3,Not Outre-mers,,464432
Bayonne et Marseille,3,Not Outre-mers,,464432
Bayonne et Petites Îles,4,Not Outre-mers,,464432
"Bayonne, Dunkerque et Marseille",11,Not Outre-mers,,464432
"Bayonne, Dunkerque, Lorient et Petites Îles",3,Not Outre-mers,,464432
"Bayonne, Lorient et Petites Îles",1,Not Outre-mers,,464432
Belgique,67,Not Outre-mers,,464432
Besançon,1,Not Outre-mers,,464432
Bilbao,1,Not Outre-mers,,464432
Bilbao et Cadix,1,Not Outre-mers,,464432
Brême,2,Not Outre-mers,,464432
"Brême, Lubeck, Norvège et villes hanséatiques",1,Not Outre-mers,,464432
Brésil,30,Other outre-mers,,69798
Bruges,1,Not Outre-mers,,464432
Cadix,1,Not Outre-mers,,464432
Canada,38,Other outre-mers,,69798
Candie,5,Not Outre-mers,,464432
Cannée et Candie,3,Not Outre-mers,,464432
Cayenne et Guyane,1065,Other outre-mers,,69798
Cayenne et Île Bourbon,1,Other outre-mers,,69798
Chili,15,Other outre-mers,,69798
Chine,42,Other outre-mers,,69798
Chypre,17,Not Outre-mers,,464432
Clermontois,71,Not Outre-mers,,464432
Colonies anglaises,132,Other outre-mers,,69798
Colonies danoises,90,Other outre-mers,,69798
Colonies des États-Unis d'Amérique,143,Other outre-mers,,69798
Colonies espagnoles,153,Other outre-mers,,69798
Colonies françaises,1821,Other outre-mers,,69798
Colonies françaises au-delà du Cap,2,Other outre-mers,,69798
Colonies françaises d'Amérique,356,Other outre-mers,,69798
Colonies françaises en-deça du Cap,2,Other outre-mers,,69798
Colonies françaises et colonies hollandaises,20,Other outre-mers,,69798
Colonies françaises et Inde,1,Other outre-mers,,69798
Colonies françaises et Saint-Domingue,1,Other outre-mers,,69798
Colonies françaises hors Guyane et Sénégal,2,Other outre-mers,,69798
Colonies hollandaises,142,Other outre-mers,,69798
Colonies portugaises,27,Other outre-mers,,69798
Colonies suédoises,57,Other outre-mers,,69798
Commerce de la Compagnie des Indes,91,Other outre-mers,,69798
Constantinople,22,Not Outre-mers,,464432
Corse,123,Not Outre-mers,,464432
Courlande et Russie,105,Not Outre-mers,,464432
Cuba et Porto Rico,20,Other outre-mers,,69798
Danemark,12412,Not Outre-mers,,464432
Danemark et Norvège,353,Not Outre-mers,,464432
Duché de Bouillon,108,Not Outre-mers,,464432
Dunkerque,722,Not Outre-mers,,464432
Dunkerque et Lorient,2,Not Outre-mers,,464432
Dunkerque et Marseille,2,Not Outre-mers,,464432
Dunkerque et Petites Îles,4,Not Outre-mers,,464432
"Dunkerque, Lorient et Petites Îles",3,Not Outre-mers,,464432
Égypte,53,Not Outre-mers,,464432
Empire Ottoman,1480,Not Outre-mers,,464432
Empire Ottoman et Barbarie,2217,Not Outre-mers,,464432
Empire Ottoman et Levant,98,Not Outre-mers,,464432
"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",1,Not Outre-mers,,464432
Entrepôt,54,Not Outre-mers,,464432
Épaves et échouements,56,Not Outre-mers,,464432
Espagne,59183,Not Outre-mers,,464432
Espagne et Portugal,1,Not Outre-mers,,464432
Espagne et ses colonies,3496,Not Outre-mers,,464432
Espagne par mer,2,Not Outre-mers,,464432
Espagne par terre,2,Not Outre-mers,,464432
États ?,8,????,,216
États de l'Empereur,4409,Not Outre-mers,,464432
États de l'Empereur par mer,2,Not Outre-mers,,464432
États de l'Empereur par terre,2,Not Outre-mers,,464432
États du roi,1,????,,216
États ecclésiastiques,1629,Not Outre-mers,,464432
États ecclésiastiques et Venise,18,Not Outre-mers,,464432
États romains,64,Not Outre-mers,,464432
États-Unis d'Amérique,6175,Not Outre-mers,,464432
Europe,13,Not Outre-mers,,464432
"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",146,Not Outre-mers,,464432
Flandre,19003,Not Outre-mers,,464432
France,15,Not Outre-mers,,464432
Franche Comté,8,Not Outre-mers,,464432
Gênes,15308,Not Outre-mers,,464432
"Gênes, Milan, Toscane et Lucques",4,Not Outre-mers,,464432
Genève,3212,Not Outre-mers,,464432
Genève et Piémont,604,Not Outre-mers,,464432
Genève et Suisse,2538,Not Outre-mers,,464432
"Genève, Suisse et ses alliés",861,Not Outre-mers,,464432
Gibraltar,1,Not Outre-mers,,464432
Gothembourg,1,Not Outre-mers,,464432
Guadeloupe,2190,Other outre-mers,,69798
Guatemala,2,Other outre-mers,,69798
Guernesey,2,Not Outre-mers,,464432
Guernesey et Dumbarton,1,Not Outre-mers,,464432
Guinée,10142,Africa,,13807
Guinée et Sénégal,3004,Africa,,13807
Guyane,11,Other outre-mers,,69798
Guyane anglaise,4,Other outre-mers,,69798
Guyane et Sénégal,1,Other outre-mers,,69798
Guyane française,1,Other outre-mers,,69798
Haïti,10,Other outre-mers,,69798
Hambourg,1,Not Outre-mers,,464432
"Hambourg, Hollande et Livourne",1,Not Outre-mers,,464432
Hollande,74401,Not Outre-mers,,464432
Hollande et Villes hanséatiques,223,Not Outre-mers,,464432
Île Bourbon,53,Africa,,13807
Île Bourbon et Inde,3,Other outre-mers,,69798
Île de Ré,1,Not Outre-mers,,464432
Île Maurice,22,Africa,,13807
Îles,7032,Other outre-mers,,69798
Îles de France et de Bourbon,206,Africa,,13807
Îles de l'Amérique,134,Other outre-mers,,69798
Îles et Guinée,1,Other outre-mers,,69798
Îles françaises,2010,Other outre-mers,,69798
Îles françaises de l'Amérique,41409,Other outre-mers,,69798
Inconnu,209,Not Outre-mers,,464432
Inde étrangère,5,Other outre-mers,,69798
Indes,3399,Other outre-mers,,69798
Indes anglaises,16,Other outre-mers,,69798
Indes et Moka,41,Other outre-mers,,69798
Indes françaises,8,Other outre-mers,,69798
Indes hollandaises,6,Other outre-mers,,69798
Irlande,1,Not Outre-mers,,464432
Italie,38676,Not Outre-mers,,464432
Levant,20626,Not Outre-mers,,464432
Levant et Toscane,1,Not Outre-mers,,464432
Lisbonne,1,Not Outre-mers,,464432
Livourne,236,Not Outre-mers,,464432
Lorient,227,Not Outre-mers,,464432
Lorient et Marseille,1,Not Outre-mers,,464432
Lorient et Petites Îles,2,Not Outre-mers,,464432
Lorraine,555,Not Outre-mers,,464432
Lorraine et Trois Évêchés,1,Not Outre-mers,,464432
Louisiane,7,Other outre-mers,,69798
Lübeck en Norvège,1,Not Outre-mers,,464432
Marseille,2576,Not Outre-mers,,464432
Marseille et Petites Îles,1,Not Outre-mers,,464432
Martinique,2777,Other outre-mers,,69798
Mecklembourg-Schwerin,4,Not Outre-mers,,464432
Mexique,9,Other outre-mers,,69798
Milanais,4,Not Outre-mers,,464432
Milanais et Toscane,602,Not Outre-mers,,464432
"Milanais, Toscane et Lucques",1018,Not Outre-mers,,464432
Milddelbourg,1,Not Outre-mers,,464432
Monde,2974,Not Outre-mers,,464432
"Monde (hors Amérique, colonies françaises, Europe et Inde)",1,Not Outre-mers,,464432
Monde hors Amérique,1,Not Outre-mers,,464432
Monde hors Amérique et hors Inde,5,Not Outre-mers,,464432
Monde hors Amérique et hors Inde et hors Piémont,1,Not Outre-mers,,464432
Monde hors colonies,93,Not Outre-mers,,464432
Monde hors Europe,24,Not Outre-mers,,464432
Monde hors Europe et hors colonies,1,Not Outre-mers,,464432
Monde hors Europe et hors colonies françaises et hors Inde,1,Not Outre-mers,,464432
Monde hors Europe et hors Sénégal français,2,Not Outre-mers,,464432
Monde hors Guyanne française,1,Not Outre-mers,,464432
Monde hors Pays de Gex,1,Not Outre-mers,,464432
Monds hors Ports de la Baltique,1,Not Outre-mers,,464432
Morée,11,Not Outre-mers,,464432
Nancy,1,Not Outre-mers,,464432
Nantes,1,Not Outre-mers,,464432
Naples,5518,Not Outre-mers,,464432
Naples et Sicile,5051,Not Outre-mers,,464432
