simplification,nbr_occurences_simpl,obrien,note,nbr_occurences_obrien
,238,,,10274
?,12,?,,12
???,196,,,10274
[vide],2647,,,10274
Afrique,46,Afrique,,46
Afrique occidentale,34,Afrique occidentale,,34
Alexandrette,37,,,10274
Alger,46,Alger,,46
Aligre de Marans ou Marennes,1,,,10274
Allemagne,20072,Allemagne,,20072
Allemagne et Lorraine,125,Allemagne et Lorraine,,125
Allemagne et Pologne,1211,Allemagne et Pologne,,1211
"Allemagne, Lorraine et Pays de Liège",1787,"Allemagne, Lorraine et Pays de Liège",,1787
Alsace,359,Alsace,,359
Alsace et les Trois Évêchés,3,Alsace et les Trois Évêchés,,3
Alsace et Lorraine,4,Alsace et Lorraine,,4
"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",1,"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",,1
Amérique et Inde,1,,,10274
"Amérique, colonies françaises et Inde",1,,,10274
"Amérique, Inde et Turquie",2,,,10274
Amériques,50,Amériques,,50
Amiens,2,Amiens,,2
Angleterre,26618,Angleterre,,26618
Angleterre et Cologne,1,,,10274
Angleterre et flotte anglaise,49,,,10274
Angleterre et Irlande,1,,,10274
Antilles et Colonies Françaises,105,,,10274
Archipel,5,,,10274
Asie,79,Asie,,79
Autriche,2035,Autriche,,2035
Barbarie,514,Barbarie,,514
Barbarie dans l'Océan,8,,,10274
Barbarie dans l'Océan et Îles françaises d'Amérique,59,,,10274
Barbarie et Levant,441,,,10274
"Barbarie, Empire Ottoman et Levant",123,"Barbarie, Empire Ottoman et Levant",,123
Bayonne,438,Bayonne,,438
Bayonne et ?,1,Bayonne et ?,,1
Bayonne et Dunkerque,3,Bayonne et Dunkerque,,3
Bayonne et Lorient,3,Bayonne et Lorient,,3
Bayonne et Lorient et Petites Îles,2,,,10274
Bayonne et Marseille,3,Bayonne et Marseille,,3
Bayonne et Marseille et Petites Îles,1,,,10274
Bayonne et Marseille et Petites Îles (???),1,,,10274
Bayonne et Petites Îles,4,Bayonne et Petites Îles,,4
"Bayonne, Dunkerque et Marseille",11,"Bayonne, Dunkerque et Marseille",,11
"Bayonne, Dunkerque, Lorient et Petites Îles",3,"Bayonne, Dunkerque, Lorient et Petites Îles",,3
"Bayonne, Lorient et Petites Îles",1,"Bayonne, Lorient et Petites Îles",,1
Belgique,67,Belgique,,67
Besançon,2,,,10274
Bilbao,10,,,10274
Bilbao et Cadix,3,,,10274
Brême,9,,,10274
"Brême, Lubeck, Norvège et villes hanséatiques",1,,,10274
Brésil,30,Brésil,,30
Bruges,16,,,10274
Cadix,6,,,10274
Canada,38,,,10274
Candie,5,,,10274
Cannée et Candie,3,,,10274
Cayenne et Guyane,1065,Cayenne et Guyane,,1065
Cayenne et Île Bourbon,1,,,10274
Chili,15,Chili,,15
Chine,73,Chine,,73
Chypre,17,,,10274
Clermontois,71,Clermontois,,71
Colonies anglaises,132,Colonies anglaises,,132
Colonies danoises,90,Colonies danoises,,90
Colonies des États-Unis d'Amérique,143,Colonies des États-Unis d'Amérique,,143
Colonies espagnoles,153,Colonies espagnoles,,153
Colonies françaises,2198,Colonies françaises,,2198
Colonies françaises au-delà du Cap,4,,,10274
Colonies françaises d'Amérique,358,Colonies françaises d'Amérique,,358
Colonies françaises en-deça du Cap,4,,,10274
Colonies françaises et colonies hollandaises,20,Colonies françaises et colonies hollandaises,,20
Colonies françaises et Inde,1,,,10274
Colonies françaises et Saint-Domingue,1,,,10274
Colonies françaises hors Guyane et Sénégal,3,,,10274
Colonies hollandaises,142,Colonies hollandaises,,142
