simplification,nbr_occurences_simpl,sourcename,note,nbr_occurences_sourcename
,385,,,723
?,12,????,,217
???,196,????,,217
[vide],2868,[vide],,2868
Afrique,49,Guinée,,13827
Afrique occidentale,34,Outre-mers,,20443
Alexandrette,37,Levant,,26367
Alger,46,Levant,,26367
Aligre de Marans ou Marennes,1,France,,7966
Allemagne,20107,Allemagne,,24559
Allemagne et Lorraine,125,Allemagne,,24559
Allemagne et Pologne,1318,Allemagne,,24559
"Allemagne, Lorraine et Pays de Liège",1787,Allemagne,,24559
Alsace,632,France,,7966
Alsace et les Trois Évêchés,3,France,,7966
Alsace et Lorraine,6,France,,7966
"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",1,France,,7966
Amérique et Inde,1,Outre-mers,,20443
"Amérique, colonies françaises et Inde",1,Outre-mers,,20443
"Amérique, Inde et Turquie",2,Divers,,2748
Amériques,50,Colonies,,53153
Amiens,2,France,,7966
Angleterre,27262,Angleterre,,27379
Angleterre et Cologne,1,Angleterre,,27379
Angleterre et flotte anglaise,49,Angleterre,,27379
Angleterre et Irlande,1,Angleterre,,27379
Antilles et Colonies Françaises,105,Colonies,,53153
Archipel,5,Levant,,26367
Asie,79,Outre-mers,,20443
Autriche,2040,Flandres,,25982
Barbarie,619,Levant,,26367
Barbarie dans l'Océan,8,Levant,,26367
Barbarie dans l'Océan et Îles françaises d'Amérique,59,Levant,,26367
Barbarie et Levant,441,Levant,,26367
"Barbarie, Empire Ottoman et Levant",123,Levant,,26367
Bayonne,621,France,,7966
Bayonne et ?,1,France,,7966
Bayonne et Dunkerque,3,France,,7966
Bayonne et Lorient,3,France,,7966
Bayonne et Lorient et Petites Îles,2,,,723
Bayonne et Marseille,3,France,,7966
Bayonne et Marseille et Petites Îles,1,,,723
Bayonne et Marseille et Petites Îles (???),1,,,723
Bayonne et Petites Îles,4,France,,7966
"Bayonne, Dunkerque et Marseille",11,France,,7966
"Bayonne, Dunkerque, Lorient et Petites Îles",3,France,,7966
"Bayonne, Lorient et Petites Îles",1,France,,7966
Belgique,67,Flandres,,25982
Besançon,2,France,,7966
Bilbao,10,Espagne,,66117
Bilbao et Cadix,3,Espagne,,66117
Brême,9,Nord,,27167
"Brême, Lubeck, Norvège et villes hanséatiques",1,Nord,,27167
Brésil,30,Outre-mers,,20443
Bruges,16,Flandres,,25982
Cadix,6,Espagne,,66117
Canada,38,Colonies,,53153
Candie,5,Levant,,26367
Cannée et Candie,3,Levant,,26367
Cayenne et Guyane,1177,Outre-mers,,20443
Cayenne et Île Bourbon,1,Outre-mers,,20443
Cayenne et Sénégal,1,,,723
Chili,15,Outre-mers,,20443
Chine,93,Outre-mers,,20443
Chypre,17,Levant,,26367
Clermontois,71,France,,7966
Colonies anglaises,132,Outre-mers,,20443
Colonies danoises,90,Outre-mers,,20443
Colonies des États-Unis d'Amérique,143,Outre-mers,,20443
Colonies espagnoles,153,Outre-mers,,20443
Colonies françaises,2260,Colonies,,53153
Colonies françaises au-delà du Cap,4,Colonies,,53153
Colonies françaises d'Amérique,384,Colonies,,53153
Colonies françaises en-deça du Cap,4,Colonies,,53153
Colonies françaises et colonies hollandaises,20,Colonies,,53153
Colonies françaises et Inde,1,Colonies,,53153
Colonies françaises et Saint-Domingue,1,Colonies,,53153
Colonies françaises hors Guyane et Sénégal,3,Outre-mers,,20443
Colonies hollandaises,142,Outre-mers,,20443
Colonies portugaises,27,Outre-mers,,20443
Colonies suédoises,57,Outre-mers,,20443
Commerce de la Compagnie des Indes,133,Outre-mers,,20443
Constantinople,22,Levant,,26367
Corse,190,France,,7966
Courlande et Russie,219,Nord,,27167
Cuba et Porto Rico,20,Outre-mers,,20443
Danemark,12527,Danemark,,12973
Danemark et Norvège,446,Danemark,,12973
Duché de Bouillon,108,Divers,,2748
Dunkerque,918,France,,7966
Dunkerque et Lorient,2,France,,7966
Dunkerque et Marseille,2,France,,7966
Dunkerque et Petites Îles,4,France,,7966
"Dunkerque, Lorient et Petites Îles",3,France,,7966
Égypte,53,Levant,,26367
Empire Ottoman,1480,Levant,,26367
Empire Ottoman et Barbarie,2217,Levant,,26367
Empire Ottoman et Levant,214,Levant,,26367
"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",1,France,,7966
Entrepôt,87,Divers,,2748
Épaves et échouements,56,Divers,,2748
Espagne,61851,Espagne,,66117
Espagne et Portugal,1,Divers,,2748
Espagne et ses colonies,4243,Espagne,,66117
Espagne par mer,2,Espagne,,66117
Espagne par terre,2,Espagne,,66117
États ?,8,????,,217
États de l'Empereur,4612,Flandres,,25982
États de l'Empereur par mer,2,Flandres,,25982
États de l'Empereur par terre,2,Flandres,,25982
États du roi,1,????,,217
États ecclésiastiques,1732,Italie,,108182
États ecclésiastiques et Venise,51,Italie,,108182
États romains,64,Italie,,108182
États-Unis d'Amérique,6435,États-Unis d'Amérique,,6435
Europe,414,Divers,,2748
"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",479,Divers,,2748
Flandre,19242,Flandres,,25982
France,18,France,,7966
Franche Comté,8,France,,7966
Gênes,15692,Italie,,108182
"Gênes, Milan, Toscane et Lucques",4,Italie,,108182
Genève,3220,Suisse,,21172
Genève et Piémont,604,Italie,,108182
Genève et Suisse,2539,Suisse,,21172
