simplification,nbr_occurences_simpl,beaver,obsolete,nbr_occurences_beaver
,24,,non,2639
???,93,No link with beaver,non,554828
??? blanc,2,No link with beaver,non,554828
??? brun,2,No link with beaver,non,554828
??? d'Anjou et de Touraine,1,No link with beaver,non,554828
??? d'argent,1,No link with beaver,non,554828
??? d'une valeur moindre de deux mille francs chacun,473,No link with beaver,non,554828
??? de boutard,1,No link with beaver,non,554828
??? de fer,2,No link with beaver,non,554828
??? de morue,1,No link with beaver,non,554828
??? de nacre de perle,1,No link with beaver,non,554828
??? des ci-devant provinces d'Alsace,1,No link with beaver,non,554828
??? des ci-devant provinces de Bourgogne,1,No link with beaver,non,554828
??? des ci-devant provinces de Provence,2,No link with beaver,non,554828
??? des ci-devant provinces du Languedoc,1,No link with beaver,non,554828
??? diverses,4,No link with beaver,non,554828
??? fer,1,No link with beaver,non,554828
??? forts de fer,1,No link with beaver,non,554828
??? gras,1,No link with beaver,non,554828
??? particulièrement en chevaux,6,No link with beaver,non,554828
??? pieds,1,No link with beaver,non,554828
??? pruneaux,1,No link with beaver,non,554828
??? raisins secs,1,No link with beaver,non,554828
???sse,1,No link with beaver,non,554828
?ufs,1,No link with beaver,non,554828
[non traité],274,No link with beaver,non,554828
[vide],2417,No link with beaver,non,554828
à jamis,276,,non,2639
à l'aventure,1,No link with beaver,non,554828
à son lest,1,,non,2639
à vide,2,No link with beaver,non,554828
abassis,4,No link with beaver,non,554828
abats,2,No link with beaver,non,554828
abattis de morue,1,No link with beaver,non,554828
abricots confits,1,No link with beaver,non,554828
absinthe,19,No link with beaver,non,554828
acacia,5,No link with beaver,non,554828
acacia germanica,1,No link with beaver,non,554828
acacia vera,1,No link with beaver,non,554828
acajou,2,No link with beaver,non,554828
acétates d'étain,1,No link with beaver,non,554828
acétates de fer,3,No link with beaver,non,554828
acétates de plomb,29,No link with beaver,non,554828
acétates de plomb sel de Saturne,2,No link with beaver,non,554828
acétates de potasse et de soudes,2,No link with beaver,non,554828
acétates de sel d'étain,1,No link with beaver,non,554828
achia,7,No link with beaver,non,554828
acide arsénieux,8,No link with beaver,non,554828
acide benzoïque,1,No link with beaver,non,554828
acide benzoïque et phosphorique,2,No link with beaver,non,554828
acide borique,3,No link with beaver,non,554828
acide borique et benzoïque,2,No link with beaver,non,554828
acide citrique,2,No link with beaver,non,554828
acide citrique et muriatique et phosphorique,2,No link with beaver,non,554828
acide citrique et oxalique et tartrique,2,No link with beaver,non,554828
acide de potasse crème de tartre,5,No link with beaver,non,554828
