simplification,nbr_occurences_simpl,surement_pas_canada,canada,details_provenance,obsolete,nbr_occurences_canada
,37,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
???,99,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? blanc,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? brun,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? d'Anjou et de Touraine,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? d'argent,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? d'une valeur moindre de deux mille francs chacun,473,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? de boutard,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? de fer,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? de morue,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? de nacre de perle,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? des ci-devant provinces d'Alsace,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? des ci-devant provinces de Bourgogne,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? des ci-devant provinces de Provence,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? des ci-devant provinces du Languedoc,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? diverses,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? fer,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? forts de fer,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? gras,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? particulièrement en chevaux,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? pruneaux,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
??? raisins secs,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
???sse,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
