simplification,nbr_occurences_simpl,coton,obsolete,nbr_occurences_coton
,5,,non,38841
???,3201,not raw cotton,non,817071
??? blanc,2,not raw cotton,non,817071
??? brun,2,not raw cotton,non,817071
??? d'Anjou et de Touraine,0,not raw cotton,non,817071
??? d'argent,1,,non,38841
??? d'une valeur moindre de deux mille francs chacun,413,not raw cotton,non,817071
??? de boutard,0,not raw cotton,non,817071
??? de fer,2,,non,38841
??? de morue,1,,non,38841
??? de nacre de perle,1,,non,38841
??? des ci-devant provinces d'Alsace,0,not raw cotton,non,817071
??? des ci-devant provinces de Bourgogne,1,not raw cotton,non,817071
??? des ci-devant provinces de Provence,2,not raw cotton,non,817071
??? des ci-devant provinces du Languedoc,1,not raw cotton,non,817071
??? diverses,4,not raw cotton,non,817071
??? fer,1,not raw cotton,non,817071
??? forts de fer,1,,non,38841
??? gras,1,,non,38841
??? particulièrement en chevaux,0,not raw cotton,non,817071
??? pieds,1,,non,38841
??? pruneaux,1,,non,38841
??? raisin sec,1,,non,38841
??? raisin secs,1,,oui,38841
???sse,1,not raw cotton,non,817071
?ufs,0,not raw cotton,non,817071
[non traité],67,,oui,38841
[vide],6242,,non,38841
à l'aventure,46,,non,38841
à son lest,4,,oui,38841
à vide,647,,non,38841
abassis,4,not raw cotton,non,817071
abats,2,not raw cotton,non,817071
abattis de morue,1,not raw cotton,non,817071
abricots confits,1,not raw cotton,non,817071
absinthe,19,not raw cotton,non,817071
acacia,5,not raw cotton,non,817071
acacia germanica,1,not raw cotton,non,817071
acacia vera,1,not raw cotton,non,817071
acajou,6,not raw cotton,non,817071
acétates d'étain,1,not raw cotton,non,817071
acétates de fer,3,not raw cotton,non,817071
acétates de plomb,285,not raw cotton,non,817071
acétates de plomb et autres,7,,non,38841
acétates de plomb sel de Saturne,2,not raw cotton,oui,817071
acétates de potasse et de soude,2,not raw cotton,oui,817071
acétates de potasse et de soudes,2,,non,38841
acétates de sel d'étain,1,not raw cotton,non,817071
achia,7,not raw cotton,non,817071
acide arsénieux,8,not raw cotton,non,817071
acide benzoïque,1,not raw cotton,non,817071
acide benzoïque et phosphorique,2,not raw cotton,non,817071
acide borique,3,not raw cotton,non,817071
acide borique et benzoïque,2,not raw cotton,non,817071
acide citrique,2,not raw cotton,non,817071
acide citrique et muriatique et phosphorique,2,not raw cotton,non,817071
acide citrique et oxalique et tartrique,2,not raw cotton,non,817071
acide de potasse crème de tartre,5,not raw cotton,non,817071
acide de potasse lie de vin desséché et liquide,4,not raw cotton,non,817071
acide de potasse lie de vin desséchée,3,not raw cotton,non,817071
acide de potasse lie de vin liquide,2,not raw cotton,non,817071
acide de potasse tartre brut impur,2,not raw cotton,non,817071
acide muriatique,1,not raw cotton,non,817071
