simplification,nbr_occurences_simpl,edentreaty,obsolete,nbr_occurences_edentreaty
,13,,non,739563
???,3473,,non,739563
??? blanc,2,,non,739563
??? brun,2,,non,739563
??? d'Anjou et de Touraine,0,,non,739563
??? d'argent,1,,non,739563
??? d'une valeur moindre de deux mille francs chacun,413,,non,739563
??? de boutard,0,,non,739563
??? de fer,2,,non,739563
??? de morue,1,,non,739563
??? de nacre de perle,1,,non,739563
??? des ci-devant provinces d'Alsace,0,,non,739563
??? des ci-devant provinces de Bourgogne,1,,non,739563
??? des ci-devant provinces de Provence,2,,non,739563
??? des ci-devant provinces du Languedoc,1,,non,739563
??? diverses,4,,non,739563
??? fer,1,,non,739563
??? forts de fer,1,,non,739563
??? gras,1,,non,739563
??? particulièrement en chevaux,0,,non,739563
??? pieds,1,,non,739563
??? pruneaux,1,,non,739563
??? raisin sec,1,,non,739563
??? raisins secs,1,,oui,739563
???sse,1,,non,739563
?ufs,0,,non,739563
[non traité],67,,oui,739563
[vide],6218,,non,739563
à l'aventure,47,,non,739563
à son lest,4,,non,739563
à vide,939,,non,739563
abassis,4,,non,739563
abats,2,,non,739563
abattis de morue,1,,non,739563
abricots confits,1,,non,739563
absinthe,19,,non,739563
acacia,5,,non,739563
acacia germanica,1,,non,739563
acacia vera,1,,non,739563
acajou,6,,non,739563
acétate d'étain,0,,oui,739563
acétate de fer,0,,oui,739563
acétates d'étain,1,,non,739563
acétates de fer,3,,non,739563
acétates de plomb,284,,non,739563
acétates de plomb et autres,7,,non,739563
acétates de plomb sel de Saturne,2,,oui,739563
acétates de potasse et de soude,2,,oui,739563
acétates de potasse et de soudes,2,,non,739563
acétates de sel d'étain,1,,non,739563
achia,7,,non,739563
acide arsénieux,8,,non,739563
acide benzoïque,1,,non,739563
acide benzoïque et phosphorique,2,,non,739563
acide borique,3,,non,739563
acide borique et benzoïque,2,,non,739563
acide citrique,2,,non,739563
acide citrique et muriatique et phosphorique,2,,non,739563
acide citrique et oxalique et tartrique,2,,non,739563
acide de potasse crème de tartre,5,,non,739563
acide de potasse crème de tartre et tartrate,0,,oui,739563
acide de potasse lie de vin desséché et liquide,4,,non,739563
acide de potasse lie de vin desséché et liquide et tartrate,0,,oui,739563
acide de potasse lie de vin desséchée,3,,non,739563
acide de potasse lie de vin desséchée et tartrate,0,,oui,739563
acide de potasse lie de vin liquide,2,,non,739563
acide de potasse lie de vin liquide et tartrate,0,,oui,739563
acide de potasse tartre brut impur,2,,non,739563
acide de potasse tartre brut impur et tartrate,0,,oui,739563
acide muriatique,1,,non,739563
acide muriatique et nitrique et phosphorique,3,,non,739563
acide muriatique et nitro-muriatique,2,,non,739563
acide nitrique,4,,non,739563
acide oxalique,2,,non,739563
acide phosphorique,2,,non,739563
acide succinique,1,,non,739563
acide tartrique,2,,non,739563
acide vitriolique,4,,non,739563
acide vitriolique et huile de vitriol,109,,non,739563
acide vitrioliques et huile de vitriol,0,,oui,739563
acier,2588,,non,739563
acier battu forgé ou laminé,1,,non,739563
acier battu forgé ou laminé et fer carbonaté,0,,oui,739563
acier brun,1,,non,739563
acier brut,10,,non,739563
acier commun,1,,non,739563
acier en barres,6,,non,739563
acier en bottes pour la Compagnie des Indes,1,,non,739563
acier et clous,9,,non,739563
acier et fer,356,,non,739563
acier fondu en carreaux ou en tôle,5,,non,739563
acier fondu forgé,1,,non,739563
acier fondu forgé et fer carbonaté,0,,oui,739563
acier forgé,7,,non,739563
acons,1,,non,739563
acons démontés,20,,non,739563
acons démontés en gabare,2,,non,739563
acorus,5,,non,739563
acuirson,0,,non,739563
acume de cuivre,1,,non,739563
adatais,3,,non,739563
affûts,2,,non,739563
affûts de bois,1,,non,739563
affûts de canons,12,,non,739563
affûts de fer,1,,non,739563
affûts de fusils,1,,non,739563
affûts de fûts à canons,1,,non,739563
affûts et canons,1,,non,739563
agaric,152,,non,739563
agaric amadouvier,6,,non,739563
agaric amadouvier brut,4,,non,739563
agaric amadouvier brut et préparé,12,,non,739563
agaric amadouvier préparé,6,,non,739563
agaric brut et préparé,6,,non,739563
agaric de mélèze,4,,non,739563
agaric et amadouvier,0,,oui,739563
agaric fin,1,,non,739563
agaric gros,2,,non,739563
agate,11,,non,739563
agate autre que chique et ouvrages,2,,non,739563
agate autre que chique et ouvrée,0,,oui,739563
agate brute,4,,non,739563
agate chique et ouvrée,0,,oui,739563
agate en pierres,1,,non,739563
agate fine,1,,non,739563
agate montée,1,,non,739563
agate ouvrée,0,,oui,739563
agneaux,118,,non,739563
agneaux communs,8,,non,739563
agneaux en vie,5,,non,739563
agneaux et cabris,122,,non,739563
agneaux mérinos et métis,7,,non,739563
agnelines et crottelins,36,,non,739563
agobille,2,,non,739563
agoutals,4,,non,739563
agoutals de bois,5,,non,739563
agrément,15,,non,739563
agrément au quart,3,,non,739563
agrément d'argent,2,,non,739563
agrément d'or,1,,non,739563
agrément d'or et d'argent,5,,non,739563
agrément de fil,9,,non,739563
agrément de fil et de soie,3,,non,739563
agrément de fleur,1,,non,739563
agrément de soie,57,,non,739563
agrément de soie et d'argent,1,,non,739563
agrément de soie et fil,0,,oui,739563
agrément de soie or et argent faux,1,,non,739563
agréments de soie et milleret,13,,non,739563
agréments et milleret,38,,non,739563
agrès,17,,non,739563
agrès apparaux de navire et embarcations,6,,non,739563
agrès apparaux et embarcations,2,,non,739563
agrès de navire,0,,oui,739563
agrès de navire en voile,0,,oui,739563
agrès de navire et jeux de voile,12,,non,739563
agrès et apparaux,2,,non,739563
agrès et apparaux d'or navire,1,,non,739563
agrès et bâtiments de mer,10,,non,739563
agrès et embarcations,8,,non,739563
agrès et voile de navire,1,,oui,739563
agrès et voiles de navire,0,,oui,739563
aigles,4,,non,739563
aigre de cèdre,9,,non,739563
aigre de cidre,5,,non,739563
aigre de vitriol,17,,non,739563
aigrettes,10,,non,739563
aigrettes de fil d'or et d'argent,1,,non,739563
aigrettes de soie,1,,non,739563
aigrettes de soie et argent,1,,non,739563
aigrettes et bavolets,1,,non,739563
aiguières d'étain,1,,non,739563
aiguilles,348,,non,739563
aiguilles à boîtes,1,,non,739563
aiguilles à coudre,60,,non,739563
aiguilles à coudre voiles,1,,non,739563
aiguilles à ralingue,1,,non,739563
aiguilles à tabac,1,,non,739563
aiguilles à toile,1,,non,739563
aiguilles d'emballage,2,,non,739563
aiguilles de mercerie fine,1,,non,739563
aiguilles epars de sapin,1,,non,739563
aiguilles et épingles,1,,non,739563
aiguilles et épingles de mercerie fine,3,,non,739563
aiguilles et mercerie fine,2,,non,739563
aiguilles grosses,1,,non,739563
aiguilles pour voile,37,,non,739563
aiguillettes,1,,non,739563
ail,2,,oui,739563
ailes,17,,non,739563
ailes de fléaux,3,,non,739563
ailes de moulins,6,,non,739563
ailor,0,,non,739563
ails,243,,non,739563
ails à fauches,1,,non,739563
ails blancs à casser,1,,non,739563
aimant,1,,non,739563
ains à pêcher,43,,non,739563
ains et lignes à pêcher,2,,non,739563
airain,6,,non,739563
airain non ouvré,4,,non,739563
ajamis,279,,non,739563
ajustements,37,,non,739563
ajustements de femme,5,,non,739563
ajustements de soie,2,,non,739563
alambics,17,,non,739563
alambics d'étain,17,,non,739563
alambics de cuivre,2,,non,739563
alambics de terre,1,,non,739563
alana,2,,non,739563
alazar,2,,non,739563
albâtre,5,,non,739563
albâtre brut,3,,non,739563
albâtre et marbre brut et poli,21,,non,739563
albâtre moulé poli ou sculpté,6,,non,739563
alcalis autre que natron et soude,2,,oui,739563
alcalis autre que natron et soudes,2,,non,739563
alcalis salin,1,,non,739563
alènes,5,,non,739563
ali,1,,non,739563
alibanies,110,,non,739563
alibanis,14,,oui,739563
alicot,1,,non,739563
alizari,20,,non,739563
alizari et garance,165,,non,739563
alizari sèche,7,,non,739563
alkermés,1,,non,739563
alkermès en grains,23,,non,739563
allaya,86,,non,739563
alleaux,1,,non,739563
allemande de poil,10,,oui,739563
allumettes,134,,non,739563
allumettes à vin,30,,non,739563
allumettes de coton,1,,non,739563
allumettes de mêche soufrée,1,,non,739563
allumettes droguées,3,,non,739563
allumettes épicée,2,,non,739563
allumettes opérées et soufrées,1,,non,739563
allumettes soufrées,12,,non,739563
almagro ou crayon rouge,93,,non,739563
almanachs,1,,non,739563
almanachs brochés,2,,non,739563
almanachs en blancs,1,,non,739563
almanachs enjolivés,2,,non,739563
almanachs reliés,1,,non,739563
aloès,254,,non,739563
aloès cabalin,5,,non,739563
aloès commun,1,,non,739563
aloès et opium,2,,non,739563
aloès hépatique,1,,non,739563
aloès moyen,2,,non,739563
aloiset,1,,non,739563
alose,8,,non,739563
alose fumée,4,,non,739563
alose salée,5,,non,739563
aloues,1,,non,739563
alouettes,5,,non,739563
alpargate,36,,non,739563
alphabets,1,,non,739563
alpiste,21,,non,739563
alpiste et millet,9,,non,739563
alquifoux,483,,non,739563
alquifoux en galène,2,,non,739563
alquifoux et mine de plomb,36,,non,739563
alquifoux mine de plomb ou graphite,23,,non,739563
alquifoux ou mine de plomb,1,,non,739563
alquifoux sable plombifère,1,,non,739563
alquitra,3,,non,739563
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,,non,739563
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitares haut-bois serinettes serpent tambours trompettes et violons basses,0,,oui,739563
alto basses contrebasses guitare lyres violes violons,2,,non,739563
alto basses contrebasses guitares lyres violes violons,0,,oui,739563
alto bassons guitare violons,3,,non,739563
alto bassons guitares violons,0,,oui,739563
aluchiabanis,3,,oui,739563
alun,2428,,non,739563
alun à cordonnier,1,,non,739563
alun autre que brûlé ou calciné,2,,non,739563
alun bon,2,,non,739563
alun brûlé,1,,non,739563
alun commun,1,,non,739563
alun de glace,1,,non,739563
alun de roche,5,,non,739563
alun de Rome,3,,non,739563
alun de Rome fin rosé,1,,non,739563
alun de Rouen,2,,non,739563
alun de Surde,2,,non,739563
alun du Levant,1,,non,739563
alun en dracy,1,,non,739563
alun en rame,1,,non,739563
alun gâté,1,,non,739563
alun ordinaire,1,,non,739563
alvés,0,,non,739563
amadou,326,,non,739563
amadou et agaric amadouvier,7,,non,739563
amandes,2178,,non,739563
amandes à la praline,4,,non,739563
amandes amères,1,,non,739563
amandes arachis noisettes noix noyaux,2,,non,739563
