simplification,nbr_occurences_simpl,obsolete,grains,nbr_occurences_grains
,847,non,Pas grain (0),827454
???,3201,non,Pas grain (0),827454
??? blanc,2,non,Pas grain (0),827454
??? brun,2,non,Pas grain (0),827454
??? d'Anjou et de Touraine,0,non,Pas grain (0),827454
??? d'argent,1,non,Pas grain (0),827454
??? d'une valeur moindre de deux mille francs chacun,413,non,Pas grain (0),827454
??? de boutard,0,non,Pas grain (0),827454
??? de fer,2,non,Pas grain (0),827454
??? de morue,1,non,Pas grain (0),827454
??? de nacre de perle,1,non,Pas grain (0),827454
??? des ci-devant provinces d'Alsace,0,non,Pas grain (0),827454
??? des ci-devant provinces de Bourgogne,1,non,Pas grain (0),827454
??? des ci-devant provinces de Provence,2,non,Pas grain (0),827454
??? des ci-devant provinces du Languedoc,1,non,Pas grain (0),827454
??? diverses,4,non,Pas grain (0),827454
??? fer,1,non,Pas grain (0),827454
??? forts de fer,1,non,Pas grain (0),827454
??? gras,1,non,Pas grain (0),827454
??? particulièrement en chevaux,0,non,Pas grain (0),827454
??? pieds,1,non,Pas grain (0),827454
??? pruneaux,1,non,Pas grain (0),827454
??? raisin sec,1,non,,13751
??? raisin secs,1,oui,Pas grain (0),827454
???sse,1,non,Pas grain (0),827454
?ufs,0,non,Pas grain (0),827454
[non traité],67,oui,Pas grain (0),827454
[vide],6248,non,Pas grain (0),827454
à l'aventure,46,non,Pas grain (0),827454
à son lest,4,oui,Pas grain (0),827454
à vide,647,non,Pas grain (0),827454
abassis,4,non,Pas grain (0),827454
abats,2,non,Pas grain (0),827454
abattis de morue,1,non,Pas grain (0),827454
abricots,1,non,,13751
abricots confits,1,non,Pas grain (0),827454
absinthe,19,non,Pas grain (0),827454
acacia,5,non,Pas grain (0),827454
acacia germanica,1,non,Pas grain (0),827454
acacia vera,1,non,Pas grain (0),827454
acajou,6,non,Pas grain (0),827454
acétate d'étain,0,oui,Pas grain (0),827454
acétates d'étain,1,non,Pas grain (0),827454
acétates de fer,3,non,Pas grain (0),827454
acétates de plomb,299,non,Pas grain (0),827454
acétates de plomb et autres,7,non,Pas grain (0),827454
acétates de potasse et de soudes,2,non,Pas grain (0),827454
acétates de sel d'étain,1,non,Pas grain (0),827454
achia,7,non,Pas grain (0),827454
acide arsénieux,8,non,Pas grain (0),827454
acide benzoïque,1,non,Pas grain (0),827454
acide benzoïque et phosphorique,2,non,Pas grain (0),827454
acide borique,3,non,Pas grain (0),827454
acide borique et benzoïque,2,non,Pas grain (0),827454
acide citrique,2,non,Pas grain (0),827454
acide citrique et muriatique et phosphorique,2,non,Pas grain (0),827454
acide citrique et oxalique et tartrique,2,non,Pas grain (0),827454
acide de potasse crème de tartre,5,non,Pas grain (0),827454
acide de potasse lie de vin desséché et liquide,4,non,Pas grain (0),827454
acide de potasse lie de vin desséchée,3,non,Pas grain (0),827454
acide de potasse lie de vin liquide,2,non,Pas grain (0),827454
acide de potasse tartre brut impur,2,non,Pas grain (0),827454
acide muriatique,1,non,Pas grain (0),827454
acide muriatique et nitrique et phosphorique,3,non,Pas grain (0),827454
acide muriatique et nitro-muriatique,2,non,Pas grain (0),827454
acide nitrique,4,non,Pas grain (0),827454
acide oxalique,2,non,Pas grain (0),827454
acide phosphorique,2,non,Pas grain (0),827454
acide succinique,1,non,Pas grain (0),827454
acide tartrique,2,non,Pas grain (0),827454
acide vitriolique,4,non,Pas grain (0),827454
acide vitriolique et huile de vitriol,109,non,Pas grain (0),827454
acier,2641,non,Pas grain (0),827454
acier battu forgé ou laminé,1,non,Pas grain (0),827454
acier brun,1,non,Pas grain (0),827454
acier brut,11,non,Pas grain (0),827454
acier commun,1,non,Pas grain (0),827454
acier en barres,9,non,Pas grain (0),827454
acier en bottes,1,non,,13751
acier en bottes pour la Compagnie des Indes,1,non,Pas grain (0),827454
acier et clous,9,non,Pas grain (0),827454
acier et fer,356,non,Pas grain (0),827454
acier fondu en carreaux ou en tôle,5,non,Pas grain (0),827454
acier fondu forgé,1,non,Pas grain (0),827454
acier forgé,7,non,Pas grain (0),827454
acons,1,non,Pas grain (0),827454
acons démontés,21,non,Pas grain (0),827454
acons démontés en gabare,2,non,Pas grain (0),827454
acorus,5,non,Pas grain (0),827454
acuirson,0,non,Pas grain (0),827454
acume de cuivre,1,non,Pas grain (0),827454
adatais,3,non,Pas grain (0),827454
affûts,2,non,Pas grain (0),827454
affûts de bois,1,non,Pas grain (0),827454
affûts de canons,12,non,Pas grain (0),827454
affûts de fer,1,non,Pas grain (0),827454
affûts de fusils,2,non,Pas grain (0),827454
affûts de fûts à canons,1,non,Pas grain (0),827454
affûts et canons,1,non,Pas grain (0),827454
agaric,156,non,Pas grain (0),827454
agaric amadouvier,6,non,Pas grain (0),827454
agaric amadouvier brut,4,non,Pas grain (0),827454
agaric amadouvier brut et préparé,12,non,Pas grain (0),827454
agaric amadouvier préparé,6,non,Pas grain (0),827454
agaric brut et préparé,6,non,Pas grain (0),827454
agaric de mélèze,4,non,Pas grain (0),827454
agaric fin,1,non,Pas grain (0),827454
agaric gros,2,non,Pas grain (0),827454
agate,10,non,Pas grain (0),827454
