simplification,nbr_occurences_simpl,obsolete,hamburg,nbr_occurences_hamburg
,883,non,,687735
???,3236,non,,687735
??? blanc,2,non,,687735
??? brun,2,non,,687735
??? d'Anjou et de Touraine,0,non,,687735
??? d'argent,1,non,,687735
??? d'une valeur moindre de deux mille francs chacun,413,non,,687735
??? de boutard,0,non,,687735
??? de fer,2,non,,687735
??? de morue,1,non,,687735
??? de nacre de perle,1,non,,687735
??? des ci-devant provinces d'Alsace,0,non,,687735
??? des ci-devant provinces de Bourgogne,1,non,,687735
??? des ci-devant provinces de Provence,2,non,,687735
??? des ci-devant provinces du Languedoc,1,non,,687735
??? diverses,4,non,,687735
??? fer,1,non,,687735
??? forts de fer,1,non,,687735
??? gras,1,non,,687735
??? particulièrement en chevaux,0,non,,687735
??? pieds,1,non,,687735
??? pruneaux,1,non,,687735
??? raisin sec,1,non,,687735
??? raisin secs,1,oui,,687735
???sse,1,non,,687735
?ufs,0,non,,687735
[non traité],67,oui,,687735
[vide],6248,non,,687735
à l'aventure,46,non,,687735
à son lest,4,oui,,687735
à vide,647,non,,687735
abassis,6,non,,687735
abats,2,non,,687735
abattis de morue,1,non,,687735
abricots,1,non,,687735
abricots confits,1,non,,687735
absinthe,19,non,,687735
acacia,5,non,,687735
acacia germanica,1,non,,687735
acacia vera,1,non,,687735
acajou,6,non,,687735
acétate d'étain,0,oui,,687735
acétate de fer,0,oui,,687735
acétates d'étain,1,non,,687735
acétates de fer,3,non,Fer,16604
acétates de plomb,304,non,Plomb,4656
acétates de plomb et autres,7,non,,687735
acétates de plomb sel de Saturne,2,oui,Plomb,4656
acétates de potasse et de soude,2,oui,Potasse,1511
acétates de potasse et de soudes,2,non,,687735
acétates de sel d'étain,1,non,,687735
achia,7,non,,687735
acide arsénieux,8,non,,687735
acide benzoïque,1,non,,687735
acide benzoïque et phosphorique,2,non,,687735
acide borique,3,non,,687735
acide borique et benzoïque,2,non,,687735
acide citrique,2,non,,687735
acide citrique et muriatique et phosphorique,2,non,,687735
acide citrique et oxalique et tartrique,2,non,,687735
acide de potasse crème de tartre,5,non,Tartre,2475
acide de potasse crème de tartre et tartrate,0,oui,Tartre,2475
acide de potasse lie de vin desséché et liquide,4,non,Potasse,1511
acide de potasse lie de vin desséché et liquide et tartrate,0,oui,Potasse,1511
acide de potasse lie de vin desséchée,3,non,Potasse,1511
acide de potasse lie de vin desséchée et tartrate,0,oui,Potasse,1511
acide de potasse lie de vin liquide,2,non,Potasse,1511
acide de potasse lie de vin liquide et tartrate,0,oui,Potasse,1511
acide de potasse tartre brut impur,2,non,Tartre,2475
acide de potasse tartre brut impur et tartrate,0,oui,Potasse,1511
acide muriatique,1,non,,687735
acide muriatique et nitrique et phosphorique,3,non,,687735
acide muriatique et nitro-muriatique,2,non,,687735
acide nitrique,4,non,,687735
acide oxalique,2,non,,687735
acide phosphorique,2,non,,687735
acide succinique,1,non,,687735
acide tartrique,2,non,,687735
acide vitriolique,4,non,Vitriol ; blanc,1356
acide vitriolique et huile de vitriol,109,non,Vitriol ; blanc,1356
acide vitrioliques et huile de vitriol,0,oui,Vitriol ; blanc,1356
acier,2681,non,,687735
acier battu forgé ou laminé,1,non,,687735
acier battu forgé ou laminé et fer carbonaté,0,oui,Fer,16604
acier brun,1,non,,687735
acier brut,11,non,,687735
acier commun,1,non,,687735
acier en barres,9,non,,687735
acier en bottes,1,non,,687735
acier en bottes pour la Compagnie des Indes,1,non,,687735
acier et clous,9,non,,687735
acier et fer,356,non,Fer,16604
acier filé et fer carburé,0,oui,Fer,16604
acier fondu en carreaux ou en tôle,5,non,,687735
acier fondu en carreaux ou en tôle et fer carburé,0,oui,Fer,16604
acier fondu forgé,1,non,,687735
acier fondu forgé et fer carbonaté,0,oui,Fer,16604
acier forgé,7,non,,687735
acier forgé et fer carburé,0,oui,Fer,16604
acons,1,non,,687735
acons démontés,21,non,,687735
acons démontés en gabare,2,non,,687735
acorus,5,non,,687735
acuirson,0,non,,687735
acume de cuivre,1,non,,687735
adatais,3,non,,687735
affûts,2,non,,687735
affûts de bois,1,non,,687735
affûts de canons,12,non,,687735
affûts de fer,1,non,,687735
affûts de fusils,2,non,,687735
affûts de fûts à canons,1,non,,687735
affûts et canons,1,non,,687735
agaric,156,non,,687735
agaric amadouvier,6,non,,687735
agaric amadouvier brut,4,non,,687735
agaric amadouvier brut et préparé,12,non,,687735
agaric amadouvier préparé,6,non,,687735
agaric brut et préparé,6,non,,687735
agaric de mélèze,4,non,,687735
agaric et amadouvier,0,oui,,687735
agaric fin,1,non,,687735
agaric gros,2,non,,687735
agate,13,non,,687735
agate autre que chique et ouvrages,2,non,,687735
agate autre que chique et ouvrée,0,oui,,687735
agate brute,4,non,,687735
agate chique et ouvrée,0,oui,,687735
agate en pierres,2,non,,687735
agate fine,1,non,,687735
agate montée,1,non,,687735
agate ouvrée,0,oui,,687735
agneau,118,non,,687735
agneau commun,7,non,,687735
agneau en vie,6,non,,687735
agneau et cabris,122,non,,687735
agneau mérinos et métis,7,non,,687735
agneau mouton commun,1,non,,687735
agnelines et crottelins,36,non,,687735
agobille,4,non,,687735
agoutals,4,non,,687735
agoutals de bois,5,non,,687735
agrément,15,non,,687735
agrément au quart,3,non,,687735
agrément d'argent,2,non,,687735
agrément d'or,1,non,,687735
agrément d'or et d'argent,5,non,,687735
agrément de fil,9,non,,687735
agrément de fil et de soie,3,non,,687735
agrément de fleur,1,non,,687735
agrément de soie,58,non,,687735
agrément de soie et d'argent,1,non,,687735
agrément de soie et fil,0,oui,,687735
agrément de soie or et argent faux,1,non,,687735
agrément pour robes,1,non,,687735
agréments de soie et milleret,13,non,,687735
agréments et milleret,38,non,,687735
agrès,29,non,,687735
agrès apparaux de navire et embarcations,6,non,,687735
agrès apparaux et embarcations,2,non,,687735
agrès de navire,0,oui,,687735
agrès de navire en voile,0,oui,,687735
agrès de navire et jeux de voile,14,non,,687735
agrès et apparaux,2,non,,687735
agrès et apparaux d'or navire,1,non,,687735
agrès et bâtiments de mer,10,non,,687735
agrès et embarcations,8,non,,687735
agrès et voile de navire,1,oui,,687735
agrès et voiles de navire,0,oui,,687735
aigles,4,non,,687735
aigre de cèdre,16,non,,687735
aigre de cidre,5,non,,687735
aigre de vitriol,18,non,Vitriol ; blanc,1356
aigrettes,11,non,,687735
aigrettes de fil d'or et d'argent,1,non,,687735
aigrettes de soie,1,non,,687735
aigrettes de soie et argent,1,non,,687735
aigrettes de verre,1,non,,687735
aigrettes et bavolets,1,non,,687735
aiguières d'étain,1,non,,687735
aiguilles,355,non,,687735
aiguilles à boîtes,1,non,,687735
aiguilles à coudre,60,non,,687735
aiguilles à coudre voiles,1,non,,687735
aiguilles à ralingue,1,non,,687735
aiguilles à tabac,1,non,,687735
aiguilles à toile,1,non,,687735
aiguilles d'emballage,2,non,,687735
aiguilles de mercerie fine,4,non,,687735
aiguilles epars de sapin,1,non,,687735
aiguilles et épingles,1,non,,687735
aiguilles et épingles de mercerie fine,3,non,,687735
aiguilles et mercerie fine,2,non,,687735
aiguilles grosses,1,non,,687735
aiguilles pour voile,40,non,,687735
aiguillettes,1,non,,687735
aiguillettes de cuir,1,non,,687735
aiguillettes de peau,1,non,,687735
ail,2,oui,,687735
ailes,17,non,,687735
ailes de fléaux,3,non,,687735
ailes de moulins,6,non,,687735
ailor,0,non,,687735
ails,295,non,,687735
ails à fauches,1,non,,687735
ails blancs à casser,1,non,,687735
aimant,1,non,,687735
ains à pêcher,47,non,,687735
ains et lignes à pêcher,2,non,,687735
airain,7,non,,687735
airain non ouvré,4,non,,687735
ajamis,308,non,,687735
ajustements,37,non,,687735
ajustements de femme,5,non,,687735
ajustements de soie,2,non,,687735
alambics,17,non,,687735
