simplification,nbr_occurences_simpl,obsolete,porcelaine,nbr_occurences_porcelaine
,27,non,,37165
???,3201,non,Sans lien avec la porcelaine,815441
??? blanc,2,non,Sans lien avec la porcelaine,815441
??? brun,2,non,Sans lien avec la porcelaine,815441
??? d'Anjou et de Touraine,0,non,Sans lien avec la porcelaine,815441
??? d'argent,1,non,,37165
??? d'une valeur moindre de deux mille francs chacun,413,non,Sans lien avec la porcelaine,815441
??? de boutard,0,non,Sans lien avec la porcelaine,815441
??? de fer,2,non,,37165
??? de morue,1,non,,37165
??? de nacre de perle,1,non,,37165
??? des ci-devant provinces d'Alsace,0,non,Sans lien avec la porcelaine,815441
??? des ci-devant provinces de Bourgogne,1,non,Sans lien avec la porcelaine,815441
??? des ci-devant provinces de Provence,2,non,Sans lien avec la porcelaine,815441
??? des ci-devant provinces du Languedoc,1,non,Sans lien avec la porcelaine,815441
??? diverses,4,non,Sans lien avec la porcelaine,815441
??? fer,1,non,Sans lien avec la porcelaine,815441
??? forts de fer,1,non,,37165
??? gras,1,non,,37165
??? particulièrement en chevaux,0,non,Sans lien avec la porcelaine,815441
??? pieds,1,non,,37165
??? pruneaux,1,non,,37165
??? raisin sec,1,non,,37165
??? raisin secs,1,oui,,37165
???sse,1,non,Sans lien avec la porcelaine,815441
?ufs,0,non,Sans lien avec la porcelaine,815441
[non traité],67,oui,,37165
[vide],6242,non,,37165
à l'aventure,46,non,,37165
à son lest,4,oui,,37165
à vide,647,non,,37165
abassis,4,non,Sans lien avec la porcelaine,815441
abats,2,non,Sans lien avec la porcelaine,815441
abattis de morue,1,non,Sans lien avec la porcelaine,815441
abricots confits,1,non,Sans lien avec la porcelaine,815441
absinthe,19,non,Sans lien avec la porcelaine,815441
acacia,5,non,Sans lien avec la porcelaine,815441
acacia germanica,1,non,Sans lien avec la porcelaine,815441
acacia vera,1,non,Sans lien avec la porcelaine,815441
acajou,6,non,Sans lien avec la porcelaine,815441
acétates d'étain,1,non,Sans lien avec la porcelaine,815441
acétates de fer,3,non,Sans lien avec la porcelaine,815441
acétates de plomb,285,non,Sans lien avec la porcelaine,815441
acétates de plomb et autres,7,non,,37165
acétates de plomb sel de Saturne,2,oui,Sans lien avec la porcelaine,815441
acétates de potasse et de soude,2,oui,Sans lien avec la porcelaine,815441
acétates de potasse et de soudes,2,non,,37165
acétates de sel d'étain,1,non,Sans lien avec la porcelaine,815441
achia,7,non,Sans lien avec la porcelaine,815441
acide arsénieux,8,non,Sans lien avec la porcelaine,815441
acide benzoïque,1,non,Sans lien avec la porcelaine,815441
acide benzoïque et phosphorique,2,non,Sans lien avec la porcelaine,815441
acide borique,3,non,Sans lien avec la porcelaine,815441
acide borique et benzoïque,2,non,Sans lien avec la porcelaine,815441
acide citrique,2,non,Sans lien avec la porcelaine,815441
acide citrique et muriatique et phosphorique,2,non,Sans lien avec la porcelaine,815441
acide citrique et oxalique et tartrique,2,non,Sans lien avec la porcelaine,815441
acide de potasse crème de tartre,5,non,Sans lien avec la porcelaine,815441
acide de potasse lie de vin desséché et liquide,4,non,Sans lien avec la porcelaine,815441
acide de potasse lie de vin desséchée,3,non,Sans lien avec la porcelaine,815441
acide de potasse lie de vin liquide,2,non,Sans lien avec la porcelaine,815441
acide de potasse tartre brut impur,2,non,Sans lien avec la porcelaine,815441
acide muriatique,1,non,Sans lien avec la porcelaine,815441
acide muriatique et nitrique et phosphorique,3,non,Sans lien avec la porcelaine,815441
acide muriatique et nitro-muriatique,2,non,Sans lien avec la porcelaine,815441
acide nitrique,4,non,Sans lien avec la porcelaine,815441
acide oxalique,2,non,Sans lien avec la porcelaine,815441
