simplification,nbr_occurences_simpl,revolutionempire,obsolete,nbr_occurences_revolutionempire
,3,[vide],non,6246
???,3471,Produits inconnus,non,7059
??? blanc,2,Produits inconnus,non,7059
??? brun,2,Produits inconnus,non,7059
??? d'Anjou et de Touraine,1,Produits inconnus,non,7059
??? d'argent,1,Produits inconnus,non,7059
??? d'une valeur moindre de deux mille francs chacun,413,Divers mélangés,non,39767
??? de boutard,0,Produits inconnus,non,7059
??? de fer,2,Produits inconnus,non,7059
??? de morue,1,Produits inconnus,non,7059
??? de nacre de perle,1,Produits inconnus,non,7059
??? des ci-devant provinces d'Alsace,1,Produits inconnus,non,7059
??? des ci-devant provinces de Bourgogne,1,Produits inconnus,non,7059
??? des ci-devant provinces de Provence,2,Produits inconnus,non,7059
??? des ci-devant provinces du Languedoc,1,Produits inconnus,non,7059
??? diverses,4,Produits inconnus,non,7059
??? fer,1,Produits inconnus,non,7059
??? forts de fer,1,Produits inconnus,non,7059
??? gras,1,Produits inconnus,non,7059
??? particulièrement en chevaux,0,Produits inconnus,non,7059
??? pieds,1,Produits inconnus,non,7059
??? pruneaux,1,Produits inconnus,non,7059
??? raisins secs,1,Produits inconnus,non,7059
???sse,1,Produits inconnus,non,7059
?ufs,0,Produits inconnus,non,7059
[non traité],94471,[non traité],non,94471
[vide],6243,[vide],non,6246
à l'aventure,25,Produits inconnus,non,7059
à son lest,4,Produits inconnus,non,7059
à vide,480,Produits inconnus,non,7059
abassis,4,Monnaies et métaux précieux,non,1024
abats,2,Chairs et œufs,non,7822
abattis de morue,1,Pêche et fruits de mer,non,13709
abricots confits,1,Subsistances diverses et mélangées,non,10028
absinthe,19,Boissons diverses et mélangées,non,513
acacia,5,Bois divers hors combustible,non,12455
acacia germanica,1,Bois divers hors combustible,non,12455
acacia vera,1,Bois divers hors combustible,non,12455
acajou,6,Bois divers hors combustible,non,12455
acétates d'étain,1,Drogues diverses,non,10513
acétates de fer,3,Drogues diverses,non,10513
acétates de plomb,279,Drogues diverses,non,10513
acétates de plomb et autres,7,Drogues diverses,non,10513
acétates de plomb sel de Saturne,2,Drogues diverses,oui,10513
acétates de potasse et de soudes,2,Drogues diverses,non,10513
acétates de sel d'étain,1,Drogues diverses,non,10513
achia,7,Denrées coloniales et épiceries diverses,non,3107
acide arsénieux,8,Drogues diverses,non,10513
acide benzoïque,1,Drogues diverses,non,10513
acide benzoïque et phosphorique,2,Drogues diverses,non,10513
acide borique,3,Drogues diverses,non,10513
acide borique et benzoïque,2,Drogues diverses,non,10513
acide citrique,2,Drogues diverses,non,10513
acide citrique et muriatique et phosphorique,2,Drogues diverses,non,10513
acide citrique et oxalique et tartrique,2,Drogues diverses,non,10513
acide de potasse crème de tartre,5,Drogues diverses,non,10513
acide de potasse lie de vin desséché et liquide,4,Drogues diverses,non,10513
acide de potasse lie de vin desséchée,3,Drogues diverses,non,10513
acide de potasse lie de vin liquide,2,Drogues diverses,non,10513
acide de potasse tartre brut impur,2,Drogues diverses,non,10513
acide muriatique,1,Drogues diverses,non,10513
acide muriatique et nitrique et phosphorique,3,Drogues diverses,non,10513
acide muriatique et nitro-muriatique,2,Drogues diverses,non,10513
acide nitrique,4,Drogues diverses,non,10513
acide oxalique,2,Drogues diverses,non,10513
acide phosphorique,2,Drogues diverses,non,10513
acide succinique,1,Drogues diverses,non,10513
acide tartrique,2,Drogues diverses,non,10513
acide vitriolique,4,Drogues diverses,non,10513
acide vitriolique et huile de vitriol,109,Drogues diverses,non,10513
acier,2450,Acier,non,2469
acier battu forgé ou laminé,1,Ouvrages métalliques,non,20598
acier brun,1,Acier,non,2469
acier brut,10,Acier,non,2469
acier commun,1,Acier,non,2469
acier en barres,6,Acier,non,2469
acier en bottes pour la Compagnie des Indes,1,Acier,non,2469
acier et clous,9,Quincaillerie,non,8417
acier et fer,356,Métaux divers et mélangés,non,1783
acier fondu en carreaux ou en tôle,5,Ouvrages métalliques,non,20598
acier fondu forgé,1,Ouvrages métalliques,non,20598
acier forgé,7,Ouvrages métalliques,non,20598
acons,1,Bâtiments de mer et apparaux,non,8061
acons démontés,20,Bâtiments de mer et apparaux,non,8061
acons démontés en gabare,2,Bâtiments de mer et apparaux,non,8061
acorus,5,Matières premières diverses,non,15181
acuirson,0,Produits inconnus,non,7059
acume de cuivre,1,Cuivre,non,3059
adatais,3,"Mousseline, basin et nankin",non,2630
affûts,2,"Armes, munitions, poudre et pierres à fusil",non,4976
affûts de bois,1,"Armes, munitions, poudre et pierres à fusil",non,4976
affûts de canons,12,"Armes, munitions, poudre et pierres à fusil",non,4976
affûts de fer,1,Ouvrages métalliques,non,20598
affûts de fusils,1,"Armes, munitions, poudre et pierres à fusil",non,4976
affûts de fûts à canons,1,"Armes, munitions, poudre et pierres à fusil",non,4976
affûts et canons,1,"Armes, munitions, poudre et pierres à fusil",non,4976
agaric,151,Matières premières diverses,non,15181
agaric amadouvier,6,Matières premières diverses,non,15181
agaric amadouvier brut,4,Matières premières diverses,non,15181
agaric amadouvier brut et préparé,12,Matières premières diverses,non,15181
agaric amadouvier préparé,6,Matières premières diverses,non,15181
agaric brut et préparé,6,Matières premières diverses,non,15181
agaric de mélèze,4,Matières premières diverses,non,15181
agaric fin,1,Matières premières diverses,non,15181
agaric gros,2,Matières premières diverses,non,15181
agate,11,Bijouterie et pierres fines,non,1456
agate autre que chique et ouvrages,2,Bijouterie et pierres fines,non,1456
agate brute,4,Bijouterie et pierres fines,non,1456
agate en pierres,1,Bijouterie et pierres fines,non,1456
agate fine,0,Bijouterie et pierres fines,non,1456
agate montée,0,Bijouterie et pierres fines,non,1456
agneaux,117,Animaux,non,3801
agneaux communs,8,Animaux,non,3801
agneaux en vie,5,Animaux,non,3801
agneaux et cabris,0,Animaux,non,3801
