simplification,nbr_occurences_simpl,sitc,imprimatur,obsolete,nbr_occurences_sitc
,116,9c,,non,13242
???,3473,9c,x,non,13242
??? blanc,2,9c,x,non,13242
??? brun,2,9c,x,non,13242
??? d'Anjou et de Touraine,0,9c,x,non,13242
??? d'argent,1,9c,,non,13242
??? d'une valeur moindre de deux mille francs chacun,413,9b,x,non,61966
??? de boutard,0,9c,x,non,13242
??? de fer,2,9c,,non,13242
??? de morue,1,9c,,non,13242
??? de nacre de perle,1,9c,,non,13242
??? des ci-devant provinces d'Alsace,0,9c,x,non,13242
??? des ci-devant provinces de Bourgogne,1,9c,x,non,13242
??? des ci-devant provinces de Provence,2,9c,x,non,13242
??? des ci-devant provinces du Languedoc,1,9c,x,non,13242
??? diverses,4,9c,x,non,13242
??? fer,1,9c,x,non,13242
??? forts de fer,1,9c,,non,13242
??? gras,1,9c,,non,13242
??? particulièrement en chevaux,0,9c,x,non,13242
??? pieds,1,9c,,non,13242
??? pruneaux,1,9c,,non,13242
??? raisin sec,1,,,non,295
??? raisins secs,1,9c,,oui,13242
???sse,1,9c,,non,13242
?ufs,0,9c,,non,13242
[non traité],73,9c,,non,13242
[vide],6218,9b,,non,61966
à l'aventure,47,9c,,non,13242
à son lest,4,9c,,non,13242
à vide,939,9c,,non,13242
abassis,4,9a,x,non,1579
abats,2,0a,x,non,122047
abattis de morue,1,0a,x,non,122047
abricots confits,1,0a,x,non,122047
absinthe,19,1,x,non,58464
acacia,5,2,x,non,131731
acacia germanica,1,2,x,non,131731
acacia vera,1,2,x,non,131731
acajou,6,6b,,non,36431
acétates d'étain,1,5,x,non,61910
acétates de fer,3,5,x,non,61910
acétates de plomb,284,5,x,non,61910
acétates de plomb et autres,7,5,,non,61910
acétates de plomb sel de Saturne,2,5,x,oui,61910
acétates de potasse et de soudes,2,5,x,non,61910
acétates de sel d'étain,1,5,x,non,61910
achia,7,0b,x,non,34395
acide arsénieux,8,5,x,non,61910
acide benzoïque,1,5,x,non,61910
acide benzoïque et phosphorique,2,5,x,non,61910
acide borique,3,5,x,non,61910
acide borique et benzoïque,2,5,x,non,61910
acide citrique,2,5,x,non,61910
acide citrique et muriatique et phosphorique,2,5,x,non,61910
acide citrique et oxalique et tartrique,2,5,x,non,61910
acide de potasse crème de tartre,5,5,,non,61910
acide de potasse lie de vin desséché et liquide,4,5,,non,61910
acide de potasse lie de vin desséchée,3,5,,non,61910
acide de potasse lie de vin liquide,2,5,,non,61910
acide de potasse tartre brut impur,2,5,,non,61910
acide muriatique,1,5,x,non,61910
acide muriatique et nitrique et phosphorique,3,5,x,non,61910
acide muriatique et nitro-muriatique,2,5,x,non,61910
acide nitrique,4,5,x,non,61910
acide oxalique,2,5,x,non,61910
acide phosphorique,2,5,x,non,61910
acide succinique,1,5,x,non,61910
acide tartrique,2,5,x,non,61910
acide vitriolique,4,5,x,non,61910
acide vitriolique et huile de vitriol,109,5,x,non,61910
acier,2586,6j,x,non,52338
acier battu forgé ou laminé,1,6j,,non,52338
acier brun,1,6j,x,non,52338
acier brut,10,6j,x,non,52338
acier commun,1,6j,x,non,52338
acier en barres,6,6j,x,non,52338
acier en bottes pour la Compagnie des Indes,1,6j,,non,52338
acier et clous,9,6j,x,non,52338
acier et fer,356,6j,x,non,52338
acier fondu en carreaux ou en tôle,5,6j,x,non,52338
acier fondu forgé,1,6j,,non,52338
acier forgé,7,6j,x,non,52338
acons,1,7,x,non,14031
acons démontés,20,7,x,non,14031
acons démontés en gabare,2,7,x,non,14031
acorus,5,2,x,non,131731
acuirson,0,9c,x,non,13242
acume de cuivre,1,6j,x,non,52338
adatais,3,9c,,non,13242
affûts,2,8,,non,73824
affûts de bois,1,8,,non,73824
affûts de canons,12,8,x,non,73824
affûts de fer,1,8,,non,73824
affûts de fusils,1,8,x,non,73824
affûts de fûts à canons,1,8,x,non,73824
affûts et canons,1,8,x,non,73824
agaric,152,2,x,non,131731
agaric amadouvier,6,2,x,non,131731
agaric amadouvier brut,4,2,x,non,131731
agaric amadouvier brut et préparé,12,2,x,non,131731
agaric amadouvier préparé,6,2,x,non,131731
agaric brut et préparé,6,2,x,non,131731
agaric de mélèze,4,2,x,non,131731
agaric fin,1,2,,non,131731
agaric gros,2,2,x,non,131731
agate,11,6k,x,non,22524
agate autre que chique et ouvrages,2,6k,,non,22524
agate brute,4,6k,x,non,22524
agate en pierres,1,6k,,non,22524
agate fine,1,6k,x,non,22524
agate montée,1,8,x,non,73824
agneaux,118,0a,x,non,122047
agneaux communs,8,0a,x,non,122047
agneaux en vie,5,0a,x,non,122047
agneaux et cabris,122,0a,x,non,122047
agneaux mérinos et métis,7,0a,x,non,122047
agnelines et crottelins,36,2,x,non,131731
agobille,2,0a,,non,122047
agoutals,4,6b,x,non,36431
agoutals de bois,5,6b,x,non,36431
agrément,15,6i,x,non,9168
agrément au quart,3,6i,x,non,9168
agrément d'argent,2,6i,x,non,9168
agrément d'or,1,6i,x,non,9168
agrément d'or et d'argent,5,6i,x,non,9168
agrément de fil,9,6i,x,non,9168
agrément de fil et de soie,3,6f,x,non,16662
agrément de fleur,1,8,x,non,73824
agrément de soie,57,6f,x,non,16662
agrément de soie et d'argent,1,6f,x,non,16662
agrément de soie or et argent faux,1,6f,x,non,16662
agréments de soie et milleret,13,6f,,non,16662
agréments et milleret,38,6i,,non,9168
agrès,17,7,x,non,14031
agrès apparaux de navire et embarcations,6,7,x,non,14031
agrès apparaux et embarcations,2,7,x,non,14031
agrès de navire et jeux de voile,10,7,x,non,14031
agrès et apparaux,2,7,x,non,14031
agrès et apparaux d'or navire,1,7,,non,14031
agrès et bâtiments de mer,10,7,x,non,14031
agrès et embarcations,8,7,x,non,14031
agrès et voile de navire,1,7,x,non,14031
aigles,4,0a,x,non,122047
aigre de cèdre,9,5,x,non,61910
aigre de cidre,5,5,x,non,61910
aigre de vitriol,17,5,x,non,61910
aigrettes,10,8,x,non,73824
aigrettes de fil d'or et d'argent,1,8,x,non,73824
aigrettes de soie,1,8,x,non,73824
aigrettes de soie et argent,1,8,x,non,73824
aigrettes et bavolets,1,8,x,non,73824
aiguières d'étain,1,6j,x,non,52338
aiguilles,348,6j,x,non,52338
aiguilles à boîtes,1,6j,x,non,52338
aiguilles à coudre,60,6j,x,non,52338
aiguilles à coudre voiles,1,6j,,non,52338
aiguilles à ralingue,1,7,x,non,14031
aiguilles à tabac,1,6j,x,non,52338
aiguilles à toile,1,6j,x,non,52338
aiguilles d'emballage,2,6j,x,non,52338
aiguilles de mercerie fine,1,6j,x,non,52338
aiguilles epars de sapin,1,9b,x,non,61966
aiguilles et épingles,1,6j,x,non,52338
aiguilles et épingles de mercerie fine,3,6j,x,non,52338
aiguilles et mercerie fine,2,6j,x,non,52338
aiguilles grosses,1,6j,x,non,52338
aiguilles pour voile,37,7,x,non,14031
aiguillettes,1,8,,non,73824
ail,2,0a,x,oui,122047
ailes,17,9c,x,non,13242
ailes de fléaux,3,6j,x,non,52338
ailes de moulins,6,7,x,non,14031
ailor,0,9c,x,non,13242
ails,243,0a,x,non,122047
ails à fauches,1,9c,x,non,13242
ails blancs à casser,1,0a,x,non,122047
aimant,1,6j,x,non,52338
ains à pêcher,43,8,x,non,73824
ains et lignes à pêcher,2,8,x,non,73824
airain,6,6j,x,non,52338
airain non ouvré,4,6j,x,non,52338
ajamis,279,6g,,non,16886
ajustements,37,8,x,non,73824
ajustements de femme,5,8,x,non,73824
ajustements de soie,2,8,x,non,73824
alambics,17,7,x,non,14031
alambics d'étain,17,7,x,non,14031
alambics de cuivre,2,7,x,non,14031
alambics de terre,1,7,x,non,14031
alana,2,9c,,non,13242
alazar,2,9c,,non,13242
albâtre,5,2,x,non,131731
albâtre brut,3,2,x,non,131731
albâtre et marbre brut et poli,21,9b,x,non,61966
albâtre moulé poli ou sculpté,6,8,,non,73824
alcalis autre que natron et soudes,2,5,x,non,61910
alcalis salin,1,5,,non,61910
alènes,5,6j,x,non,52338
ali,1,9c,,non,13242
alibanies,110,6f,x,non,16662
alicot,1,9c,,non,13242
alizari,20,2,x,non,131731
alizari et garance,165,2,x,non,131731
alizari sèche,7,2,x,non,131731
alkermés,1,2,x,non,131731
alkermès en grains,23,2,x,non,131731
allaya,86,6i,x,non,9168
alleaux,1,9c,,non,13242
allumettes,134,8,x,non,73824
allumettes à vin,30,8,x,non,73824
allumettes de coton,1,8,x,non,73824
allumettes de mêche soufrée,1,8,x,non,73824
allumettes droguées,3,8,,non,73824
allumettes épicée,2,8,x,non,73824
allumettes opérées et soufrées,1,8,x,non,73824
allumettes soufrées,12,8,x,non,73824
almagro ou crayon rouge,93,8,x,non,73824
almanachs,1,8,x,non,73824
almanachs brochés,2,8,,non,73824
almanachs en blancs,1,6c,,non,7807
