obsolete,revolutionempire,nbr_occurences_revolutionempire,threesectors,nbr_occurences_threesectors
non,,198,Unknown,40712
oui,???,1,,36821
non,[non traité],0,Unknown,40712
non,[vide],6325,Unknown,40712
non,À vide et lest inconnu,10572,,36821
non,Acier,2670,Non-agricultural primary goods,121198
non,Action (hors pêche),56,,36821
non,Alcalis,1788,Non-agricultural primary goods,121198
non,"Alquifoux, mine de plomb et graphite",996,Non-agricultural primary goods,121198
non,Alun,2539,Non-agricultural primary goods,121198
non,Animaux,5569,Agriculture,308293
non,Argenterie et orfèvrerie,1770,Manufactures,385082
non,"Armes, munitions, poudre et pierres à fusil",6556,Manufactures,385082
non,Azur et cobalt,1178,Non-agricultural primary goods,121198
non,Bâtiments de mer et apparaux,3460,Manufactures,385082
non,Beurre,3231,Agriculture,308293
non,"Bière, cidre et vinaigre",9884,Agriculture,308293
non,Bijouterie et pierres fines,1892,Manufactures,385082
non,Blé et autres grains comestibles,14654,Agriculture,308293
non,Bois des Indes,630,Agriculture,308293
non,Bois divers hors combustible,15048,Agriculture,308293
non,Boissons diverses et mélangées,865,Agriculture,308293
non,Bonneterie de soie,651,Manufactures,385082
non,Bonneterie hors soie,2782,Manufactures,385082
non,Bouchons principalement en liège,1446,Manufactures,385082
non,"Bougies, chandelles et flambeaux",3782,Manufactures,385082
non,"Brai, goudron et résines",9087,Non-agricultural primary goods,121198
non,Cacao et chocolat,4223,Agriculture,308293
non,Café,8186,Agriculture,308293
non,Cannelle,1581,Agriculture,308293
non,Cendres diverses,2477,Non-agricultural primary goods,121198
non,Céruse et blanc de plomb,1164,Non-agricultural primary goods,121198
non,Chairs et œufs,9719,Agriculture,308293
non,Châles et mouchoirs de soie,1033,Manufactures,385082
non,Châles et mouchoirs hors soie,4704,Manufactures,385082
non,Chanvre,7078,Agriculture,308293
non,Chapeaux d'écorce et de paille,685,Manufactures,385082
non,Chapeaux hors paille et écorce,4745,Manufactures,385082
non,Chevaux et bêtes de somme,1981,Agriculture,308293
non,Cire,4094,Manufactures,385082
non,Cochenille,1449,Non-agricultural primary goods,121198
non,Colles diverses,1884,Manufactures,385082
non,Combustibles dont charbons et bois,6508,Non-agricultural primary goods,121198
non,Cordage et filets,3745,Manufactures,385082
non,Cordonnerie et sellerie,3261,Manufactures,385082
non,"Cornes, corail, écailles, ivoire et nacre",4036,Agriculture,308293
non,Coton non transformé,3308,Non-agricultural primary goods,121198
non,"Cuirs, peaux et pelleterie",27436,Manufactures,385082
non,Cuivre,3237,Non-agricultural primary goods,121198
non,Denrées coloniales et épiceries diverses,3708,Agriculture,308293
non,Dentelles,2989,Manufactures,385082
non,Divers incertains,12572,Unknown,40712
non,Divers mélangés,13041,Unknown,40712
oui,divers mélangés,4,,36821
non,Dorure,1868,Manufactures,385082
oui,Draps divers,5184,Manufactures,385082
non,Drogues diverses,10868,Manufactures,385082
non,Drogues médicinales diverses,12534,Manufactures,385082
non,Eaux-de-vie et liqueurs,15793,Agriculture,308293
non,Étain,1390,Non-agricultural primary goods,121198
oui,Étoffes de coton,1,,36821
non,Étoffes de laine,16158,Manufactures,385082
non,Étoffes de soie,10071,Manufactures,385082
oui,Étoffes de taffetas,1,,36821
non,Étoffes diverses,8071,Manufactures,385082
non,Êtres humains,6980,,36821
non,"Farine, gruau, biscuits et pâtes",4786,Agriculture,308293
non,"Faucilles, faux et limes",1331,Manufactures,385082
non,Fer,9419,Non-agricultural primary goods,121198
non,Fer-blanc,2087,Non-agricultural primary goods,121198
non,"Filoselle, fleuret et bourre de soie",911,Manufactures,385082
non,Fils divers,9456,Manufactures,385082
non,Fleurs artificielles et ouvrages de mode,2127,Manufactures,385082
non,Fromage,4595,Agriculture,308293
non,Fruits frais,10365,Agriculture,308293
non,Fruits secs et noix,15127,Agriculture,308293
non,Galle,1544,Agriculture,308293
non,Gants,2405,Manufactures,385082
non,Garance,1847,Agriculture,308293
non,Girofle,1173,Agriculture,308293
non,Gommes diverses,4556,Non-agricultural primary goods,121198
non,Graines de jardin,1236,Agriculture,308293
non,"Graines de trèfle, de luzerne et de prairie",768,Agriculture,308293
non,Graines diverses et mélangées,3121,Agriculture,308293
non,Graines grasses,1912,Agriculture,308293
non,Graisses diverses,3826,Agriculture,308293
non,"Gravelée, potasse et védasse",1791,Non-agricultural primary goods,121198
non,Habits et lingerie,10292,Manufactures,385082
non,Horlogerie,1882,Manufactures,385082
non,Huile d'olive à manger,3791,Agriculture,308293
non,Huile d'olive pour fabrique,570,Agriculture,308293
non,Huile de poisson,2156,Agriculture,308293
non,Huiles diverses,7948,Agriculture,308293
non,Indigo,6751,Non-agricultural primary goods,121198
non,Laines non transformées diverses,6305,Agriculture,308293
non,Légumes,5718,Agriculture,308293
non,Librairie,4516,Manufactures,385082
non,Lin,3376,Agriculture,308293
non,Manne et médicaments,1615,Manufactures,385082
non,Marbre brut et ouvré,2271,Non-agricultural primary goods,121198
non,Matières brutes et transformées pour teinture,20580,Non-agricultural primary goods,121198
non,Matières premières diverses,24374,Non-agricultural primary goods,121198
non,Mercerie,8885,Manufactures,385082
non,Mercure,765,Non-agricultural primary goods,121198
non,Métaux divers et mélangés,2280,Non-agricultural primary goods,121198
non,"Meubles, glaces et miroirs",4882,Manufactures,385082
non,Miel,1829,Agriculture,308293
non,Monnaies et métaux précieux,1592,Non-agricultural primary goods,121198
non,"Mousseline, basin et nankin",3435,Manufactures,385082
non,Muscades,865,Agriculture,308293
non,Objets d'art et d'histoire naturelle,2496,Manufactures,385082
non,"Ouvrages de bois, liège et jonc",38471,Manufactures,385082
non,Ouvrages de maçon,1,,36821
non,Ouvrages divers et mélangés,24450,Manufactures,385082
non,Ouvrages métalliques,21137,Manufactures,385082
oui,Ouvragse divers et mélangés,25,,36821
non,Papier,7903,Manufactures,385082
non,Parfumerie et toilette,4849,Manufactures,385082
oui,Pêche et fruits de mer,15465,Agriculture,308293
non,planches et bordage,1,,36821
non,Plomb,587,Non-agricultural primary goods,121198
non,Plumes brutes,1890,Agriculture,308293
non,Plumes ouvrées,1518,Manufactures,385082
non,Poils et crin,3757,Agriculture,308293
non,Poissons et fruits de mer,15805,,36821
non,Poivre et piment,3106,Agriculture,308293
non,"Porcelaine, poterie, faïence et ouvrages de terre",9874,Manufactures,385082
non,Produits inconnus,8576,Unknown,40712
non,Provisions diverses,2138,Agriculture,308293
non,Quincaillerie,9790,Manufactures,385082
non,Quinquina,1078,Manufactures,385082
non,Réglisse,1836,Manufactures,385082
non,Riz,3775,Agriculture,308293
non,Rocou,1785,Non-agricultural primary goods,121198
non,Rubanerie et passementerie de soie,2219,Manufactures,385082
non,Rubanerie et passementerie diverse,2368,Manufactures,385082
non,Safran,2241,Agriculture,308293
non,Salpêtre et soufre,2387,Non-agricultural primary goods,121198
non,Salsepareille,903,Manufactures,385082
non,Savon,3790,Manufactures,385082
non,Sel,12483,Agriculture,308293
non,Sels chimiques,1975,Manufactures,385082
non,Séné,1226,Manufactures,385082
non,Sirop et mélasse,3599,Agriculture,308293
non,Soie,2919,Agriculture,308293
non,Soieries diverses,4201,Manufactures,385082
non,Sortie pour pêche,3261,,36821
non,Subsistances diverses et mélangées,11980,Agriculture,308293
oui,Substistances diverses et mélangées,112,,36821
non,Sucre,11504,Agriculture,308293
non,Tabac,4268,Agriculture,308293
non,Térébenthine,2169,Manufactures,385082
non,Textiles manufacturés divers et mélangés,2733,Manufactures,385082
non,Thé,2350,Agriculture,308293
non,Toiles de chanvre et de lin,14871,Manufactures,385082
non,Toiles de coton,10618,Manufactures,385082
non,Toiles diverses,13280,Manufactures,385082
oui,Toille,1,,36821
non,Verdet,2182,Non-agricultural primary goods,121198
non,Verrerie,7921,Manufactures,385082
non,Vin de liqueurs,921,Agriculture,308293
non,Vins de Bordeaux,1928,Agriculture,308293
non,Vins divers,34925,Agriculture,308293
