obsolete,revolutionempire,nbr_occurences_revolutionempire,threesectorsM,nbr_occurences_threesectorsM
non,,217,Inconnus,41387
oui,???,1,,36963
non,[non traité],0,Inconnus,41387
non,[vide],6918,Inconnus,41387
non,À vide et lest inconnu,10572,,36963
non,Acier,2705,Produits primaires,159524
non,Action (hors pêche),56,,36963
non,Alcalis,1792,Produits primaires,159524
non,"Alquifoux, mine de plomb et graphite",1006,Produits primaires,159524
non,Alun,2560,Produits primaires,159524
non,Animaux,5576,Produits agricoles,274773
non,Argenterie et orfèvrerie,1775,Produits manufacturés,386404
non,"Armes, munitions, poudre et pierres à fusil",6615,Produits manufacturés,386404
non,Azur et cobalt,1196,Produits primaires,159524
non,Bâtiments de mer et apparaux,3535,Produits manufacturés,386404
non,Beurre,3275,Produits agricoles,274773
non,"Bière, cidre et vinaigre",9956,Produits agricoles,274773
non,Bijouterie et pierres fines,1900,Produits manufacturés,386404
non,Blé et autres grains comestibles,14728,Produits agricoles,274773
non,Bois des Indes,646,Produits primaires,159524
non,Bois divers hors combustible,15115,Produits primaires,159524
non,Boissons diverses et mélangées,873,Produits agricoles,274773
non,Bonneterie de soie,652,Produits manufacturés,386404
non,Bonneterie hors soie,2795,Produits manufacturés,386404
non,Bouchons principalement en liège,1454,Produits manufacturés,386404
non,"Bougies, chandelles et flambeaux",3823,Produits manufacturés,386404
non,"Brai, goudron et résines",9178,Produits primaires,159524
non,Cacao et chocolat,4264,Produits agricoles,274773
non,Café,8242,Produits agricoles,274773
non,Cannelle,1601,Produits agricoles,274773
non,Cendres diverses,2484,Produits primaires,159524
non,Céruse et blanc de plomb,1177,Produits primaires,159524
non,Chairs et œufs,9838,Produits agricoles,274773
non,Châles et mouchoirs de soie,1036,Produits manufacturés,386404
non,Châles et mouchoirs hors soie,4736,Produits manufacturés,386404
non,Chanvre,7107,Produits primaires,159524
non,Chapeaux d'écorce et de paille,689,Produits manufacturés,386404
non,Chapeaux hors paille et écorce,4780,Produits manufacturés,386404
non,Chevaux et bêtes de somme,1985,Produits agricoles,274773
non,Cire,4123,Produits manufacturés,386404
non,Cochenille,1454,Produits primaires,159524
non,Colles diverses,1899,Produits primaires,159524
non,Combustibles dont charbons et bois,6546,Produits primaires,159524
non,Cordage et filets,3782,Produits manufacturés,386404
non,Cordonnerie et sellerie,3280,Produits manufacturés,386404
non,"Cornes, corail, écailles, ivoire et nacre",4073,Produits agricoles,274773
non,Coton non transformé,3331,Produits primaires,159524
non,"Cuirs, peaux et pelleterie",27652,Produits manufacturés,386404
non,Cuivre,3266,Produits primaires,159524
non,Denrées coloniales et épiceries diverses,3769,Produits agricoles,274773
non,Dentelles,2994,Produits manufacturés,386404
non,Divers incertains,12585,Inconnus,41387
non,Divers mélangés,13061,Inconnus,41387
oui,divers mélangés,4,,36963
non,Dorure,1875,Produits manufacturés,386404
oui,Draps divers,5184,Produits manufacturés,386404
non,Drogues diverses,10938,Produits manufacturés,386404
non,Drogues médicinales diverses,12678,Produits manufacturés,386404
non,Eaux-de-vie et liqueurs,15896,Produits agricoles,274773
non,Étain,1396,Produits primaires,159524
oui,Étoffes de coton,1,,36963
non,Étoffes de laine,16222,Produits manufacturés,386404
non,Étoffes de soie,10178,Produits manufacturés,386404
oui,Étoffes de taffetas,1,,36963
non,Étoffes diverses,8098,Produits manufacturés,386404
non,Êtres humains,6980,,36963
non,"Farine, gruau, biscuits et pâtes",4834,Produits agricoles,274773
non,"Faucilles, faux et limes",1343,Produits manufacturés,386404
non,Fer,9489,Produits primaires,159524
non,Fer-blanc,2114,Produits primaires,159524
non,"Filoselle, fleuret et bourre de soie",914,Produits manufacturés,386404
non,Fils divers,9516,Produits manufacturés,386404
non,Fleurs artificielles et ouvrages de mode,2135,Produits manufacturés,386404
non,Fromage,4632,Produits agricoles,274773
non,Fruits frais,10465,Produits agricoles,274773
non,Fruits secs et noix,15230,Produits agricoles,274773
non,Galle,1557,Produits agricoles,274773
non,Gants,2414,Produits manufacturés,386404
non,Garance,1864,Produits agricoles,274773
non,Girofle,1185,Produits agricoles,274773
non,Gommes diverses,4597,Produits primaires,159524
non,Graines de jardin,1245,Produits agricoles,274773
non,"Graines de trèfle, de luzerne et de prairie",771,Produits agricoles,274773
non,Graines diverses et mélangées,3137,Produits agricoles,274773
non,Graines grasses,1933,Produits agricoles,274773
non,Graisses diverses,3859,Produits agricoles,274773
non,"Gravelée, potasse et védasse",1798,Produits primaires,159524
non,Habits et lingerie,10353,Produits manufacturés,386404
non,Horlogerie,1891,Produits manufacturés,386404
non,Huile d'olive à manger,3827,Produits agricoles,274773
non,Huile d'olive pour fabrique,570,Produits agricoles,274773
