simplification,nbr_occurences_simpl,ulrich,obsolete,nbr_occurences_ulrich
,117,,oui,1091
???,88,out,non,288284
??? blanc,2,out,non,288284
??? brun,2,out,non,288284
??? d'Anjou et de Touraine,1,out,non,288284
??? d'argent,1,out,non,288284
??? d'une valeur moindre de deux mille francs chacun,8,out,non,288284
??? de boutard,1,out,non,288284
??? de fer,2,out,non,288284
??? de morue,1,out,non,288284
??? de nacre de perle,1,out,non,288284
??? des ci-devant provinces d'Alsace,1,out,non,288284
??? des ci-devant provinces de Bourgogne,1,out,non,288284
??? des ci-devant provinces de Provence,1,out,non,288284
??? des ci-devant provinces du Languedoc,1,out,non,288284
??? diverses,4,out,non,288284
??? fer,1,out,non,288284
??? forts de fer,1,out,non,288284
??? gras,1,out,non,288284
??? particulièrement en chevaux,1,out,non,288284
??? pieds,1,out,non,288284
??? pruneaux,1,out,non,288284
??? raisins secs,1,out,non,288284
???sse,1,out,non,288284
?ufs,1,out,non,288284
[non traité],217,,non,1091
[vide],10,,non,1091
à jamis,218,cotton goods,non,9461
à l'aventure,1,,non,1091
à son lest,1,,non,1091
à vide,2,,non,1091
abassis,4,out,non,288284
abats,2,out,non,288284
abattis de morue,1,out,non,288284
abricots confits,1,out,non,288284
absinthe,2,out,non,288284
acacia,3,out,non,288284
acacia germanica,1,out,non,288284
acacia vera,1,out,non,288284
acajou,2,out,non,288284
acétates d'étain,1,out,non,288284
acétates de fer,3,out,non,288284
acétates de plomb,2,out,non,288284
acétates de plomb sel de Saturne,2,out,non,288284
acétates de potasse et de soude,2,out,oui,288284
acétates de potasse et de soudes,2,,non,1091
acétates de sel d'étain,1,out,non,288284
achia,3,out,non,288284
acide arsénieux,4,out,non,288284
acide benzoïque,1,out,non,288284
acide benzoïque et phosphorique,1,out,non,288284
acide borique,2,out,non,288284
acide borique et benzoïque,1,out,non,288284
acide citrique,1,out,non,288284
acide citrique et muriatique et phosphorique,1,out,non,288284
acide citrique et oxalique et tartrique,1,out,non,288284
acide de potasse crème de tartre,2,out,non,288284
acide de potasse lie de vin desséché et liquide,1,out,non,288284
acide de potasse lie de vin desséchée,2,out,non,288284
acide de potasse lie de vin liquide,2,out,non,288284
acide de potasse tartre brut impur,1,out,non,288284
acide muriatique,1,out,non,288284
acide muriatique et nitrique et phosphorique,1,out,non,288284
acide muriatique et nitro-muriatique,1,out,non,288284
acide nitrique,2,out,non,288284
acide oxalique,1,out,non,288284
acide phosphorique,1,out,non,288284
acide succinique,1,out,non,288284
acide tartrique,1,out,non,288284
acide vitriolique,2,out,non,288284
acide vitriolique et huile de vitriol,4,out,non,288284
acier,1215,out,non,288284
acier battu forgé ou laminé,1,out,non,288284
acier brun,1,out,non,288284
acier brut,7,out,non,288284
acier commun,1,out,non,288284
acier en barres,6,out,non,288284
acier en bottes pour la Compagnie des Indes,1,out,non,288284
acier et clous,1,out,non,288284
acier et fer,8,out,non,288284
acier fondu en carreaux ou en tôle,3,out,non,288284
acier fondu forgé,1,out,non,288284
acier forgé,3,out,non,288284
acons,1,out,non,288284
acons démontés,16,out,non,288284
acons démontés en gabare,2,out,non,288284
acorus,3,out,non,288284
acuirson,1,out,non,288284
