simplification,nbr_occurences_simpl,obsolete,v_glass_beads,nbr_occurences_v_glass_beads
,2,oui,,37440
???,3201,non,out,820768
??? blanc,2,non,out,820768
??? brun,2,non,out,820768
??? d'Anjou et de Touraine,0,non,out,820768
??? d'argent,1,non,out,820768
??? d'une valeur moindre de deux mille francs chacun,413,non,out,820768
??? de boutard,0,non,out,820768
??? de fer,2,non,out,820768
??? de morue,1,non,out,820768
??? de nacre de perle,1,non,out,820768
??? des ci-devant provinces d'Alsace,0,non,out,820768
??? des ci-devant provinces de Bourgogne,1,non,out,820768
??? des ci-devant provinces de Provence,2,non,out,820768
??? des ci-devant provinces du Languedoc,1,non,out,820768
??? diverses,4,non,out,820768
??? fer,1,non,out,820768
??? forts de fer,1,non,out,820768
??? gras,1,non,out,820768
??? particulièrement en chevaux,0,non,out,820768
??? pieds,1,non,out,820768
??? pruneaux,1,non,out,820768
??? raisin sec,1,non,,37440
??? raisin secs,1,oui,out,820768
???sse,1,non,out,820768
?ufs,0,non,out,820768
[non traité],67,oui,,37440
[vide],6242,non,,37440
à l'aventure,46,non,,37440
à son lest,4,oui,,37440
à vide,647,non,,37440
abassis,4,non,out,820768
abats,2,non,out,820768
abattis de morue,1,non,out,820768
abricots confits,1,non,out,820768
absinthe,19,non,out,820768
acacia,5,non,out,820768
acacia germanica,1,non,out,820768
acacia vera,1,non,out,820768
acajou,6,non,out,820768
acétates d'étain,1,non,out,820768
acétates de fer,3,non,out,820768
acétates de plomb,285,non,out,820768
acétates de plomb et autres,7,non,,37440
acétates de plomb sel de Saturne,2,oui,out,820768
acétates de potasse et de soude,2,oui,out,820768
acétates de potasse et de soudes,2,non,,37440
acétates de sel d'étain,1,non,out,820768
achia,7,non,out,820768
acide arsénieux,8,non,out,820768
acide benzoïque,1,non,out,820768
acide benzoïque et phosphorique,2,non,out,820768
acide borique,3,non,out,820768
acide borique et benzoïque,2,non,out,820768
acide citrique,2,non,out,820768
acide citrique et muriatique et phosphorique,2,non,out,820768
acide citrique et oxalique et tartrique,2,non,out,820768
acide de potasse crème de tartre,5,non,out,820768
acide de potasse lie de vin desséché et liquide,4,non,out,820768
acide de potasse lie de vin desséchée,3,non,out,820768
acide de potasse lie de vin liquide,2,non,out,820768
acide de potasse tartre brut impur,2,non,out,820768
acide muriatique,1,non,out,820768
acide muriatique et nitrique et phosphorique,3,non,out,820768
acide muriatique et nitro-muriatique,2,non,out,820768
acide nitrique,4,non,out,820768
acide oxalique,2,non,out,820768
acide phosphorique,2,non,out,820768
acide succinique,1,non,out,820768
acide tartrique,2,non,out,820768
acide vitriolique,4,non,out,820768
acide vitriolique et huile de vitriol,109,non,out,820768
acier,2613,non,out,820768
acier battu forgé ou laminé,1,non,out,820768
acier brun,1,non,out,820768
acier brut,11,non,out,820768
acier commun,1,non,out,820768
acier en barres,9,non,out,820768
acier en bottes,1,non,,37440
acier en bottes pour la Compagnie des Indes,1,non,out,820768
acier et clous,9,non,out,820768
acier et fer,356,non,out,820768
acier fondu en carreaux ou en tôle,5,non,out,820768
acier fondu forgé,1,non,out,820768
acier forgé,7,non,out,820768
acons,1,non,out,820768
acons démontés,21,non,out,820768
