simplification,nbr_occurences_simplification,metric,conv_simplification_to_metric,incertitude_unit,source_hambourg,missing,needs_more_details,remarque_unit,nbr_occurences_metric
,165222,,,,,,1,,189342
????,305,,,1,0,,1,,189342
?ans,1,,,,,,1,,189342
#,2,,,,,,1,,189342
aimes,8,kg,148,,0,,0,Doursther : Tierce=nom donné par les allemands à Aime: de 130 à 166 litres -> 148 litres,286169
alvrames,2,,,,,,1,,189342
ancre,107,kg,37,,0,1,0,p27 doursther : en usage en Allemagne et en hollande formant le quart de l'aime,286169
andouilles,1,,,,,,1,,189342
anée pour les liquides,14,kg,81.96000000000001,,,,0,p43 doursther : voir anée -> P28 -> prendre mesure de Lyon,286169
arrobe,10,kg,12.2375,,,,0,Doursther : l'arrobe représente 25 livres (page 40),286169
arts,1,,,,,,1,,189342
assortis,1,,,,,,1,,189342
atlas,2,nombre,1,,,,0,,72687
au grand compte,1,,,,,,1,,189342
aune,69,,,,,,1,,189342
aunes,3,,,,,,1,,189342
aunes carrées,1,,,,,,1,,189342
aunes de paris,10336,cm,118.84,,0,,0,Wikipedia,10781
bailles,42,litres,14.625,,0,,0,p44 doursther numéro du dictionnaire,7130
baines,2,,,,,,1,,189342
balles,559,contenant,1,,,,0,,3178
ballon,23,contenant,1,,,,0,,3178
ballot,213,contenant,1,,,,0,,3178
ballot petit,1,,,,,,1,,189342
banne,29,contenant,1,,,,0,,3178
baquet,1,contenant,1,,,,0,,3178
barattes,1,,,,,,1,,189342
barbançons,2,,,,,,1,,189342
barbots,1,,,,,,1,,189342
barbues,5,,,,,,1,,189342
bard,1,contenant,1,,0,1,0,,3178
baril,13,,,,,,1,,189342
barillets,56,,,,,,1,,189342
barils,7225,,,,,,1,fer blancs en 450 feuilles ?,189342
barils ???,2,,,,,,1,,189342
barils de 450 feuilles,0,,,,,,1,,189342
barils double,8,,,,,,1,,189342
barils en saumure,1,,,,,,1,,189342
barils feuiller,1,,,,,,1,,189342
barils grand modèle,1,,,,,,1,,189342
barils gros,3,,,,,,1,,189342
barils ordinaires,1,,,,,,1,,189342
barils petit modèle,1,,,,,,1,,189342
barral vin de Montpellier,17,kg,25.35,,0,,0,p57 doursther,286169
barraux,1,,,,,,1,,189342
barres,16,,,,,,1,,189342
barrique,1,,,,,,1,,189342
barriques,5176,kg,489.5,,,,0,,286169
barriques en bottes,1,,,,,,1,,189342
barriques en bouteille,3,,,,,,1,,189342
barriques grosses,1,,,,,,1,,189342
barriques nantaises,1,,,,,,1,,189342
barriquets,1,,,,,,1,,189342
basin double,1,,,,,,1,,189342
basses,1,,,,,,1,,189342
bassines,1,,,,,,1,,189342
bassins,3,,,,,,1,,189342
bateaux,30,,,,,,1,,189342
bâtons,4,nombre,1,,0,1,0,,72687
bazin,2,,,,,,1,,189342
bazique,1,,,,,,1,,189342
bertilles,1,,,,,,1,,189342
bêtes,1,nombre,1,,,,0,,72687
bichets de Lyon,1,litres,31.9,,0,,0,p66 doursther,7130
billes,17,nombre,1,,,,0,,72687
billets,1,nombre,1,,0,,0,,72687
billons,3,nombre,1,,,,0,,72687
bines,1,,,,,,1,,189342
birges,1,,,,,,1,,189342
boisseau,1492,litres,12.695,,,,0,Wikipédia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur,7130
boisseaux,2,,,,,,1,,189342
boite,2,,,,,,1,,189342
boîtes,137,contenant,1,,,,0,,3178
bolliches,1,,,,,,1,,189342
botiches,7,,,,,,1,,189342
boucaux,54,,,,,,1,,189342
boucs,0,litres,,,,,,"Mesure utilisée à Bayonne pour le commerce de vin, huile d'olive et vinaigre (lié à l'Espagne?)",7130
boules,4,,,,,,1,,189342
bout,1,,,,,,1,,189342
boutades,11,,,,,,1,,189342
bouteilles,2114,,,,,,1,,189342
bouteilles et muids et pintes,27,,,,,,1,,189342
bouteilles ou le livres,1,,,,,,1,,189342
bouts,11,,,,,,1,,189342
brancard,1,,,,,,1,,189342
braques,1,,,,,,1,,189342
brasses,21,,,,,,1,,189342
brilles,1,,,,,,1,,189342
brins,18,,,,,,1,,189342
briques,2,,,,,,1,,189342
bûches,6,nombre,1,,,,0,???,72687
cabas,23,contenant,1,,,,0,,3178
cabillon,1,,,,,,1,,189342
cabillons,1,,,,,,1,,189342
cahiers,1,,,,,,1,,189342
caisses,996,contenant,1,,,,0,,3178
caissons,91,contenant,1,,,,0,,3178
canastre,2,,,,,,1,,189342
canes,9,,,,,,1,,189342
canettes,9,,,,,,1,,189342
canevettes,45,,,,,,1,,189342
cannades,1,,,,,,1,,189342
cannées,1,,,,,,1,,189342
cannelles,44,,,,,,1,,189342
cannes,68,cm,194.9,,,,0,"p94 doursther, correspond à la toise",10781
cannes en carré,1,,,,,,1,,189342
canques,1,,,,,,1,,189342
caps,10,,,,,,1,,189342
caques,5,kg,13.6,,,,0,"p100 doursther : équivalent au baril, en anglais cade/cag",286169
caratello,1,,,,,,1,,189342
cargaisons,2,,,,,,1,,189342
carre,1,,,,,,1,,189342
carreaux,33,litres,102.831,,,,0,"Doursther : voir page 102, 1 carreau = 3 pieds cubes de Paris = 3*34,277 L (voir Wikipédia pied cube)",7130
cartes ?,1,,,,,,1,,189342
cartieres,4,,,,,,1,,189342
cartons,6,,,,,,1,,189342
cartroles,1,,,,,,1,,189342
casernes,1,,,,,,1,,189342
castes,1,,,,,,1,,189342
cave,13,,,,,,1,,189342
cavelles,14,,,,,,1,,189342
cavettes,1,,,,,,1,,189342
cent au grand,1,,,,,,1,,189342
cent au grand compte,122,,,,,,1,,189342
cent au grand nombre,1,,,,,,1,,189342
cercles,10,,,,,,1,,189342
chaises,3,nombre,1,,,,0,,72687
chaldres,13,,,,,,1,,189342
chanterice,1,,,,,,1,,189342
chapeaux,74,,,,0,1,1,Toujours une unité de compte pour le charbon de terre. Pas dans Doursther. Je n'ai pas trouvé dans Google non plus:(,189342
chardées,1,,,,,,1,,189342
charettes,18,,,,,,1,,189342
charge,7,,,,,,1,,189342
charge de chenal,2,,,,,,1,,189342
chargées,1,,,,,,1,,189342
charges,2818,kg,146.85,,,,0,,286169
chariots,20,litres,1028.3101,,,,0,"Doursther : 1 chariot = 10 carreaux = 30 pieds cubes de Paris = 30*34,277 L (voir wikipédia pied cube)",7130
charretées,220,litres,1920,,,,0,"www.genefourneau.com/mesure.html , =1,92 stères",7130
chars,146,litres,548.4400000000001,,0,,0,"p111 doursther, mesure de genève",7130
charte,2,,,,,,1,,189342
chartils,2,,,,,,1,,189342
cheldes,2,,,,,,1,,189342
chevrier,1,,,,,,1,,189342
chevrons,2,,,,,,1,,189342
chopes,1,,,,,,1,,189342
choux,1,nombre,1,,0,,0,,72687
citrons,1,nombre,1,,,,0,,72687
classer,1,,,,,,1,,189342
cloches,1,,,,,,1,,189342
cm,13,,,,,,1,,189342
coffres,26,contenant,1,,,,0,,3178
coffrets,1,contenant,1,,,,0,,3178
colis,5,,,,,,1,,189342
collé,1,,,,,,1,,189342
conques,216,litres,41.06,,0,,0,doursther : 41.06 litres p119,7130
coquilles,1,,,,,,1,,189342
cordes,69,litres,3839.0549,,0,,0,p123 doursther,7130
cordons,1,,,,,,1,,189342
cottes,37,,,,,,1,,189342
couffe,1,,,,,,1,,189342
coupes,30,contenant,1,,0,,0,,3178
coupons,28,,,,,,1,,189342
courbes,1,,,,,,1,,189342
couteaux,1,,,,,,1,,189342
couverts,1,,,,,,1,,189342
croix,2,,,,,,1,,189342
cruches,9,nombre,1,,0,,0,,72687
da ?,1,,,,,,1,,189342
de navire ???,1,,,,,,1,,189342
demi charge,4,kg,73.425,,,,0,D'après Doursther (France). Aussi la valeure choisie par Werner,286169
demi pièces,25,nombre,.5,,0,,0,,72687
demi planches,3,nombre,.5,,,,0,,72687
demi planches en barils,1,,,,,,1,,189342
deniers,0,,,,,,1,,189342
deniers ?,1,,,,,,1,,189342
devants,2,,,,,,1,,189342
dierons ?,1,,,,,,1,,189342
données ?,1,,,,,,1,,189342
doubles cavelles,1,,,,,,1,,189342
doublures,1,nombre,1,,0,,0,,72687
douelles,0,nombre,1,,,,0,,72687
dourgs,1,,,,,,1,,189342
draps,3,,,,,,1,,189342
droits,13,,,,,,1,,189342
drugnes,1,,,,,,1,,189342
E',1,,,,,,1,,189342
écuelles,2,,,,,,1,,189342
émines,5,,,,,,1,,189342
en,3,,,,,,1,,189342
en argent,1,nombre,1,,,,0,,72687
en feuilles,1,feuilles,1,,0,,0,,224
en nombre,5,nombre,1,,0,,0,,72687
facs,1,,,,,,1,,189342
fagots,11,,,,,,1,,189342
faix,270,,,,,,1,Pas dans Doursther,189342
fanègues,27,,,,,,1,,189342
fannes,1,,,,,,1,,189342
fanons,1,nombre,1,,0,,0,,72687
fardeaux,1,,,,,,1,,189342
fartraux,1,,,,,,1,,189342
fau,1,,,,,,1,,189342
feittots,1,,,,,,1,,189342
ferquins,1,,,,,,1,,189342
fers,2,,,,,,1,,189342
fés,1,,,,,,1,,189342
feuillards,2,,,,,,1,,189342
feuilles,223,feuilles,1,,,,0,,224
feuilles doubles,1,nombre,1,,,,0,,72687
feuillet,4,,,,,,1,,189342
feuillettes,9,kg,134.11,,0,,0,p161 doursther,286169
fez,3,,,,,,1,,189342
fils,1,,,,,,1,,189342
fioles,69,,,,,,1,,189342
flacons,179,contenant,1,,0,,0,,3178
fléau,1,,,,,,1,,189342
flûtes,5,nombre,1,,,,0,,72687
fonçailles,8,,,,,,1,,189342
fontaine,1,,,,,,1,,189342
fourneaux,2,nombre,1,,,,0,,72687
fournitures,113,,,,,,1,Que pour du bois et des cercles à tonneaux ; pas dans les Doursther,189342
fours,6,nombre,1,,,,0,,72687
fraques ?????,1,,,,,,1,,189342
frequier,5,,,,,,1,,189342
frequin,46,,,,,,1,,189342
frequins,1,,,,,,1,,189342
fres,1,,,,,,1,,189342
fromages,1,nombre,1,,,,0,,72687
fusils,3,nombre,1,,0,,0,,72687
futailles,53,kg,391.6,,,,0,,286169
futs,2,,,,,,1,,189342
garbes,1,,,,,,1,,189342
garde feux,2,,,,,,1,,189342
garnitures,42,,,,,,1,,189342
gennes ?,1,,,,,,1,,189342
gerbes,2,,,,,,1,,189342
gobelets,5,nombre,1,,,,0,,72687
gommes,7,,,,,,1,,189342
gonnes,29,,,,,,1,,189342
gousses,1,,,,,,1,,189342
grains,1,,,,,,1,,189342
grande caisse,3,,,,,,1,,189342
grands,6,nombre,1,,0,,0,,72687
grenier,5,,,,,,1,,189342
gros flacons,1,,,,,,1,,189342
grosses,1339,nombre,144,,,,0,"p175 doursther, 12 douzaines",72687
grosses barriques,6,,,,,,1,,189342
grosses paires,1,,,,,,1,,189342
grosses pièces,1,,,,,,1,,189342
grosses pipes,1,,,,,,1,,189342
grosseur,2,,,,,,1,,189342
guindeau,1,nombre,1,,,,0,,72687
habits,1,,,,,,1,,189342
haches,1,,,,,,1,,189342
halles,1,,,,,,1,,189342
Hambourg,10,,,,,,1,,189342
horloges,1,nombre,1,,,,0,,72687
Houlle,1,,,,,,1,,189342
huitres,1,nombre,1,,0,,0,,72687
hume,1,,,,,,1,,189342
imi de berne,1,litres,3.503,,0,,0,p597 doursther -> voir Imi p186,7130
issarions,2,,,,,,1,,189342
jarres,10,,,,,,1,,189342
jattes,4,,,,,,1,,189342
jeux,7,nombre,1,,,,0,,72687
jez,15,litres,137.11,,,,0,"Doursther page 190, 1 jez = 137,11 L",7130
jupes,1,,,,,,1,,189342
jutte,19,kg,60,,0,1,0,"Doursther page 193, la jutte pesait environ 60kg",286169
kg,23,,,,,,,,189342
kilogrammes,12182,kg,1,,,,0,,286169
lames,1,,,,,,1,,189342
