quantity_unit,quantity_unit_orthographe,quantity_unit_ajustees,u_conv,q_conv,remarque_unit,incertitude_unit,source_hambourg,missing,need_marchandises,source_bdc,nbr_bdc_quantity_unit,nbr_bdc_quantity_unit_ajustees
?,????,????,,,,,,,,1,53,284
??,????,????,,,,,,,,1,1,284
???,,,,,,,,,,1,35,236654
??? pièces,,,,,"vérification dans la source, il s’agit de « pièces »",,,,,1,9,236654
????,????,????,,,,1,0,,0,1,148,284
???? an,???? an,????,,,,1,0,,0,1,1,284
???? aunes,???? aunes,????,,,,1,0,,0,1,3,284
???? Aunes,???? aunes,????,,,,1,0,,0,1,1,284
???? aunes ou livres,???? aunes ou livres,????,,,,1,0,,0,1,1,284
???? B,???? b,????,,,,1,0,,0,1,1,284
???? bann,???? bann,????,,,,1,0,,0,1,3,284
???? Bar,???? bar,????,,,,1,0,,0,1,1,284
???? boileaux,???? boileaux,????,,,,1,0,,0,1,1,284
???? boir X,???? boir x,????,,,,1,0,,0,1,2,284
???? boisses,???? boisses,????,,,,1,0,,0,1,1,284
???? boucoud,???? boucoud,????,,,,1,0,,0,1,1,284
???? boue(c)s,???? boue(c)s,????,,,,1,0,,0,1,2,284
???? boul,???? boul,????,,,,1,0,,0,1,1,284
???? bout s,???? bout s,????,,,,1,0,,0,1,12,284
???? bouteilles,???? bouteilles,????,,,,1,0,,0,1,1,284
???? caps,???? caps,????,,,,1,0,,0,1,1,284
???? cha,???? cha,????,,,,1,0,,0,1,1,284
???? charres,???? charres,????,,,,1,0,,0,1,1,284
???? cou,???? cou,????,,,,1,0,,0,1,1,284
???? de la bour.,???? de la bour.,????,,,,1,0,,0,1,2,284
???? grosses,???? grosses,????,,,,1,0,,0,1,2,284
???? LC dit peut être fausse valeur,???? lc dit peut être fausse valeur,????,,,,1,0,,0,1,1,284
???? livres,???? livres,????,,,,1,0,,0,1,2,284
???? livres x,???? livres x,????,,,,1,0,,0,1,1,284
???? lotes,???? lotes,????,,,,1,0,,0,1,1,284
???? m,???? m,????,,,,1,0,,0,1,2,284
???? malls,???? malls,????,,,,1,0,,0,1,1,284
???? maq s,???? maq s,????,,,,1,0,,0,1,1,284
???? mo,???? mo,????,,,,1,0,,0,1,1,284
???? mot,???? mot,????,,,,1,0,,0,1,2,284
???? mottes,???? mottes,????,,,,1,0,,0,1,1,284
???? p,???? p,????,,,,1,0,,0,1,2,284
???? paquets,???? paquets,????,,,,1,0,,0,1,1,284
???? pièces,???? pièces,????,,,,1,0,,0,1,2,284
???? po/ans,???? po/ans,????,,,,1,0,,0,1,1,284
???? quar,???? quar,????,,,,1,0,,0,1,1,284
???? Rien,???? rien,????,,,,1,0,,0,1,9,284
???? scdes,???? scdes,????,,,,1,0,,0,1,1,284
???? teinpettes,???? teinpettes,????,,,,1,0,,0,1,1,284
???? tonnage,???? tonnage,????,,,,1,0,,0,1,4,284
