simplification,nbr_occurences_simpl,sitc,sitc_FR,sitc_EN,revolutionempire,RE_aggregate,nbr_occurences_RE_aggregate
,36178,,,,[vide],[vide],42704
???,3471,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? blanc,2,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? brun,2,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? d'Anjou et de Touraine,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? d'argent,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? d'une valeur moindre de deux mille francs chacun,473,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? de boutard,0,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? de fer,2,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? de morue,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? de nacre de perle,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? des ci-devant provinces d'Alsace,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? des ci-devant provinces de Bourgogne,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? des ci-devant provinces de Provence,2,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? des ci-devant provinces du Languedoc,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? diverses,4,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? fer,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? forts de fer,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? gras,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? particulièrement en chevaux,6,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? pieds,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? pruneaux,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
??? raisins secs,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
???sse,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
?ufs,0,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
Bengale,1,8,Articles manufacturés divers n.d.a,Various manufactures,Ouvrages divers et mélangés,Industrie française et étrangère,209323
Bergopzoom,52,6i,Autres filés ou tissés,Other threads and fabrics,Dentelles,Objets manufacturés,105514
Blicourt écarlate,1,6e,Filés ou tissés de laine et de poil,Wool threads and fabrics,Étoffes diverses,Objets manufacturés,105514
Bombay,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
Brignoles,104,0a,Autres produits alimentaires et animaux,Other foodstuff and live animals,Fruits secs et noix,Subsistances,205286
Brésil,1,2,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels",Matières brutes et transformées pour teinture,Matières premières,164048
Campêche,1,2,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels",Matières brutes et transformées pour teinture,Matières premières,164048
Catalogne de laine,1,6e,Filés ou tissés de laine et de poil,Wool threads and fabrics,Étoffes de laine,Objets manufacturés,105514
Catalogne de poil,2,6e,Filés ou tissés de laine et de poil,Wool threads and fabrics,Étoffes diverses,Objets manufacturés,105514
Fer-blanc de 600 feuilles,1,6j,"Métaux, produits métalliques et outils",Metal products,Fer-blanc,Métaux,18581
Hondschoote blanche,3,6i,Autres filés ou tissés,Other threads and fabrics,Draps divers,Objets manufacturés,105514
Hondschoote peinte,5,6i,Autres filés ou tissés,Other threads and fabrics,Draps divers,Objets manufacturés,105514
Itaine de laine,1,6e,Filés ou tissés de laine et de poil,Wool threads and fabrics,Étoffes de laine,Objets manufacturés,105514
Joséphine de laine et de soie,1,6f,Filés ou tissés de soie et soie mélangée,Silk threads and fabrics,Étoffes de soie,Objets manufacturés,105514
Li ???,1,???,Produits inconnus,Unknown products,Produits inconnus,Divers,30390
Madras,3,6g,Filés ou tissés de coton,Coton threads and fabrics,Étoffes diverses,Objets manufacturés,105514
Madras mouchoirs,1,8,Articles manufacturés divers n.d.a,Various manufactures,Châles et mouchoirs de soie,Objets manufacturés,105514
Madères,2,1,Boissons et tabac,Beverages and tobacco,Vins divers,Subsistances,205286
Marly,3,6i,Autres filés ou tissés,Other threads and fabrics,Textiles manufacturés divers et mélangés,Objets manufacturés,105514
Marly broché,2,6i,Autres filés ou tissés,Other threads and fabrics,Textiles manufacturés divers et mélangés,Objets manufacturés,105514
Marly de fil,3,6h,Autres filés ou tissés mélangés de fibres végétales dont toiles,Other vegetal threads and fabrics,Textiles manufacturés divers et mélangés,Objets manufacturés,105514
Marly de soie,1,6f,Filés ou tissés de soie et soie mélangée,Silk threads and fabrics,Soieries diverses,Objets manufacturés,105514
