numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,2,Acier,,360,1200,Allemagne,,livres,390,,,,,,0
2,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyanne,,2,Acier,,30,100,Allemagne,,livres,390,,,,,,0
3,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,2,Agrès de navire (jeux de voile),,1632000,272,Bordeaux,,en nombre,2076000,,,,,,0
4,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,2,Agrès de navire (jeux de voile),,258000,43,Bordeaux,,en nombre,2076000,,,,,,0
5,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Guadeloupe,,2,Agrès de navire (jeux de voile),,168000,28,Bordeaux,,en nombre,2076000,,,,,,0
6,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyanne,,2,Agrès de navire (jeux de voile),,18000,3,Bordeaux,,en nombre,2076000,,,,,,0
7,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,2,Agrès de navire (jeux de voile),,78000,13,Bordeaux,,en nombre,,,,,,,0
8,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,2,Prélats de toile,,2180,31,Bordeaux,,en nombre,,,,,,,0
9,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,2,Amandes cassées,,1170,900,Provence,,livres,,,,,,,0
10,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,2,Amandes en coques,,11747,19495,Languedoc,,livres,12803,,,,,,0
11,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,2,Amandes en coques,,360,600,Languedoc,,livres,12803,,,,,,0
12,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Guadeloupe,,2,Amandes en coques,,420,700,Languedoc,,livres,12803,,,,,,0
13,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Cayenne et Guyanne,,2,Amandes en coques,,276,460,Languedoc,,livres,12803,,,,,,0
14,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,2,Amandes en coques,,30,50,Languedoc,,livres,,,,,,,0
15,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,2,Amandes en coques,,10260,6156,Provence,,livres,10827,,,,,,0
16,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,2,Amandes en coques,,567,340,Provence,,livres,10827,,,,,,0
17,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,2,Amidon,,450,1500,Bordeaux,,livres,1950,,,,,,0
18,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,2,Amidon,,1440,4800,Bordeaux,,livres,1950,,,,,,0
19,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Guadeloupe,,2,Amidon,,60,200,Bordeaux,,livres,1950,,,,,,0
20,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,2,Sabres de traite,,3452,1726,St Etienne,,en nombre,,,,,,,0
21,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,2,Sabres de traite,,10996,5498,Hollande,,en nombre,,,,,,,0
22,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Sénégal et Guinée,,2,Sabres de traite,,600,300,Angleterre,,en nombre,,,,,,,0
23,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,2,Sabres de traite,,27654,13827,Bordeaux,,en nombre,,,,,,,0
