product,orthographic_normalization,note
Toile ; de bretagne ; crée large,toile ; de Bretagne ; crée ; large,
Meuble et miroirs,meuble et miroir,
Grains de jardin,grain ; de jardin,
"Bestiaux en bœufs, vaches, porcs, et moutons","bestiau ; bœuf, vache, mouton, porc",
Armes de guerre,arme de guerre,
Couperoses et vermillon,couperose et vermillon,
"Bestiaux en bœufs, vaches, porcs moutons","bestiau ; bœuf, vache, mouton, porc",
Thérébenthine,térébenthine,"cnrtl.fr : térébenthine : Résine semi-liquide, très odorante, que l'on recueille par gemmage de certains conifères et des térébinthes et dont on tire de nombreux produits (baumes, collophane, vernis, cires) et des substances pharmaceutiques."
Rubannerie ordinaires,rubanerie ; ordinaire,
"D'une valeur moindre de 2,000 fr chacun",divers ; d'une valeur moindre de 2000 francs chacun,
En bâtimens de mer,bâtiment de mer,
"Etoffes diverses, couverture et draperie pour le gouvernement",étoffe ; diverses ; couverture et draperie pour le gouvernement,
"Quincailleries ; faulx, faucilles, fil de laiton et limes",quincaillerie ; diverse ; faux ; faucille ; fil de laiton ; et lime,
Fer-blanc,fer ; blanc,
Ouvrages de jonc et de spaterie,ouvrage ; de jonc et sparterie,
Sirop et mélasse,sirop ; et mélasse,"cnrtl.fr : MELASSE : Liquide sirupeux non cristallisable, de couleur variant du blond au brun foncé, qui est le résidu de la cristallisation et du raffinage du sucre."
"Pâtes d'Italie ou vermicel, macaroni, &c","pâte ; d'Italie ; vermicelle, macaroni, etc.",
Soufre et salpètre,soufre ; et salpêtre,
"Fruits sesc, en amandes, figues et raisins","fruit ; sec ; amande, figue et raisin",
Huile et essence de térébentine,huile ; de térébenthine,
Chanvre et lin,chanvre et lin,
Blé et autres grains comestibles,bled ; et autre grain,
Jus de réglisse et bois,jus ; de réglisse,
Draperie et étoffe de laine,draperie et étoffe ; de laine,
Blé et riz,bled et riz,
Rogues pour la pêche,rogue ; pour la pêche,"Encyclopédie, Diderot & d'Alembert : Rogue, Rave ou Resure, terme de péche, est une sorte d'appât dont les pêcheurs se servent pour attirer le poisson, & le prendre ensuite lorsqu'il a mordu l'appât;"
"Cendres diverses ; Potasse, vedasses et gravelées","cendre ; potasse, vedasse et gravelée",
"Fruits verts, en oranges et citrons ; Fruits secs, en amandes, figues et raisins","fruit vert, en orange et citron ; fruit sec, en amande, figue et raisin",
"Fruits verts, en orange et citrons",fruit ; vert ; orange ; citron,
Toiles de fil et de coton,toile ; de fil ; et coton,
"Meubles, glaces et miroirs","meuble, glace et miroir",
"Brai, goudron, poix et résine","bray ; goudron, poix et résine",
Toiles de lin et coton,toiles ; de lin ; et coton,
"Bestiaux en bœufs, vaches, porcs et moutons","bestiau ; bœuf, vache, mouton, porc",
Toile de coton et nankin,toile ; de coton ; et nankin,"cnrtl.fr : Nankin : Toile de coton à tissu serré et solide, de couleur jaune clair, fabriquée originairement à Nankin, puis aux Indes et en Europe, utilisée principalement dans la confection masculine."
Provisions de bouche réunie,provision ; de bouche ; réunie,
"Prises et échouemens, principalement en coton, sucre, toile de coton, mousseline, indigo, café, tabac, &c...",prise ; et échouement ; principalement en coton ; sucre ; toile de coton ; mousseline ; indigo; café ; tabac ; etc,
"D'une valeur moindre de 2,000 fr. chacun",divers ; d'une valeur moindre de 2000 francs chacun,
Graines grasses et de lin,graine ; grasse et de lin,
Brai et goudron,bray ; goudron,
"D'une valeur moindre de 2,000 francs chacun",divers ; d'une valeur moindre de 2000 francs chacun,
Fuits divers,fruit ; divers,
Origine Inconnue,,
Gommes Copal,gomme ; copal,
Argent (vif) ou mercure,argent vif ou mercure,
Quincaillerie laiton filé noir et jaune p.r épingles,quincaillerie ; de laiton ; filé ; noir ; et jaune ; pour épingle,
"Dorure fausse, en or et argent battu, tiré et laminé","dorure ; fausse ; en or et argent ; battu, tiré et laminé",
Corail taillé non monté,corail ; taillé ; non monté,
Quincaillerie faux et faucilles,quincaillerie ; faux ; et faucille,
"Ouvrages de terre cuite. Briques, tuiles, carreaux","ouvrage ; de terre cuite ; en brique, tuile et carreau",
Carton moulé,carton ; moulé,
Fers blancs et tôle,fer ; blanc ; en tôle,
"Pierres en meules, à aiguiser et à taillandier",pierre ; meule ; à aiguiser ; et à taillandier,
Peaux Pelleteries,peau ; pelleterie,
"Parfumeries diverses. Eaux de senteur, huiles, essences, poudre, pommades et autres parfums","parfumerie ; divers ; en eau de senteur, huile, essence, poudre, pommade et autre parfum",
"Ouvrages de sparterie commune, cordages de jonc, &c","ouvrage ; de sparterie commune, cordage de jonc, ...",
"Objets de collection, peinture, sculpture, gravure et histoire naturelle","objet ; de collection ; sculpture, d'histoire naturelle, peinture et gravure",
"Bijouterie, diamans, perles et pierres fines, montés ou non montés","bijouterie ; diamant, perle et pierre fine ; monté ou non monté",
Tissus de lin et de chanvre en toile diverses,tissus ; de lin ; et de chanvre ; en toile diverse,
"Soieries en étoffes, gaze, crêpe, rubans et passementerie",soieries ; en étoffes ; gaze ; crêpe ; rubans ; et passementerie,"cnrtl.fr : GAZE :Tissu très fin et très léger, de coton, de soie ou de lin, à l'aspect presque transparent, dont les fils de trame sont fortement liés à la chaîne. CREPE : Étoffe généralement de laine ou de soie, plus ou moins légère et transpa"
Crayons fins ; pastel,crayon ; fin ; de pastel,
"Noirs communs, de fumée et autres",noir ; commun ; de fumée,
"Crayons fins ; pastel, laque fine, lack-lack des Indes","crayon ; fin ; de pastel, laque et lack-lack des Indes",
Huiles de faine et de noix,huile ; de faine et de noix,
"Bois ouvrés divers, en perches, échalas, échasses","bois ; ouvré ; perche, échalas, échasse",
Quercitron,quercitron,
Noix de galle et galles légères,noix ; de galle et galle légère,
"Matériaux de construction ; chaux, pierres, plâtre, briques et tuiles, ciment, sable, terre pozzolane","matériaux ; de construction ; chaux, pierre, plâtre, ardoise, etc.",
"Graines grasses de chanvre, lin et colza","graine ; grasse de chanvre, lin et colza",
Cuirs et peaux non apprêtés,cuir et peau ; non apprêté,
Cornes de bétail,corne ; de bétail,
"Cendres soude, natron et salin","cendre ; soude, natron et salin",
"Cendres-potasse, védasse et gravelée","cendre ; potasse, vedasse et gravelée",
Bois de construction et autres,bois ; de construction et autre,
Agaric brut et préparé,agaric,
Térébenthine (huile et essence de),térébenthine ; huile ; et essence,"cnrtl.fr : térébenthine : Résine semi-liquide, très odorante, que l'on recueille par gemmage de certains conifères et des térébinthes et dont on tire de nombreux produits (baumes, collophane, vernis, cires) et des substances pharmaceutiques."
Térébenthine en pâte,térébenthine ; en pâte,"cnrtl.fr : térébenthine : Résine semi-liquide, très odorante, que l'on recueille par gemmage de certains conifères et des térébinthes et dont on tire de nombreux produits (baumes, collophane, vernis, cires) et des substances pharmaceutiques."
"Substances et produits chimiques, principalement en eau-forte et couperose bleue et blanche",substances ; et produits chimiques ; principalement en eau-forte ; et couperose ; bleue ; et blanche,
Parfumeries huiles et essences,parfumerie ; huile et essence,
Parfumeries eaux de senteur,parfumerie ; eau de senteur,
Parfumeries diverses,parfumerie ; divers,
Papiers musique gravée,papier ; musique gravée,
"Objets d'arts, histoire naturelle, peinture et gravue","objet ; d'art, d'histoire naturelle, peinture et gravure",
"Habillements, lingerie et effets militaires","habillement, lingerie et effet militaire",
Argenterie et orfèvrerie en vermeil,argenterie et orfèvrerie ; vermeil,
Toilerie ; toiles de coutil et de bazin,toilerie ; toiles ; de coutil ; et de basin,"cnrtl.fr : Coutil : Toile de chanvre, de lin ou de coton, d'un tissage croisé, fortement serré, propre à faire des tentes, des enveloppes de matelas, d'oreillers, etc., ou à confectionner certains vêtements."
Toilerie ; bonneterie de fil,toilerie ; bonneterie ; de fil,
"Cotonnades ; toiles peintes, teintes et imprimées, indiennes et siamoises","cotonnade ; toile peinte, teinte et imprimée, indienne et siamoise",
Cotonnades ; toiles mousselines unies et peintes,cotonnade ; toile mousseline unie et peinte,
"Cotonnades ; toiles unies, bazin et nankin","cotonnade ; toile unie, basin et nankin",
"Cotonnades ; draps, étoffes de toute sorte","cotonnade ; drap, étoffe de toute sorte",
Noir d'ivoire,noir ; d'ivoire,
Encre à écrire et à imprimer,encre ; à écrire et à imprimer,
"Laines (déchet, tontisse et penne de )","laine ; déchet, tontisse et penne",
Huiles d'olive pour fabriques,huile ; d'olive ; pour fabrique,
"Huiles d'oeillette, de noix, de pavots","huile ; d'oeillette, de pavot et de noix",
Chardons cardiers,chardon ; cardier,
Laines de chevron et poil de lapin,laine ; de chevron et poil de lapin,
"Laines communes, ordinaires, lavées et en suint","laine ; commune, ordinaire, lavée et en suint",
Vins de Bordeaux fins,vin ; de Bordeaux ; fins,
Morue de pêche française,morue ; de pêche française,
"Poissons frais, salés et marinés",poisson ; frais ; salé ; et mariné,
Pierre calaminaire ou calamine,pierre ; calaminaire ; ou calamine,
Orge perlé et mondé,orge ; perlé et mondé,
Gommes acacias,gomme ; d'acacia,
Valeurs de diverses marchandises entrées en franchise de droits à charge de réexportation pour le commerce colonial,valeur de diverse marchandise entrées en franchise de droits à charge de réexportation pour le commerce colonial,
Quincaillerie laiton filé noir et jaune pour épingles,quincaillerie ; de laiton ; filé ; noir ; et jaune ; pour épingle,
Horlogerie et carillons,horlogerie et carillon,
Tissus de toile en linge de table,tissus ; de toiles ; en linge de table,
Tissus de toile de coutil,tissus ; de toile ; de coutil,"cnrtl.fr : Coutil : Toile de chanvre, de lin ou de coton, d'un tissage croisé, fortement serré, propre à faire des tentes, des enveloppes de matelas, d'oreillers, etc., ou à confectionner certains vêtements."
Rubannerie et passementerie diverses (celles de soie et dorure exceptées),rubanerie ; et passementerie ; diverse ; soie ; et dorure exceptées,
Zinc pour fabriquer le laiton,zinc pour fabriquer le laiton,
Tissus de laine en tapis,tissus ; de laine ; en tapis,
Miroirs et glaces,miroir et glace,
Eponges fines et communes,éponge ; commune et fine,
Tissus dentelles de fil,tissus ; dentelles ; de fil,
"Plumes à écrire et à lit, duvet et édredon",plume ; à écrire ; et à lit ; duvet ; et édredon,
"Bijouterie ; diamans, perles et pierres fines, montés ou non montés","bijouterie ; diamant, perle et pierre fine ; monté ou non monté",
Plumes de parure brutes,plume ; de parure ; brute,
"Peaux de veau, mouton et chèvre, brutes",peau ; de veau ; mouton ; et chèvre ; brute,
"Parfumeries diverses ; en eaux de senteur, huiles, essences, poudre, pommades et autres parfums","parfumerie ; divers ; en eau de senteur, huile, essence, poudre, pommade et autre parfum",
"Ouvrages de sparterie com.ne, cordages de jonc, &c","ouvrage ; de sparterie commune, cordage de jonc, ...",
Ouvrages de bois ; futailles,ouvrage ; de bois ; futaille,
Ouvrages de bois ; boissellerie,ouvrage ; de bois ; boissellerie,
"Ouvrages de bois ; avirons, balais, vannerie, &c","ouvrage ; de bois ; aviron, balai, vannerie, etc.",
"Objets de collection ; peinture, sculpture, gravure et histoire naturelle","objet ; de collection ; sculpture, d'histoire naturelle, peinture et gravure",
"Joncs pour cannes, bambous et rubans","jonc ; pour canne, bambou et ruban",
Instrumens propres aux arts et aux sciences,instrument ; pour les art et les science,
Embarcations avec agrès,embarcation ; avec agrès,
Tissus de lin et de chanvre en toiles diverses,tissus ; de lin ; et de chanvre ; en toile diverse,
"Soieries en étoffes, gaze, crèpe, rubans et passementerie",soieries ; en étoffes ; gaze ; crêpe ; rubans ; et passementerie,"cnrtl.fr : GAZE :Tissu très fin et très léger, de coton, de soie ou de lin, à l'aspect presque transparent, dont les fils de trame sont fortement liés à la chaîne. CREPE : Étoffe généralement de laine ou de soie, plus ou moins légère et transpa"
Cotonades en nankin,cotonnade ; nankin,
Plomb et Tousenague,plomb ; et toutenague,"Encyclopédie, Diderot & d'Alembert : TOUTENAGUE ou TUTANEGO, (Hist. nat.) on avait cru jusqu'à présent, que la toutenague était une composition métallique, on prétendait même que c'était un alliage d'étain & de bismuth; enfin M. Charles Gustave"
Minium et mine orange,minium et mine orange,
Huile de faine et de noix,huile ; de faine et de noix,
Noix de gale et gales légères,noix ; de galle et galle légère,
Tabacs en feuilles et en côtes,tabac ; en feuilles ; et en côtes,
"Sparterie brute en auffe, joncs et roseaux",sparterie ; brute ; en auffe ; joncs ; et roseaux,"cnrtl.fr : sparterie : Travail artisanal et fabrication d'objets tressés ou confectionnés avec des fibres végétales souples et résistantes provenant du sparte et de diverses plantes (jonc, crin végétal, raphia, etc.)"
"Matériaux de construction ; chaux, pierres, plâtre, ardoise, ciment, sable, terre pozzolane","matériaux ; de construction ; chaux, pierre, plâtre, ardoise, etc.",
Graines de jardin et autres,graine ; diverse et de jardin,
Cire jaune brute,cire ; jaune ; brute,
"Cendres potasse, védasse et gravelée","cendre ; potasse, vedasse et gravelée",
"Brai, goudron, galipot et résine","bray ; goudron, galipot et résine",
"Agarie amadouvier, brut et préparé","agaric amadouvier, brut et préparé",
"Bierre, cidre et vinaigne","bière, cidre et vinaigre",
"Laines de chevron, poil de chameau et vigogne","laine ; de chevron, poil de chameau et vigogne",
Laines mérinos lavées et en suint,"laine ; mérinos, lavée et en suint",
Laines ordinaires en masse,laine ; ordinaire en masse,
Coton en masse,coton ; en masse,
Vins ordinaires divers,vin ; ordinaires ; divers,
Fruits secs de toute sorte,fruit ; de toute sorte,
"Fruits frais, principalement en citrons et oranges",fruit ; frais ; orange ; citron,
Huiles et acides vitrioliques,huile et acide vitriolique,
"Substances et produits chimiques, principalement eau-forte et couperose",substances ; et produits chimiques ; principalement eau-forte ; et couperose,
Sels de Saturne,sel ; de saturne,
"Ouvrages en terre cuite, briques, tuiles, carreaux, pipes","ouvrage ; en terre cuite, brique, tuile, carreau, pipe",
"Verrerie bouteilles pleines, vides, et dames-jeannes",verrerie ; en bouteilles pleines ; vides ; et dames-jeannes,
"Pierres en grès taillés, meules",pierre ; en grès taillé ; à meule,
Peaux pelleteries ouvrées,peau ; pelleterie ; ouvrée,
Ouvrages de sparterie en tissus divers,ouvrage ; de sparterie ; en tissu divers,
Ouvrages de peaux diverses,ouvrage ; de peau divers,
"Ouvrages en cuivre doré, argenté, plaqué","ouvrage ; en cuivre doré, argenté, plaqué",
Ouvrages en harnois et sellerie,ouvrage ; en harnois et sellerie,
Ouvrages de cuir et cordonnerie,ouvrage ; de cuir ; en cordonnerie,
"Ouvrages de vannerie, de bois et d'osier","ouvrage ; de vannerie, bois et osier",
"Objets d'arts, histoire naturelle, peinture et gravure","objet ; d'art, d'histoire naturelle, peinture et gravure",
Mercerie Bimbeloterie,mercerie ; bimbeloterie,
"Habillemens, lingerie et effets militaires","habillement, lingerie et effet militaire",
"Corail brut et taillé, non monté",corail ; brut et taillé ; non monté,
Carton ouvré et en feuilles,carton ; ouvré et en feuille,
Bijouterie en perles et pierres fines montées et non montées,"bijouterie ; diamant, perle et pierre fine ; monté ou non monté",
Argenterie et orfévrerie en vermeil,argenterie et orfèvrerie ; vermeil,
Noir d'os,noir ; d'or,
"Cotonades ; gazes, crêpes et tulles","cotonnade ; gaze, crêpe et tulle",
Ouvrages riches ; étoffes riches en or et argent mélangés de soie,ouvrage ; riche ; étoffe riche en or et argent mélangé de soie,
Toilerie ; toiles batiste et linon,toilerie ; toiles ; batiste ; et linon,
Toilerie ; toiles de lin de toutes sortes,toilerie ; toiles ; de lin ; de toutes sortes,
Toilerie ; toiles à carreaux pour matelas,toilerie ; toiles ; à carreaux ; pour matelas,
"Ouvrages riches ; dentelles, galons, passementerie, rubans","ouvrage ; riche ; dentelle, galon, passementerie, ruban",
Soieries ; étoffes unies et brochées en pure soie,soieries ; étoffes ; unies ; et brochées ; en pure soie,
Lainages ; étoffes fines en casimir et mérinos,"lainage ; étoffe ; fine, en casimir et mérinos",
"Lainages ; couvertures, tapis et tapisseries","lainage ; couverture, tapis, tapisserie",
"Cotonades ; toiles peintes, teintes et imprimées, indiennes et siamoises","cotonnade ; toile peinte, teinte et imprimée, indienne et siamoise",
Cotonades ; toiles mousselines unies et peintes,cotonnade ; toile mousseline unie et peinte,
"Cotonades ; toiles unies, bazin et nankin","cotonnade ; toile unie, basin et nankin",
Cotonades ; mouchoirs et schals,cotonnade ; mouchoir et schal,
"Cotonades ; draps, étoffes de toute sorte","cotonnade ; drap, étoffe de toute sorte",
Cotonades ; couvertures,cotonnade ; couverture,
Rubanerie ord.re (celle en dorure fine et de soie exceptée),rubanerie ; illisible ; en dorure fine ; et de soie exceptées,
Dentelles de soie dite blonde,dentelle ; de soie ; blonde,
Dentelles de fil et tulles,dentelle ; de fil ; de tulle,
Chapellerie en paille et sparterie,chapellerie ; en paille et sparterie,
Chapellerie en poil et laine,chapellerie ; en poil et en laine,
Vernis préparés,vernis ; à préparer,
Noir d'Ivoire,noir ; d'ivoire,
Garance et alyzary,garance et alizari,
Feuilles et herbes à teindre,feuille et herbe ; à teindre,
"Craie, blanc d'Espagne, ocre jaune et rouge","craie, blanc d'Espagne, ocre jaune et rouge",
Terre de marne et autres pour engrais,terre ; de marne ; et autres ; pour engrais,
Laines (déchet de ),laine ; déchet,
Laines mérinos en suint,laine ; mérinos en suint,
Poissons morue de pêche française,poisson ; morue ; de pêche française,
"Huiles d'oeillette, de nois, de pavots","huile ; d'oeillette, de pavot et de noix",
Charbons cardiers,chardon ; cardier,
"Laines filées, blanches et teintes","laine ; fine, blanche, filée et teinte",
Coton filé et en rame,coton ; filé ; en rame,
Denrées coloniales et épicerie,denrée coloniale ; épicerie,
Vins divers fins,vin ; divers ; fins,
Sels chimiques réunis,sels ; chimiques ; réunis,
Gommes accacias,gomme ; d'acacia,
Séné et follicule de séné,séné ; et follicule de séné,"cnrtl.fr : SENE : Plante arbustive, de la famille des Légumineuses, du genre Casse et dont les diverses variétés croissent naturellement dans certaines régions d'Afrique et du Moyen-Orient et en Inde orientale."
"Marchandises diverses venant de l'étranger, pour être réexportées aux colonies françaises, principalement en toile guinée, viandes salées, fers en barres, armes, &c","marchandise ; diverse venant de l'étranger et à réexporter aux colonies françaises ; principalement en toile guinée, viande salée, fer en barre, arme, etc.",
Gommes diverses réunies,gomme ; diverse,
