year;Value_of_livre
1380;8,663
1381;8,51
1398;34,48534952
1399;34,48534952
1400;34,48534952
1401;34,48534952
1402;34,48534952
1403;34,48534952
1404;34,48534952
1405;33,67495338
1406;34,22183051
1407;34,22183051
1408;34,22183051
1409;34,22183051
1410;34,22183051
1411;33,32321307
1412;28,83012586
1413;30,73853314
1414;30,17286326
1415;28,83012586
1416;28,83012586
1417;23,78106908
1418;15,39194549
1419;11,52385946
1420;10,9019939
1421;31,4718252
1422;30,35388044
1423;30,75341465
1424;30,65336949
1425;32,98341381
1426;29,49286163
1427;26,83985959
1428;24,32929323
1429;10,9214646
1430;27,869931
1431;29,1477959
1432;26,88535218
1433;22,99580483
1434;22,99580483
1435;24,43302543
1436;27,85299243
1437;28,1577187
1438;19,5787801
1439;19,5787801
1440;19,5787801
1441;19,5787801
1442;19,5787801
1443;19,5787801
1444;19,5787801
1445;19,5787801
1446;19,5787801
1447;26,18949234
1448;26,54047683
1449;26,54047683
1450;26,54
1451;26,54
1452;26,54
1453;26,54
1454;26,54
1455;26,181
1456;24,479
1457;23,521
1458;23,521
1459;23,521
1460;23,521
1461;23,521
1462;23,521
1463;23,521
1464;23,521
1465;24,542
1466;25,564
1467;25,111
1468;22,48
1469;22,48
1470;20,811
1471;25,579
1472;25,579
1473;25,579
1474;22,969
1475;22,571
1476;21,217
1477;21,511
1478;22,61
1479;21,113
1480;21,113
1481;21,113
1482;21,113
1483;21,113
1484;21,113
1485;21,113
1486;21,848
1487;21,995
1488;21,376
1489;19,864
1490;19,864
1491;19,864
1492;19,864
1493;19,864
1494;19,864
1495;19,864
1496;19,864
1497;19,864
1498;19,864
1499;19,864
1500;19,864
1501;19,864
1502;19,864
1503;19,864
1504;19,864
1505;19,864
1506;19,864
1507;19,864
1508;19,864
1509;19,864
1510;19,864
1511;19,866
1512;19,887
1513;18,435
1514;17,95
1515;17,95
1516;17,95
1517;17,95
1518;17,95
1519;17,95
1520;17,95
1521;17,759
1522;17,184
1523;17,184
1524;17,184
1525;17,184
1526;17,184
1527;17,184
1528;17,184
1529;17,184
1530;17,184
1531;17,184
1532;17,184
1533;16,502
1534;16,365
1535;16,365
1536;16,365
1537;16,365
1538;16,365
1539;16,365
1540;16,365
1541;16,174
1542;16,11
1543;15,906
1544;15,622
1545;15,622
1546;15,622
1547;15,622
1548;15,622
1549;15,612
1550;15,145
1551;15,106
1552;15,106
1553;15,106
1554;15,106
1555;15,106
1556;15,106
1557;15,106
1558;15,106
1559;15,106
1560;15,106
1561;14,83
1562;14,267
1563;14,267
1564;14,267
1565;14,267
1566;14,267
1567;14,267
1568;14,267
1569;14,267
1570;14,267
1571;14,267
1572;14,267
1573;13,627
1574;13,17
1575;12,489
1576;11,807
1577;11,346
1578;11,807
1579;11,807
1580;11,807
1581;11,807
1582;11,807
1583;11,807
1584;11,807
1585;11,807
1586;11,807
1587;11,807
1588;11,807
1589;11,807
1590;11,807
1591;11,807
1592;11,807
1593;11,807
1594;11,807
1595;11,807
1596;11,807
1597;11,807
1598;11,807
1599;11,807
1600;11,807
1601;11,807
1602;11,538
1603;10,992
1604;10,992
1605;10,992
1606;10,992
1607;10,992
1608;10,992
1609;10,992
1610;10,992
1611;10,992
1612;10,992
1613;10,992
1614;10,992
1615;10,992
1616;10,992
1617;10,992
1618;10,992
1619;10,992
1620;10,992
1621;10,992
1622;10,992
1623;10,992
1624;10,992
1625;10,992
1626;10,992
1627;10,992
1628;10,992
1629;10,992
1630;10,992
1631;10,992
1632;10,992
1633;10,992
1634;10,992
1635;10,992
1636;9,839
1637;8,685
1638;8,685
1639;8,685
1640;8,685
1641;8,655
1642;8,324
1643;8,324
1644;8,324
1645;8,324
1646;8,324
1647;8,324
1648;8,324
1649;8,324
1650;8,324
1651;8,324
1652;7,756
1653;7,341
1654;8,225
1655;8,324
1656;7,605
1657;7,605
1658;7,605
1659;7,605
1660;7,605
1661;7,605
1662;7,605
1663;7,605
1664;7,605
1665;7,605
1666;8,516
1667;8,324
1668;8,324
1669;8,324
1670;8,324
1671;8,324
1672;8,324
1673;8,324
1674;8,324
1675;8,324
1676;8,324
1677;8,324
1678;8,324
1679;8,324
1680;8,324
1681;8,324
1682;8,324
1683;8,324
1684;8,324
1685;8,22
1686;8,8
1687;8,8
1688;8,8
1689;8,8
1690;7,567
1691;7,567
1692;7,615
1693;7,639
1694;6,936
1695;6,936
1696;6,936
1697;6,936
1698;6,936
1699;6,936
1700;7,266
1701;7,55
1702;7,375
1703;7,2
1704;7,71
1705;6,475
1706;6,813
1707;7,34
1708;7,109
1709;6,828
1710;6,936
1711;6,936
1712;6,936
1713;6,832
1714;6,228
1715;7,529
1716;5,545
1717;7,804
1718;3,872
1719;3,872
1720;2,659
1721;2,969
1722;2,969
1723;3,76
1724;4,516
1725;5,448
1726;4,825
1727;4,454
1728;4,454
1729;4,454
1730;4,454
1731;4,454
1732;4,454
1733;4,454
1734;4,454
1735;4,454
1736;4,454
1737;4,454
1738;4,454
1739;4,454
1740;4,454
1741;4,454
1742;4,454
1743;4,454
1744;4,454
1745;4,454
1746;4,454
1747;4,454
1748;4,454
1749;4,454
1750;4,454
1751;4,454
1752;4,454
1753;4,454
1754;4,454
1755;4,454
1756;4,454
1757;4,454
1758;4,454
1759;4,454
1760;4,454
1761;4,454
1762;4,454
1763;4,454
1764;4,454
1765;4,454
1766;4,454
1767;4,454
1768;4,454
1769;4,454
1770;4,454
1771;4,454
1772;4,454
1773;4,454
1774;4,454
1775;4,454
1776;4,454
1777;4,454
1778;4,454
1779;4,454
1780;4,454
1781;4,454
1782;4,454
1783;4,454
1784;4,454
1785;4,454
1786;4,454
1787;4,454
1788;4,454
1789;4,454
1790;4,14
1791;3,79
1792;2,9
1793;1,69
1794;1,43
1795;0,18
1796;0,4
1797;4,5
1798;4,5
1799;4,5
1800;4,5
1801;4,5
1802;4,5
1803;4,5
1804;4,5
1805;4,5
1806;4,5
1807;4,5
1808;4,5
1809;4,5
1810;4,5
1811;4,5
1812;4,5
1813;4,5
1814;4,5
1815;4,5
1816;4,5
1817;4,5
1818;4,5
1819;4,5
1820;4,5
1821;4,5
1822;4,5
1823;4,5
1824;4,5
1825;4,5
1826;4,5
1827;4,5
1828;4,5
1829;4,5
1830;4,5
1831;4,5
1832;4,5
1833;4,5
1834;4,5
1835;4,5
1836;4,5
1837;4,5
1838;4,5
1839;4,5
1840;4,5
1841;4,5
1842;4,5
1843;4,5
1844;4,5
1845;4,5
1846;4,5
1847;4,5
1848;4,5
1849;4,5
1850;4,5
1851;4,5
1852;4,5
1853;4,5
1854;4,5
1855;4,5
1856;4,5
1857;4,5
1858;4,5
1859;4,5
1860;4,5
1861;4,5
1862;4,5
1863;4,5
1864;4,5
1865;4,5
1866;4,5
1867;4,5
1868;4,5
1869;4,5
1870;4,5
