Data entry by,Source,Year,Sheet,Numero des pieces,Noms des puissances,Valeurs des importations dans le Royaume.toute compensation faite relativement aux bénéfices du fret,Valeurs des exportations dans le Royaume.toute compensation faite relativement aux bénéfices du fret,Balances en argent en faveur de la France,Balances en argent au désavantage de la France
AN F12 1835,AN F12 1835,1788,7,6,L'Espagne et les Etats en dépendants,31900300,50885700,18985400,
AN F12 1835,AN F12 1835,1788,7,7,Le Portugal,8709100,4595600,,4113500
AN F12 1835,AN F12 1835,1788,7,8,les Etats du Roi de Sardaigne,21281300,19015700,,2265600
AN F12 1835,AN F12 1835,1788,7,9,La République de Genes,9128100,5993200,,3134900
AN F12 1835,AN F12 1835,1788,7,10,"Le milanes, la Toscane et Lucques",3607700,11272000,7664300,
AN F12 1835,AN F12 1835,1788,7,11,l'Etat ecclésiatique,1577900,4093900,2516000,
AN F12 1835,AN F12 1835,1788,7,12,les Royaumes de Naples Sicile et Porme,15613500,5827300,,9786200
AN F12 1835,AN F12 1835,1788,7,13,La République de Venise,136800,1732500,1595700,
AN F12 1835,AN F12 1835,1788,7,14,L'angleterre,63327600,33847470,,29480130
AN F12 1835,AN F12 1835,1788,7,15,la hollande,23320000,45787600,22467600,
AN F12 1835,AN F12 1835,1788,7,16,les Etats de l'empereur en Allemagne et flandre,30037700,33997200,3959500,
AN F12 1835,AN F12 1835,1788,7,17,"les villes anséatiques de breme,hambourg , lubeck et dantzick",10056000,64294800,54238800,
AN F12 1835,AN F12 1835,1788,7,18,l'Allemagne et la pologne,8114200,23588600,15474400,
AN F12 1835,AN F12 1835,1788,7,19,la suisse ses alliés et geneve,6561900,22785700,16223800,
AN F12 1835,AN F12 1835,1788,7,20,le Danemark et la norwege,4068800,5216400,1147600,
AN F12 1835,AN F12 1835,1788,7,21,la Suede,5581100,3552200,,2028900
AN F12 1835,AN F12 1835,1788,7,22,Les etats du Roi de prusse,3547700,9485300,5937600,
AN F12 1835,AN F12 1835,1788,7,23,La russie et courlande,6871900,6108500,,763400
AN F12 1835,AN F12 1835,1788,7,24,les etats unis de l'amérique,3189500,1496000,,1693500
AN F12 1835,AN F12 1835,1788,7,Total,Total,256631100,353575670,150210700,53266130
AN F12 1835,AN F12 1835,1788,7,25,Le levant l'empire ottoman et les Etats de Barbarie,43672900,18864700,,
AN F12 1835,AN F12 1835,1788,7,,Total,300304000,372440370,,
