numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,calcul,quantity_unit,remarks,Double compte
1,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Armes sabres de traite,Sénégal et Guinée,5865,1380,en nombre,,0
2,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Armes fusils de traite,St Domingue,36,6,en nombre,,0
3,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Armes fusils de traite,Sénégal et Guinée,37056,6176,en nombre,,0
4,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Bois en bordage,Sénégal et Guinée,2500,1115,en nombre,,0
5,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Bois de sapin en planches,Sénégal et Guinée,8467,7056,en nombre,,0
6,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Bonneteries de fil en bas,St Domingue,420,"17,5",douzaines,,0
7,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Bonneteries de fil en bas,Sénégal et Guinée,864,"36,75",douzaines,Doute sur la quantité,0
9,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Bonneteries de soye en bas,Sénégal et Guinée,1290,129,pièces,,0
10,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Bonneteries de laine en bas,Sénégal et Guinée,2744,392,douzaines,,0
11,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Bray et goudron,Sénégal et Guinée,37772,314769,livres,,0
12,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Cauris,Sénégal et Guinée,270225,225188,livres,,0
13,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Chapeaux à nègres,Sénégal et Guinée,5730,2292,en nombre,,0
14,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Comestibles beurre salé,St Domingue,1453,2422,livres,,0
15,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 22),Colonies/1787 - La Rochelle - Exports colonies.csv,Colonies,1787,Exports,La Rochelle,27,Comestibles beurre salé,Sénégal et Guinée,5627,9377,livres,,0
