numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts
1,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Acier,St Domingue,360,1200,Allemagne,livres,,0
2,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Acier,Cayenne et Guyanne,30,100,Allemagne,livres,,0
3,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Agrès de navire (jeux de voile),St Domingue,1632000,272,Bordeaux,en nombre,,0
4,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Agrès de navire (jeux de voile),La Martinique,258000,43,Bordeaux,en nombre,,0
5,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Agrès de navire (jeux de voile),La Guadeloupe,168000,28,Bordeaux,en nombre,,0
6,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Agrès de navire (jeux de voile),Cayenne et Guyanne,18000,3,Bordeaux,en nombre,,0
7,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Agrès de navire (jeux de voile),Sénégal et Guinée,78000,13,Bordeaux,en nombre,,0
8,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Prélats de toile,St Domingue,2180,31,Bordeaux,en nombre,,0
9,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Amandes cassées,St Domingue,1170,900,Provence,livres,,0
10,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Amandes en coques,St Domingue,11747,19495,Languedoc,livres,,0
11,Cyril Mouton,ANOM Col F 2B 13 (tableau 19),Colonies/1788 - Bordeaux - Exports colonies.csv,Colonies,1788,Exports,Bordeaux,2,Amandes en coques,La Martinique,360,600,Languedoc,livres,,0
