line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
9185,Local,1752,La Rochelle,,Angleterre,Imports,Beuf Sallé,,,126480,0,5270,barils,24,sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,,0,,,,,,,,
9186,Local,1752,La Rochelle,,Angleterre,Imports,Beurre Sallé,,,230580,0,512400,livres,"0,45",sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,,0,,,,,,,,
9187,Local,1752,La Rochelle,,Angleterre,Imports,Bled Froment,,,"190362,5",0,15229,sacs,"12,5",sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,erreur de calcul dans la source,0,,,,,,,,
9188,Local,1752,La Rochelle,,Angleterre,Imports,Bled Froment,,,109440,0,608,tonneaux,180,sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,,0,,,,,,,,
9189,Local,1752,La Rochelle,,Angleterre,Imports,Bled Seigle,,,4560,0,38,tonneaux,120,sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,,0,,,,,,,,
9190,Local,1752,La Rochelle,,Angleterre,Imports,Cabaret,,,5,0,1,nombre,0,sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,manque prix unitaire,5,,,,,,,,
9191,Local,1752,La Rochelle,,Angleterre,Imports,Chandelle,,,"32806,8",0,72904,livres,"0,45",sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,,0,,,,,,,,
9192,Local,1752,La Rochelle,,Angleterre,Imports,Charbon de Terre,,,"32375,63",0,"8633,5",barilles,"3,75",sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,,0,,,,,,,,
9193,Local,1752,La Rochelle,,Angleterre,Imports,Charbon de Terre,,,45750,0,"152,5",muids,300,sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,,0,,,,,,,,
9194,Local,1752,La Rochelle,,Angleterre,Imports,Cuird fr beuf tannés,,,10,0,2,demi cuirs,5,sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,,0,,,,,,,,
9195,Local,1752,La Rochelle,,Angleterre,Imports,Etain en saumon,,,"9540,9",0,10601,livres,"0,9",sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,,0,,,,,,,,
9196,Local,1752,La Rochelle,,Angleterre,Imports,farine,,,"41332,5",0,1503,barils,"27,5",sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,,0,,,,,,,,
9197,Local,1752,La Rochelle,,Angleterre,Imports,farine,,,75000,0,600000,livres,"0,125",sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,,0,,,,,,,,
9198,Local,1752,La Rochelle,,Angleterre,Imports,farine,,,2200,0,80,quarts,"27,5",sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,,0,,,,,,,,
9199,Local,1752,La Rochelle,,Angleterre,Imports,farine,,,3400,0,95,sacs,32,sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,erreur de calcul,360,,,,,,,,
9200,Local,1752,La Rochelle,,Angleterre,Imports,feves,,,"34570,8",0,432135,livres,"0,08",sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,prix divisé par cent,0,,,,,,,,
9201,Local,1752,La Rochelle,,Angleterre,Imports,fromage,,,70,0,200,livres,"0,35",sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,,0,,,,,,,,
9202,Local,1752,La Rochelle,,Angleterre,Imports,houblon,,,4,0,40,livres,"0,1",sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,,0,,,,,,,,
9203,Local,1752,La Rochelle,,Angleterre,Imports,Laine d'autriche,,,38000,0,20000,livres,"1,9",sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,AD17 41 ETP 270/9417,1,,,,,Demba,,,0,,,,,,,,
