source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Local,1776,La Rochelle,,Allemagne,Imports,Armes blanches,,,5690,0,2845,livres,2,sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,1,14227,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Allemagne,Imports,Armes à feu,,,8235,0,6100,livres,"1,35",sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,1,14228,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Allemagne,Imports,Couteaux,,,4131,0,2430,douzaines,"1,7",sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,1,14229,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Allemagne,Imports,Plomb en saumon,,,"61998,75",0,275550,livres,"0,225",sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,1,14230,,,,,Demba,,prix divisé par cent,0,,,,,,,,
Local,1776,La Rochelle,,Angleterre,Imports,Alun,,,4305,0,12300,livres,"0,35",sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,1,14231,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Angleterre,Imports,Beuf Salé,,,2475,0,55,barils,45,sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,1,14232,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Angleterre,Imports,Beuf Salé,,,225125,0,900500,livres,"0,25",sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,1,14233,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Angleterre,Imports,Beurre,,,848532,0,1414220,livres,"0,6",sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,1,14234,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Angleterre,Imports,Bois ; à teindre,,,18000,0,60000,livres,"0,3",sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,1,14235,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Angleterre,Imports,Charbon de Terre,,,124416,0,3456,tonneaux,36,sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,1,14236,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Angleterre,Imports,Charbon de Terre,,,225,0,45,barils,5,sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,1,14237,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Angleterre,Imports,Couperose,,,6005,0,60050,livres,"0,1",sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,1,14238,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Angleterre,Imports,Etaim en bloc,,,5447,0,5447,livres,1,sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,2,14239,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Angleterre,Imports,Litarge,,,780,0,2600,livres,"0,3",sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,2,14240,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Angleterre,Imports,Peaux de Cerf et Chevreuil,,,55308,0,9218,nombre,6,sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,2,14241,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Angleterre,Imports,Plomb en saumon,,,"160132,5",0,711700,livres,"0,225",sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,2,14242,,,,,Demba,,prix divisé par cent,0,,,,,,,,
Local,1776,La Rochelle,,Angleterre,Imports,Suif,,,447510,0,852400,livres,"0,525",sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,2,14243,,,,,Demba,,prix divisé par cent,0,,,,,,,,
Local,1776,La Rochelle,,Danemarck,Imports,Avirons,,,45,0,30,nombre,"1,5",sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,2,14244,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Danemarck,Imports,Bois ; Esparts,,,1800,0,600,nombre,3,sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,2,14245,,,,,Demba,,,0,,,,,,,,
Local,1776,La Rochelle,,Danemarck,Imports,Bois ; de Sapin,,,"562,5",0,375,pieces,"1,5",sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,AD17 41 ETP 270/9439,2,14246,,,,,Demba,,,0,,,,,,,,
