line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1460,Local,1724,La Rochelle,,L'Angleterre,Exports,Cercles à Tonneaux,,,884,0,442,Paquets,2,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,1,,,,,Laura Moutou,,,0,,,,,,,,,
1461,Local,1724,La Rochelle,,L'Angleterre,Exports,Eau de vie,,,790300,0,7903,Bariques,100,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,1,,,,,Laura Moutou,,,0,,,,,,,,,
1462,Local,1724,La Rochelle,,L'Angleterre,Exports,Marchandises mélées,,,315,0,,,,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,1,,,,,Laura Moutou,,,0,,,,,,,,,
1463,Local,1724,La Rochelle,,L'Angleterre,Exports,Papier blanc,,,7344,0,1632,Rames,4.5,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,1,,,,,Laura Moutou,,,0,,,,,,,,,
1464,Local,1724,La Rochelle,,L'Angleterre,Exports,Pierre à fusil,,,660,0,22,Bariques,30,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,1,,,,,Laura Moutou,,,0,,,,,,,,,
1465,Local,1724,La Rochelle,,L'Angleterre,Exports,Raisin sec,,,20,0,50,Livres,.40000001,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,1,,,,,Laura Moutou,,,0,,,,,,,,,
1466,Local,1724,La Rochelle,,L'Angleterre,Exports,Saffran,,,1000,0,50,Livres,20,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,1,,,,,Laura Moutou,,,0,,,,,,,,,
1467,Local,1724,La Rochelle,,L'Angleterre,Exports,Sucre blanc,,,120,0,200,Livres,.60000002,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,1,,,,,Laura Moutou,,,0,,,,,,,,,
1468,Local,1724,La Rochelle,,L'Angleterre,Exports,Sel,,,46288,0,5786,Muids,8,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,1,,,,,Laura Moutou,,,0,,,,,,,,,
1469,Local,1724,La Rochelle,,L'Angleterre,Exports,Sel,,,2560,0,40,Charges,64,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,1,,,,,Laura Moutou,,,0,,,,,,,,,
1470,Local,1724,La Rochelle,,L'Angleterre,Exports,Vin de Bordeaux,,,3000,0,20,Tonneaux,150,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,1,,,,,Laura Moutou,,,0,,,,,,,,,
1471,Local,1724,La Rochelle,,L'Angleterre,Exports,Vin de Cognac,,,8600,0,86,Tonneaux,100,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,1,,,,,Laura Moutou,,,0,,,,,,,,,
1472,Local,1724,La Rochelle,,La Flandre Impérialle,Exports,Cacao,,,1065.25,0,1415,Livres,.75,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,1,,,,,Laura Moutou,,Erreur de calcul / Corrigée,4,,,,,,,,,
1473,Local,1724,La Rochelle,,La Flandre Impérialle,Exports,Eau de vie,,,70900,0,709,Bariques,100,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,1,,,,,Laura Moutou,,,0,,,,,,,,,
1474,Local,1724,La Rochelle,,La Flandre Impérialle,Exports,Indigo,,,7900,0,1975,Livres,4,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,1,,,,,Laura Moutou,,,0,,,,,,,,,
1475,Local,1724,La Rochelle,,La Hollande,Exports,Cacao,,,1346.5,0,17950,Livres,.75,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,-12116,,,,,,,,,
1476,Local,1724,La Rochelle,,La Hollande,Exports,Saffran du Gatinoir,,,21640,0,541,Livres,40,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1477,Local,1724,La Rochelle,,La Hollande,Exports,Sel,,,161704,0,20213,Muids,8,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1478,Local,1724,La Rochelle,,La Hollande,Exports,Sucre blanc,,,13639.5,0,30310,Livres,.44999999,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1479,Local,1724,La Rochelle,,La Hollande,Exports,Sucre Terré,,,20311,0,53450,Livres,.38,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1480,Local,1724,La Rochelle,,La Hollande,Exports,Sucre teste de forme,,,24320,0,76000,Livres,.31999999,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1481,Local,1724,La Rochelle,,La Hollande,Exports,Sucre brut,,,226184,0,807800,Livres,.28,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1482,Local,1724,La Rochelle,,La Hollande,Exports,Sirop de Sucre,,,14000,0,280,Bariques,50,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1483,Local,1724,La Rochelle,,La Hollande,Exports,Eau de vie,,,1417800,0,14178,Bariques,100,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1484,Local,1724,La Rochelle,,La Hollande,Exports,Vin de Bordeaux,,,19350,0,129,Tonneaux,150,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1485,Local,1724,La Rochelle,,La Hollande,Exports,Vin de Cognac,,,47000,0,470,Tonneaux,100,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1486,Local,1724,La Rochelle,,La Hollande,Exports,Graine de Genièvre,,,150,0,5,Settiers,30,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1487,Local,1724,La Rochelle,,La Hollande,Exports,Graine de moutarde,,,25,0,5,Boisseaux,5,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1488,Local,1724,La Rochelle,,La Hollande,Exports,Indigo,,,482700,0,120675,Livres,4,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1489,Local,1724,La Rochelle,,La Hollande,Exports,Peltrie commune,,,6260,0,3130,Livres,2,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1490,Local,1724,La Rochelle,,La Hollande,Exports,Peaux d'Ours,,,5076.5,0,781,Nombre,6.5,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,Erreur de calcul / Corrigée,0,,,,,,,,,
1491,Local,1724,La Rochelle,,La Hollande,Exports,Peaux de Martre,,,4550,0,1300,Pièces,3.5,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1492,Local,1724,La Rochelle,,La Hollande,Exports,Peaux de Loup de bois,,,240,0,80,Nombre,3,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1493,Local,1724,La Rochelle,,La Hollande,Exports,Peaux de Martre passées,,,1332,0,111,Douzaines,12,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1494,Local,1724,La Rochelle,,La Hollande,Exports,Papier,,,41899.5,0,9311,Rames,4.5,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1495,Local,1724,La Rochelle,,La Hollande,Exports,Toil en Rossière,,,67.5,0,90,Aunes,.75,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1496,Local,1724,La Rochelle,,Le Nord,Exports,Mercerie,,,30,0,10,Boisseaux,3,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1497,Local,1724,La Rochelle,,Le Nord,Exports,Saffran du Gatinoir,,,4000,0,100,Livres,40,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1498,Local,1724,La Rochelle,,Le Nord,Exports,Sel,,,50208,0,6276,Muids,8,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1499,Local,1724,La Rochelle,,Le Nord,Exports,Sucre blanc,,,8797.5,0,19550,Livres,.44999999,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1500,Local,1724,La Rochelle,,Le Nord,Exports,Sucre brut,,,15771,0,56325,Livres,.28,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1501,Local,1724,La Rochelle,,Le Nord,Exports,Eau de vie,,,565700,0,5657,Bariques,100,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1502,Local,1724,La Rochelle,,Le Nord,Exports,Vin de Bordeaux,,,3750,0,25,Tonneaux,150,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1503,Local,1724,La Rochelle,,Le Nord,Exports,Vin de Cognac,,,22900,0,229,Tonneaux,100,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1504,Local,1724,La Rochelle,,Le Nord,Exports,Canevette,,,6000,0,12000,Livres,.5,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1505,Local,1724,La Rochelle,,Le Nord,Exports,Indigo,,,528056,0,132014,Livres,4,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1506,Local,1724,La Rochelle,,Le Nord,Exports,Liège,,,500,0,2000,Livres,.25,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1507,Local,1724,La Rochelle,,Le Nord,Exports,Papier,,,6502.5,0,1445,Rames,4.5,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1508,Local,1724,La Rochelle,,Le Nord,Exports,Rocou,,,9137.5,0,7310,Livres,1.25,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1509,Local,1724,La Rochelle,,L'Espagne,Exports,Cacao,,,4350,0,5800,Livres,.75,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1510,Local,1724,La Rochelle,,L'Espagne,Exports,Eau de vie,,,300,0,3,Bariques,100,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1511,Local,1724,La Rochelle,,L'Espagne,Exports,Indigo,,,6720,0,1680,Livres,4,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,Erreur de calcul / Corrigée,0,,,,,,,,,
1512,Local,1724,La Rochelle,,L'Espagne,Exports,Peaux d'origneaux,,,6714,0,373,Nombre,18,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1513,Local,1724,La Rochelle,,L'Espagne,Exports,Peaux de Martre,,,5950,0,1700,Nombre,3.5,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1514,Local,1724,La Rochelle,,L'Espagne,Exports,Peaux d'Ours,,,715,0,110,Nombre,6.5,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1515,Local,1724,La Rochelle,,L'Espagne,Exports,Peaux de cerf,,,17374,0,2044,Nombre,8.5,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1516,Local,1724,La Rochelle,,L'Espagne,Exports,Peltrie commune,,,210,0,105,Livres,2,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1517,Local,1724,La Rochelle,,L'Espagne,Exports,Rocou,,,20750,0,16600,Livres,1.25,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1518,Local,1724,La Rochelle,,L'Espagne,Exports,Sucre blanc,,,6457.5,0,14350,Livres,.44999999,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1519,Local,1724,La Rochelle,,L'Espagne,Exports,Sucre teste de forme,,,9464,0,29575,Livres,.31999999,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1520,Local,1724,La Rochelle,,L'Italie,Exports,Indigo,,,336524,0,84131,Livres,4,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,2,,,,,Laura Moutou,,,0,,,,,,,,,
1521,Local,1724,La Rochelle,,L'Italie,Exports,Peaux d'Ours,,,988,0,152,Nombre,6.5,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,3,,,,,Laura Moutou,,,0,,,,,,,,,
1522,Local,1724,La Rochelle,,L'Italie,Exports,Peaux de cerf,,,2040,0,240,Nombre,8.5,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,3,,,,,Laura Moutou,,,0,,,,,,,,,
1523,Local,1724,La Rochelle,,L'Italie,Exports,Peaux de Martre,,,7070,0,2020,Nombre,3.5,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,3,,,,,Laura Moutou,,,0,,,,,,,,,
1524,Local,1724,La Rochelle,,L'Italie,Exports,Peltrie commune,,,1520,0,760,Livres,2,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,3,,,,,Laura Moutou,,,0,,,,,,,,,
1525,Local,1724,La Rochelle,,L'Italie,Exports,Sucre blanc,,,6678,0,14840,Livres,.44999999,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,3,,,,,Laura Moutou,,,0,,,,,,,,,
1526,Local,1724,La Rochelle,,L'Italie,Exports,Sucre terré,,,6536,0,17200,Livres,.38,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,3,,,,,Laura Moutou,,Erreur de calcul / Corrigée,0,,,,,,,,,
1527,Local,1724,La Rochelle,,Genève et la Suisse,Exports,Indigo,,,40564,0,10141,Livres,4,sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,AD17 41 ETP 271/9451,3,,,,,Laura Moutou,,,0,,,,,,,,,
