source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Local,1737,Bordeaux,,Angleterre,Exports,Bray sec,,,630,,14000,Livres,"0,045",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3033,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Angleterre,Exports,Cacao,,,793,,635,Livres,"1,25",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3034,,,,,KONATE DEMBA,1,,"-0,75",,,,,,,,
Local,1737,Bordeaux,,Angleterre,Exports,Caffé des Isles,,,100,,200,Livres,"0,5",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3035,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Angleterre,Exports,Eau de vie,,,103664,,1672,Barriques,62,sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3036,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Angleterre,Exports,Graine de lin,,,5307,,965,Boisseaux,"5,5",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3037,,,,,KONATE DEMBA,1,,"-0,5",,,,,,,,
Local,1737,Bordeaux,,Angleterre,Exports,Indigo,,,176012,,50375,Livres,"3,5",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3038,,,,,KONATE DEMBA,1,ERREUR DE CALCUL,"-300,5",,,,,,,,
Local,1737,Bordeaux,,Angleterre,Exports,Liege,,,3000,,12500,Livres,"0,24",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3039,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Angleterre,Exports,Pruneaux,,,726,,24200,Livres,"0,03",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3040,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Angleterre,Exports,Peaux de chevreau,,,2825,,1130,Douzaines,"2,5",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3041,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Angleterre,Exports,Papier,,,500,,100,rames,5,sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3042,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Angleterre,Exports,Raisin sec,,,150,,1000,Livres,"0,15",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3043,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Angleterre,Exports,Sucre terré,,,587,,2260,Livres,"0,26",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3044,,,,,KONATE DEMBA,1,,"-0,6",,,,,,,,
Local,1737,Bordeaux,,Angleterre,Exports,Sucre brut,,,9677,,56925,Livres,"0,17",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3045,,,,,KONATE DEMBA,1,,"-0,25",,,,,,,,
Local,1737,Bordeaux,,Angleterre,Exports,Vin de ville,,,1018800,,5660,Tonneaux,180,sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3046,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Angleterre,Exports,Vin de Haut,,,21120,,176,Tonneaux,120,sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3047,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Angleterre,Exports,Vinaigre,,,18292,,"202,5",Tonneaux,90,sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,1,3048,,,,,KONATE DEMBA,1,ERREUR DE CALCUL,67,,,,,,,,
Local,1737,Bordeaux,,Hollande,Exports,Caffé des Isles,,,16267,,32535,Livres,"0,5",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,2,3049,,,,,KONATE DEMBA,1,,"-0,5",,,,,,,,
Local,1737,Bordeaux,,Hollande,Exports,Chataignes,,,8739,,2497,Boisseaux,"3,5",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,2,3050,,,,,KONATE DEMBA,1,,"-0,5",,,,,,,,
Local,1737,Bordeaux,,Hollande,Exports,Cotton en laine,,,5670,,6300,Livres,"0,9",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,2,3051,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Hollande,Exports,Eau de vie,,,227788,,3674,Barriques,62,sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,2,3052,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Hollande,Exports,Gingembre,,,1600,,1600,Livres,1,sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,2,3053,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Hollande,Exports,Graine de jardin,,,1800,,40,Boisseaux,45,sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,2,3054,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Hollande,Exports,Graine de Genievre,,,6432,,1608,Boisseaux,4,sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,2,3055,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Hollande,Exports,Graine de lin,,,24175,,4835,Boisseaux,5,sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,2,3056,,,,,KONATE DEMBA,1,,0,,,,,,,,
Local,1737,Bordeaux,,Hollande,Exports,Galepot,,,300,,600,Livres,"0,05",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,2,3057,,,,,KONATE DEMBA,1,ERREUR DE CALCUL,270,,,,,,,,
Local,1737,Bordeaux,,Hollande,Exports,Indigo,,,125667,,35905,Livres,"3,5",sources/Local/AD33_C4386_Bordeaux_Exports_1737.csv,AD33 C4386,2,3058,,,,,KONATE DEMBA,1,,"-0,5",,,,,,,,
