line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1739,Bordeaux,,Angleterre,Exports,Caffé des Isles,,,10925.25,,20810,Livres,.52499998,sources/Local/AD33_C4386_Bordeaux_Exports_1739.csv,AD33 C4386,1,,,,,Demba Konate,1,,0,,,,,,,,,
2,Local,1739,Bordeaux,,Angleterre,Exports,Eau de vie,,,59340,,989,Barriques,60,sources/Local/AD33_C4386_Bordeaux_Exports_1739.csv,AD33 C4386,1,,,,,Demba Konate,1,,0,,,,,,,,,
3,Local,1739,Bordeaux,,Angleterre,Exports,Indigo,,,219202,,58454,Livres,3.75,sources/Local/AD33_C4386_Bordeaux_Exports_1739.csv,AD33 C4386,1,,,,,Demba Konate,1,,-.5,,,,,,,,,
4,Local,1739,Bordeaux,,Angleterre,Exports,Pruneaux,,,3000,,20000,Livres,.15000001,sources/Local/AD33_C4386_Bordeaux_Exports_1739.csv,AD33 C4386,1,,,,,Demba Konate,1,,0,,,,,,,,,
5,Local,1739,Bordeaux,,Angleterre,Exports,Vin de ville,,,1390200,,4634,Tonneaux,300,sources/Local/AD33_C4386_Bordeaux_Exports_1739.csv,AD33 C4386,1,,,,,Demba Konate,1,,0,,,,,,,,,
6,Local,1739,Bordeaux,,Angleterre,Exports,Vin de haut,,,24000,,200,Tonneaux,110,sources/Local/AD33_C4386_Bordeaux_Exports_1739.csv,AD33 C4386,1,,,,,Demba Konate,1,erreur calcul,2000,,,,,,,,,
7,Local,1739,Bordeaux,,Angleterre,Exports,Vinaigre,,,24400,,244,Tonneaux,100,sources/Local/AD33_C4386_Bordeaux_Exports_1739.csv,AD33 C4386,1,,,,,Demba Konate,1,,0,,,,,,,,,
8,Local,1739,Bordeaux,,Hollande,Exports,Anis vert,,,5640,,23500,Livres,.23999999,sources/Local/AD33_C4386_Bordeaux_Exports_1739.csv,AD33 C4386,1,,,,,Demba Konate,1,,0,,,,,,,,,
9,Local,1739,Bordeaux,,Hollande,Exports,Chataignes,,,17773,,5078,Boisseaux,3.5,sources/Local/AD33_C4386_Bordeaux_Exports_1739.csv,AD33 C4386,1,,,,,Demba Konate,1,,0,,,,,,,,,
10,Local,1739,Bordeaux,,Hollande,Exports,Caffé des Isles,,,659799,,1256760,Livres,.52499998,sources/Local/AD33_C4386_Bordeaux_Exports_1739.csv,AD33 C4386,1,,,,,Demba Konate,1,,0,,,,,,,,,
