source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Local,1730,Bordeaux,,Angleterre,Imports,Bled ; froment,,,585990,,68940,Boisseaux,8.5,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,1,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Bled ; froment,,,56741,,4934,Quartiers mesure de Blaye,11.5,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,2,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Bled ; seigle,,,42000,,8400,Boisseaux,5,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,3,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Bœuf ; salé,,,284600,,14230,Barrils,20,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,4,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Beurre salé,,,471825,,1572750,Livres,0.30,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,5,,,,,Pascal Fontaine,,-46710675 il semblerait que ce soit 30 /100 mais non indiqué,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Farine,,,9100,,910,Boisseaux,10,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,6,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Fromage,,,1171.5,,5325,Livres,0.22,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,7,,,,,Pascal Fontaine,,"-115978,5 il semblerait que ce soit 22/100",,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Saumon ; salé,,,7800,,195,Barrils,40,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,8,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Bourre ; de bœuf,,,660,,11000,Livres,.06,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,9,,,,,Pascal Fontaine,,0 6 le quintal,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Bouteilles ; de terre,,,1471.3,,654,Douzaines,2.25,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,10,,,,,Pascal Fontaine,,"-0,200000000000045 erreur calcul",,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Barriques ; vieilles et vides,,,1920,,768,En nombre,2.5,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,11,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Cuirs ; verts ; en poil,,,6690,,1115,En nombre,6,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,12,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Cire ; jaune,,,2362.5,,1750,Livres,1.35,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,13,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Chandelle,,,8076,,20190,Livres,0.40,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,14,,,,,Pascal Fontaine,,-799524 il semblerait que ce soit 40/100,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Charbon ; de terre,,,46750,,233.75,Tonneaux,200,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,15,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Clous ; de fer,,,5310,,17700,Livres,.3,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,16,,,,,Pascal Fontaine,,0 indiqué 30 le quintal,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Caboches,,,1344,,11200,Livres,0.12,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,1,17,,,,,Pascal Fontaine,,-133056 il semblerait que ce soit 12/100,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Etain ; en bloc,,,22000,,20000,Livres,1.10,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,18,,,,,Pascal Fontaine,,-2178000 il semblerait que ce soit 110/100,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Huile ; de poisson,,,19362.5,,77450,Livres,0.25,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,19,,,,,Pascal Fontaine,,"-1916887,5 il semblerait que ce soit 25/100",,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Laine ; filée,,,11725,,6700,Livres,1.75,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,20,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Laine ; peignée,,,1040,,800,Livres,1.3,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,21,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Laine ; en suin,,,26235,,9540,Livres,2.75,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,22,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Plomb ; en saumon,,,18400,,80000,Livres,.23,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,23,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Suif,,,313267.5,,696150,Livres,.45,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,24,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Tabac; de Virginie,,,204214,,583450,Livres,.35,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,25,,,,,Pascal Fontaine,,"6,4999999999709 erreur calcul",,,,,,,,,
Local,1730,Bordeaux,,Angleterre,Imports,Toille,,,240,,120,Aunes,2,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,26,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Avoine,,,14400,,4800,Boisseaux,3,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,27,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Bled ; froment,,,286992,,35874,Boisseaux,8,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,28,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Bled ; froment,,,8140,,814,Quartiers mesure de Blaye,10,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,29,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Bled ; seigle,,,96550,,19310,Boisseaux,5,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,30,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Beurre,,,29409,,98030,Livres,.3,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,31,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Biere,,,15075,,603,Barriques,25,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,32,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Cabillau,,,340,,17,Barrils,20,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,33,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Canelle,,,26052,,6513,Livres,4,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,34,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Feves,,,8400,,2400,Boisseaux,3.5,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,35,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Fromage,,,158077.7,,718535,Livres,.22,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,36,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Harans ; blancs,,,18172.5,,748.5,Barrils,25,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,37,,,,,Pascal Fontaine,,-540,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Geroffle,,,181400,,22675,Livres,8,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,38,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Jambon,,,240,,600,Livres,.4,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,39,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Mongette,,,600,,100,Boisseaux,6,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,40,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Muscade,,,35200,,4400,Livres,8,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,41,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Poids ; secs,,,4872,,812,Boisseaux,6,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,42,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Poivre; noir,,,288750,,288750,Livres,1,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,43,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Ris,,,643.5,,3575,Livres,.18,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,44,,,,,Pascal Fontaine,,0,,,,,,,,,
Local,1730,Bordeaux,,Hollande,Imports,Stocfisch,,,3096,,17200,Livres,.18,sources/Local/AD33_C4389_Bordeaux_Imports_1730.csv,AD33 C4389,2,45,,,,,Pascal Fontaine,,0,,,,,,,,,
