line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1743,Bordeaux,,Angleterre,Imports,Avoine,,,1575,,450,Boisseaux,3.5,sources/Local/AD33_C4389_Bordeaux_Imports_1743.csv,AD33 C4389,1,,,,,Demba Konate,,,0,,,,,,,,,
2,Local,1743,Bordeaux,,Angleterre,Imports,Bœuf salé,,,926250,,7410000,livres,.125,sources/Local/AD33_C4389_Bordeaux_Imports_1743.csv,AD33 C4389,1,,,,,Demba Konate,,,0,,,,,,,,,
3,Local,1743,Bordeaux,,Angleterre,Imports,Beurre salé,,,808758,,2378700,livres,.34,sources/Local/AD33_C4389_Bordeaux_Imports_1743.csv,AD33 C4389,1,,,,,Demba Konate,,,0,,,,,,,,,
4,Local,1743,Bordeaux,,Angleterre,Imports,Bled froment,,,39967,,4702,Boisseaux,8.5,sources/Local/AD33_C4389_Bordeaux_Imports_1743.csv,AD33 C4389,1,,,,,Demba Konate,,,0,,,,,,,,,
5,Local,1743,Bordeaux,,Angleterre,Imports,Chandelle,,,58124,,132100,livres,.44,sources/Local/AD33_C4389_Bordeaux_Imports_1743.csv,AD33 C4389,1,,,,,Demba Konate,,,0,,,,,,,,,
6,Local,1743,Bordeaux,,Angleterre,Imports,Charbon de terre,,,90365,,341,Tonneaux,265,sources/Local/AD33_C4389_Bordeaux_Imports_1743.csv,AD33 C4389,1,,,,,Demba Konate,,,0,,,,,,,,,
7,Local,1743,Bordeaux,,Angleterre,Imports,Cire jaune,,,5512.5,,3675,livres,1.5,sources/Local/AD33_C4389_Bordeaux_Imports_1743.csv,AD33 C4389,1,,,,,Demba Konate,,,0,,,,,,,,,
8,Local,1743,Bordeaux,,Angleterre,Imports,Etain en bloc,,,18603,,17550,livres,1.0599999,sources/Local/AD33_C4389_Bordeaux_Imports_1743.csv,AD33 C4389,1,,,,,Demba Konate,,,0,,,,,,,,,
9,Local,1743,Bordeaux,,Angleterre,Imports,Fromage de chestes,,,7157.5,,20450,livres,.34999999,sources/Local/AD33_C4389_Bordeaux_Imports_1743.csv,AD33 C4389,1,,,,,Demba Konate,,,0,,,,,,,,,
10,Local,1743,Bordeaux,,Angleterre,Imports,Langues de bœuf salées,,,3255,,10850,livres,.30000001,sources/Local/AD33_C4389_Bordeaux_Imports_1743.csv,AD33 C4389,1,,,,,Demba Konate,,,0,,,,,,,,,
