line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1743,Nantes,,Angleterre,Exports,Anis,,,459,,1530,livres,.30000001,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,Prix unitaire en pourcentage,0,,,,,,,,,
2,Local,1743,Nantes,,Angleterre,Exports,Caffé,,,62,,124,livres,.5,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
3,Local,1743,Nantes,,Angleterre,Exports,Cartes à joüer,,,160,,160,livres,1,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
4,Local,1743,Nantes,,Angleterre,Exports,Cercles à tonneauxx,,,252,,21,fournitures,12,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
5,Local,1743,Nantes,,Angleterre,Exports,Chandelles,,,45,,100,livres,.44999999,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,Prix unitaire en pourcentage,0,,,,,,,,,
6,Local,1743,Nantes,,Angleterre,Exports,Eaux de vie,,,40164,,20084,veltes,2,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,arrondi,4,,,,,,,,,
7,Local,1743,Nantes,,Angleterre,Exports,Fayance en vaisselle,,,74,,37,douzaines,2,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
8,Local,1743,Nantes,,Angleterre,Exports,Feuillards,,,50,,5,fournitures,10,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
9,Local,1743,Nantes,,Angleterre,Exports,Merrain ganivelle,,,4400,,44,milliers,100,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,milliers composé de 1428 douelles et 714 fonds,0,,,,,,,,,
10,Local,1743,Nantes,,Angleterre,Exports,Nattes petites,,,200,,2,milliers,100,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
11,Local,1743,Nantes,,Angleterre,Exports,Noix,,,150,,100,milliers,1.5,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
12,Local,1743,Nantes,,Angleterre,Exports,Papier,,,3250,,5000,livres,.64999998,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,Prix unitaire en pourcentage,0,,,,,,,,,
13,Local,1743,Nantes,,Angleterre,Exports,Pruneaux de Ste Catherine,,,112,,500,livres,.22499999,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,Prix unitaire en pourcentage,.5,,,,,,,,,
14,Local,1743,Nantes,,Angleterre,Exports,Sel du Croisic,,,810,,27,muids,30,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
15,Local,1743,Nantes,,Angleterre,Exports,Sel du Croisic,,,297,,11,muids,27,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
16,Local,1743,Nantes,,Angleterre,Exports,Sel du Croisic,,,300,,15,muids,20,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
17,Local,1743,Nantes,,Angleterre,Exports,Sel du Croisic,,,230,,15,muids,18,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,erreur de calcul,40,,,,,,,,,
18,Local,1743,Nantes,,Angleterre,Exports,Sel de Pouliguen,,,105,,7,muids du Poulinguen,15,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,muids du Poulinguen,0,,,,,,,,,
19,Local,1743,Nantes,,Angleterre,Exports,Soirie,,,1160,,29,livres,40,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
20,Local,1743,Nantes,,Angleterre,Exports,Sucre en pain,,,157,,210,livres,.75,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,Prix unitaire en pourcentage,.5,,,,,,,,,
21,Local,1743,Nantes,,Angleterre,Exports,Thé,,,6366,,1819,livres,3.5,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,.5,,,,,,,,,
22,Local,1743,Nantes,,Angleterre,Exports,Vin de Bordeaux,,,300,,1,tonneaux,300,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
23,Local,1743,Nantes,,Angleterre,Exports,Vin hors,,,35,,1,bariques,35,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
24,Local,1743,Nantes,,Angleterre,Exports,Vin nantois,,,342,,4.75,tonneaux,72,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
25,Local,1743,Nantes,,Angleterre,Exports,Vin du pays,,,45,,3,bariques,15,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
26,Local,1743,Nantes,,Angleterre,Exports,Vinaigre,,,12,,2,quarts,6,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
27,Local,1743,Nantes,,Flandre,Exports,Basin,,,2800,,100,pièces,28,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,0,,,,,,,,,
28,Local,1743,Nantes,,Flandre,Exports,Bois rouge,,,3000,,10000,livres,.30000001,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,Prix unitaire en pourcentage,0,,,,,,,,,
29,Local,1743,Nantes,,Flandre,Exports,Caffé de Bourbon,,,80011,,114302,livres,.69999999,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,1,,,,,Anthony Rebours,,,.40000001,,,,,,,,,
30,Local,1743,Nantes,,Flandre,Exports,Caffé des Isles,,,2304,,4608,livres,.5,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,2,,,,,Anthony Rebours,,,0,,,,,,,,,
31,Local,1743,Nantes,,Flandre,Exports,Caffé de Moka,,,1849,,822,livres,2.25,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,2,,,,,Anthony Rebours,,,.5,,,,,,,,,
32,Local,1743,Nantes,,Flandre,Exports,Chataignes,,,3310,,3310,boisseaux,1,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,2,,,,,Anthony Rebours,,,0,,,,,,,,,
33,Local,1743,Nantes,,Flandre,Exports,Chittes,,,5148,,156,pièces,33,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,2,,,,,Anthony Rebours,,,0,,,,,,,,,
34,Local,1743,Nantes,,Flandre,Exports,Chuquelas,,,94,,4,pièces,23.5,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,2,,,,,Anthony Rebours,,,0,,,,,,,,,
35,Local,1743,Nantes,,Flandre,Exports,Confitures,,,13,,25,livres,.51999998,sources/Local/AD44_C706_Nantes_Exports_1743.csv,AD44 C706,2,,,,,Anthony Rebours,,Prix unitaire en pourcentage,0,,,,,,,,,
