line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1757,Nantes,,Angleterre,Imports,Beuf salé,,,,,1695,barils,36,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
2,Local,1757,Nantes,,Angleterre,Imports,Beuf salé,,,,,378,tierçons,50,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
3,Local,1757,Nantes,,Angleterre,Imports,Beure,,,,,93030,livres,0.35,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
4,Local,1757,Nantes,,Angleterre,Imports,Crin,,,,,1719,livres,0.6,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
5,Local,1757,Nantes,,Angleterre,Imports,Cuirs de boeuf en poil,,,,,1257,pièces,6,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
6,Local,1757,Nantes,,Angleterre,Imports,Huille de poisson,,,,,392,livres,0.25,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
7,Local,1757,Nantes,,Angleterre,Imports,Laine,,,,,4235,livres,1.25,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
8,Local,1757,Nantes,,Angleterre,Imports,Lard,,,,,50,baril,35,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
9,Local,1757,Nantes,,Angleterre,Imports,Saumon Salé,,,,,75,tierçons,35,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
10,Local,1757,Nantes,,Angleterre,Imports,Soude,,,,,50000,livres,0.25,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
11,Local,1757,Nantes,,Angleterre,Imports,Suif,,,,,9950,livres,0.35,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
12,Local,1757,Nantes,,Danemark,Imports,Bois merain à pipe,,,,,1000,douelles,0.44,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
13,Local,1757,Nantes,,Danemark,Imports,Cabillauds,,,,,282968,livres,0.25,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
14,Local,1757,Nantes,,Danemark,Imports,Charbon de terre,,,,,183,barique,10,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
15,Local,1757,Nantes,,Danemark,Imports,Clous de fer,,,,,780,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
16,Local,1757,Nantes,,Danemark,Imports,Fer en botte,,,,,4500,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
17,Local,1757,Nantes,,Danemark,Imports,Huile de poisson,,,,,3339,livres,0.25,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
18,Local,1757,Nantes,,Danemark,Imports,Planches des sapin de 9 à 10 pieds,,,,,1088,pièces,1,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
19,Local,1757,Nantes,,Danemark,Imports,Rogues de morue,,,,,101,baril,22,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
20,Local,1757,Nantes,,Danemark,Imports,Stockfish,,,,,3381,livres,0.2,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
21,Local,1757,Nantes,,Espagne,Imports,Ancres de fer,,,,,5600,livres,0.2,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
22,Local,1757,Nantes,,Espagne,Imports,Avirons,,,,,425,traques,3,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
23,Local,1757,Nantes,,Espagne,Imports,Balays de bruyeres,,,,,520,douzaine,0.4,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
24,Local,1757,Nantes,,Espagne,Imports,Bois de campeche,,,,,2850,livres,0.15,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
25,Local,1757,Nantes,,Espagne,Imports,Bray gras,,,,,353,baril,22,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
26,Local,1757,Nantes,,Espagne,Imports,Bray sec,,,,,95725,livres,22,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
27,Local,1757,Nantes,,Espagne,Imports,Citrons,,,,,50,caisse,12,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
28,Local,1757,Nantes,,Espagne,Imports,Cotton en laine,,,,,81516,livres,0.69,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
29,Local,1757,Nantes,,Espagne,Imports,Fer en barres,,,,,665675,livres,0.15,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
30,Local,1757,Nantes,,Espagne,Imports,Fer plat,,,,,87623,livres,0.125,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
31,Local,1757,Nantes,,Espagne,Imports,Figues,,,,,20412,livres,0.15,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
32,Local,1757,Nantes,,Espagne,Imports,Goudron,,,,,554,barils,22,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
33,Local,1757,Nantes,,Espagne,Imports,Goudron,,,,,40,bariques,44,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
34,Local,1757,Nantes,,Espagne,Imports,"Haches, houes et serpes",,,,,2849,livres,0.75,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
35,Local,1757,Nantes,,Espagne,Imports,Huile d'olive,,,,,11271,livres,0.6,sources/Local/AD44_C716_Nantes_Imports_1757.csv,AD44 716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
