source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Local,1751,Rennes,,pour la Guinée,Exports,Alibanis,,,0,,,pièces,18,sources/Local/AD44_C716_Rennes_Exports_1751.csv,AD44 C716,7,,,,,,Cyril CANET,,,-900,,,,,,,,
Local,1751,Rennes,,pour l'Angleterre,Exports,acier,,,0,,,baril,25,sources/Local/AD44_C716_Rennes_Exports_1751.csv,AD44 C716,1,,,,,,Cyril CANET,,,-25,,,,,,,,
Local,1751,Rennes,,pour le Nord,Exports,adatays,,,0,,,pièces,18,sources/Local/AD44_C716_Rennes_Exports_1751.csv,AD44 C716,12,,,,,,Cyril CANET,,,-90,,,,,,,,
Local,1751,Rennes,,pour les Isles françoises de l'Amérique,Exports,ains à pescher,,,0,,,en nombre,"0,25",sources/Local/AD44_C716_Rennes_Exports_1751.csv,AD44 C716,15,,,,,,Cyril CANET,,,-250,,,,,,,,
Local,1751,Rennes,,pour le Nord,Exports,alibanis,,,0,,,pièces,18,sources/Local/AD44_C716_Rennes_Exports_1751.csv,AD44 C716,13,,,,,,Cyril CANET,,,-2664,,,,,,,,
Local,1751,Rennes,,pour l'Angleterre,Exports,alun,,,0,,,livres,"0,2",sources/Local/AD44_C716_Rennes_Exports_1751.csv,AD44 C716,1,,,,,,Cyril CANET,,,-20,,,,,,,,
Local,1751,Rennes,,pour l'Angleterre,Exports,amandes,,,0,,,balles,20,sources/Local/AD44_C716_Rennes_Exports_1751.csv,AD44 C716,1,,,,,,Cyril CANET,,,-80,,,,,,,,
Local,1751,Rennes,,pour l'Angleterre,Exports,amandes,,,0,,,emines,0,sources/Local/AD44_C716_Rennes_Exports_1751.csv,AD44 C716,1,,,,,,Cyril CANET,,,0,,,,,,,,
Local,1751,Rennes,,pour l'Angleterre,Exports,amandes,,,0,,,milliers,2,sources/Local/AD44_C716_Rennes_Exports_1751.csv,AD44 C716,1,,,,,,Cyril CANET,,,-836,,,,,,,,
Local,1751,Rennes,,pour la Holande,Exports,amertis,,,0,,,pièces,20,sources/Local/AD44_C716_Rennes_Exports_1751.csv,AD44 C716,10,,,,,,Cyril CANET,,,-8640,,,,,,,,
