line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1757,Rennes,,d'Angleterre,Imports,beuf salé,,,0,,450,tierçons,50,sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,1,,,,,Cyril CANET,,,-22500,,,,,,,,
2,Local,1757,Rennes,,d'Angleterre,Imports,beure,,,0,,789,frequins,26,sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,1,,,,,Cyril CANET,,,-20514,,,,,,,,
3,Local,1757,Rennes,,d'Angleterre,Imports,charbon de terre,,,0,,50,tonneaux,40,sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,1,,,,,Cyril CANET,,,-2000,,,,,,,,
4,Local,1757,Rennes,,d'Angleterre,Imports,charbon de terre,,,0,,469,bariques,10,sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,1,,,,,Cyril CANET,,,-4690,,,,,,,,
5,Local,1757,Rennes,,d'Angleterre,Imports,marchandises des prises,,,593221,,,,0,sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,1,,,,,Cyril CANET,,,593221,,,,,,,,
6,Local,1757,Rennes,,d'Angleterre,Imports,tabac en feuille,,,0,,2597385,livres,"0,25",sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,1,,,,,Cyril CANET,,,"-649346,25",,,,,,,,
7,Local,1757,Rennes,,de Danemark,Imports,beuf salé,,,0,,604,barils,36,sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,,-21744,,,,,,,,
8,Local,1757,Rennes,,de Danemark,Imports,bois merrain,,,0,,4800,en nombre,"0,22",sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,À 22 L %,-1056,,,,,,,,
9,Local,1757,Rennes,,de Danemark,Imports,bordage de chêne,,,0,,4800,en nombre,0,sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,à 3L 10s le pied cube,0,,,,,,,,
10,Local,1757,Rennes,,de Danemark,Imports,chanvre cru,,,0,,127000,livres,"0,18",sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,À 18 L %,-22860,,,,,,,,
11,Local,1757,Rennes,,de Danemark,Imports,cabillaux,,,0,,38,barils,0,sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,À 6s la livre,0,,,,,,,,
12,Local,1757,Rennes,,de Danemark,Imports,esparts,,,0,,40,en nombre,"2,25",sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,À 40s ou 50s,-90,,,,,,,,
13,Local,1757,Rennes,,de Danemark,Imports,mats,,,105000,,,,0,sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,valeur de 105000 L,105000,,,,,,,,
14,Local,1757,Rennes,,de Danemark,Imports,planches de Prusse de 5 pieds,,,0,,13320,en nombre,"1,5",sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,unité monétaire absente,-19980,,,,,,,,
15,Local,1757,Rennes,,de Danemark,Imports,demi-planches,,,0,,1240,en nombre,1,sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,,-1240,,,,,,,,
16,Local,1757,Rennes,,de Danemark,Imports,planches de sapin,,,0,,12628,en nombre,1,sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,,-12628,,,,,,,,
17,Local,1757,Rennes,,de Danemark,Imports,rogues de morue,,,0,,1733,barils,10,sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,,-17330,,,,,,,,
18,Local,1757,Rennes,,d'Espagne,Imports,alpistes,,,0,,200,livres,"0,275",sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,À 5 ou 6s,-55,,,,,,,,
19,Local,1757,Rennes,,d'Espagne,Imports,amandes,,,0,,3600,livres,"0,3",sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,À 30 L %,-1080,,,,,,,,
20,Local,1757,Rennes,,d'Espagne,Imports,balais,,,0,,100,douzaines,"2,4",sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,,-240,,,,,,,,
21,Local,1757,Rennes,,d'Espagne,Imports,beuf salé,,,0,,249,quarts,40,sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,36 L. 40L,-9960,,,,,,,,
22,Local,1757,Rennes,,d'Espagne,Imports,boutons de coco,,,0,,160,livres,1,sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,,-160,,,,,,,,
23,Local,1757,Rennes,,d'Espagne,Imports,citrons,,,0,,2000,en nombre,"0,1",sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,,-200,,,,,,,,
24,Local,1757,Rennes,,d'Espagne,Imports,citrons,,,0,,40,caisses,11,sources/Local/AD44_C716_Rennes_Imports_1757.csv,AD44 C716,2,,,,,Cyril CANET,,À 10 L ou 12 L,-440,,,,,,,,
