source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Local,1761,Rennes,,d'Angleterre,Imports,ancres de fer,,,0,,,en nombre,0,sources/Local/AD44_C716_Rennes_Imports_1761.csv,AD44 C716,1,,,,,,Cyril CANET,,,0,,,,,,,,
Local,1761,Rennes,,d'Angleterre,Imports,bas de laine,,,0,,,douzaines,36,sources/Local/AD44_C716_Rennes_Imports_1761.csv,AD44 C716,1,,,,,,Cyril CANET,,,-324,,,,,,,,
Local,1761,Rennes,,d'Angleterre,Imports,bazin,,,0,,,aulnes,2,sources/Local/AD44_C716_Rennes_Imports_1761.csv,AD44 C716,1,,,,,,Cyril CANET,,,-60,,,,,,,,
Local,1761,Rennes,,d'Angleterre,Imports,boeuf salé,,,0,,,barils,25,sources/Local/AD44_C716_Rennes_Imports_1761.csv,AD44 C716,1,,,,,,Cyril CANET,,,-19775,,,,,,,,
Local,1761,Rennes,,d'Angleterre,Imports,bierre,,,0,,,bariques,22,sources/Local/AD44_C716_Rennes_Imports_1761.csv,AD44 C716,1,,,,,,Cyril CANET,,,-880,,,,,,,,
Local,1761,Rennes,,d'Angleterre,Imports,biscuits,,,0,,,boucauds,15,sources/Local/AD44_C716_Rennes_Imports_1761.csv,AD44 C716,1,,,,,,Cyril CANET,,,-225,,,,,,,,
Local,1761,Rennes,,d'Angleterre,Imports,biscuits,,,0,,,sacs,4,sources/Local/AD44_C716_Rennes_Imports_1761.csv,AD44 C716,1,,,,,,Cyril CANET,,,-36,,,,,,,,
Local,1761,Rennes,,d'Angleterre,Imports,bois jaune,,,0,,,livres,"0,1",sources/Local/AD44_C716_Rennes_Imports_1761.csv,AD44 C716,1,,,,,,Cyril CANET,,,"-721,3",,,,,,,,
Local,1761,Rennes,,d'Angleterre,Imports,bois rouge,,,0,,,livres,"0,125",sources/Local/AD44_C716_Rennes_Imports_1761.csv,AD44 C716,1,,,,,,Cyril CANET,,,"-736,25",,,,,,,,
Local,1761,Rennes,,d'Angleterre,Imports,bonnets de laine,,,0,,,douzaines,24,sources/Local/AD44_C716_Rennes_Imports_1761.csv,AD44 C716,1,,,,,,Cyril CANET,,,-48,,,,,,,,
