line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
5586,Local,1767,Nantes,,Angleterre,Exports,Avoine,,,0,,225000,Livres,"0,0416667",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5587,Local,1767,Nantes,,Angleterre,Exports,Bougie,,,0,,48,,2,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,Pas d'unité demesure,,,,,,,,,
5588,Local,1767,Nantes,,Angleterre,Exports,Biscuit,,,0,,200,Livres,"0,15",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5589,Local,1767,Nantes,,Angleterre,Exports,Caffé des Isles,,,0,,3570,Livres,"0,6",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5590,Local,1767,Nantes,,Angleterre,Exports,Cercles de bois,,,0,,16230,En nombre,"0,0178571",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,30 sous le paquet de 84 brins,,,,,,,,,
5591,Local,1767,Nantes,,Angleterre,Exports,Chataignes,,,0,,1240,Boisseaux,1,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5592,Local,1767,Nantes,,Angleterre,Exports,Eaux de senteur,,,0,,36,Taupettes,"0,4",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5593,Local,1767,Nantes,,Angleterre,Exports,Eau de vie,,,0,,230,Bariques,140,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5594,Local,1767,Nantes,,Angleterre,Exports,Eau de vie,,,0,,"5428,5",Veltes,"4,25",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5595,Local,1767,Nantes,,Angleterre,Exports,Estampes,,,0,,30,Livres,10,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5596,Local,1767,Nantes,,Angleterre,Exports,Farine,,,0,,109800,Livres,"0,125",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5597,Local,1767,Nantes,,Angleterre,Exports,Indigo,,,0,,58238,Livres,4,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5598,Local,1767,Nantes,,Angleterre,Exports,Noix,,,0,,10000,En nombre,"0,00175",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5599,Local,1767,Nantes,,Angleterre,Exports,Olives,,,0,,96,Flacons,"0,6",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5600,Local,1767,Nantes,,Angleterre,Exports,Orge,,,0,,44600,Livres,"0,05",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5601,Local,1767,Nantes,,Angleterre,Exports,Prunes,,,0,,600,Livres,"0,5",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5602,Local,1767,Nantes,,Angleterre,Exports,Pruneaux,,,0,,900,Livres,"0,1",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5603,Local,1767,Nantes,,Angleterre,Exports,Savon noir,,,0,,200,Livres,"0,3",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5604,Local,1767,Nantes,,Angleterre,Exports,Sel,,,0,,338,Muids,35,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5605,Local,1767,Nantes,,Angleterre,Exports,Sucre en pain,,,0,,300,Livres,"0,6",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5606,Local,1767,Nantes,,Angleterre,Exports,Sucre terré,,,0,,10000,Livres,"0,35",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,1,,,,,Pascal Fontaine,,,,,,,,,,,
5607,Local,1767,Nantes,,Angleterre,Exports,Sucre brut,,,0,,25000,Livres,"0,2",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5608,Local,1767,Nantes,,Angleterre,Exports,Thé,,,0,,10138,Livres,"1,9",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5609,Local,1767,Nantes,,Angleterre,Exports,Vin ; de Bordeaux,,,0,,"1,25",Tonneaux,400,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5610,Local,1767,Nantes,,Angleterre,Exports,Vin ; de Bordeaux,,,0,,2,Tierçons,66,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5611,Local,1767,Nantes,,Angleterre,Exports,Vin ; Nantois,,,0,,1,Bariques,50,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5612,Local,1767,Nantes,,Angleterre,Exports,Vinaigre de compostion,,,0,,"2,25",Tonneaux,120,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5613,Local,1767,Nantes,,Danemark,Exports,Caffé des Isles,,,0,,10750,Livres,"0,6",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5614,Local,1767,Nantes,,Danemark,Exports,Eau de vie,,,0,,20,Bariques,140,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5615,Local,1767,Nantes,,Danemark,Exports,Eau de vie,,,0,,3,Tierçons,80,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5616,Local,1767,Nantes,,Danemark,Exports,Eau de vie,,,0,,"11493,5",Veltes,"4,25",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5617,Local,1767,Nantes,,Danemark,Exports,Farine,,,0,,1500,Livres,"0,125",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5618,Local,1767,Nantes,,Danemark,Exports,marchandises mêlées,,,146,,,,,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5619,Local,1767,Nantes,,Danemark,Exports,Sel,,,0,,1134,Muids,35,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5620,Local,1767,Nantes,,Danemark,Exports,Squine,,,0,,262,Livres,"0,85",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5621,Local,1767,Nantes,,Danemark,Exports,Sucre terré,,,0,,530,Livres,"0,35",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5622,Local,1767,Nantes,,Danemark,Exports,Thé,,,0,,36954,Livres,"1,9",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5623,Local,1767,Nantes,,Danemark,Exports,Vin de Bordeaux,,,0,,3,Bariques,100,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5624,Local,1767,Nantes,,Danemark,Exports,Vin de Bordeaux,,,0,,190,Bouteilles,1,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5625,Local,1767,Nantes,,Danemark,Exports,Vinaigre,,,0,,4,Bariques,30,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5626,Local,1767,Nantes,,Danemark,Exports,Vinaigre,,,0,,20,Quarts,15,sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5627,Local,1767,Nantes,,Espagne,Exports,Ardoises,,,0,,15000,En nombre,"0,012",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
5628,Local,1767,Nantes,,Espagne,Exports,Baguettes de bois doré,,,0,,40,Pieds,"0,5",sources/Local/AD44_C717_Nantes_Exports_1767.csv,AD44 C717,2,,,,,Pascal Fontaine,,,,,,,,,,,
