source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Local,1778,Nantes,,Allemagne,Exports,Bois d'acajou madriers,,,0,,6,Pièces,30,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8123,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Bois de gayac,,,0,,14000,Livres,"0,45",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8124,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Bois rouge,,,0,,3605,Livres,"0,09",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8125,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Cacao,,,0,,1010,Livres,"0,45",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8126,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Caffé,,,0,,1120735,Livres,"0,5",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8127,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Chaises,,,0,,201,En nombre,"1,8333333",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8128,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Confitures,,,0,,24,Livres,"1,25",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8129,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Crème de tartre,,,0,,100,Livres,"0,45",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8130,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Drogueries,,,0,,641,Livres,"2,1",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8131,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Eau de vie,,,0,,515,Veltes,4,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8132,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Fleur de canelle,,,0,,163,Livres,12,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8133,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Guinée,,,0,,538,Pièces,18,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8134,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Huile d'olive,,,0,,1220,Livres,"0,7",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8135,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Indigo,,,0,,80412,Livres,"7,5",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8136,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Librairie,,,0,,45,Livres,"3,5",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8137,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Liqueurs,,,0,,108,Bouteilles,3,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8138,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Miel,,,0,,12234,Livres,"0,175",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8139,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Peaux de veau corroyées,,,0,,1548,En nombre,"3,3333333",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,1,8140,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Pierres a fusils,,,0,,36340,Livres,"0,05",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8141,,,,,Pascal Fontaine,,3lt le milliers en nombre. J'ai pris le prix commun des années précédentes: 1s la livre poids,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Ris,,,0,,182704,Livres,"0,2",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8142,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Rocou,,,0,,3754,Livres,"0,75",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8143,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Rotin,,,0,,1350,Livres,"0,33",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8144,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Sel,,,0,,18,Muids,45,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8145,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Sirop d'amont,,,0,,392706,Livres,"0,15",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8146,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Sucre ; brut,,,0,,2001092,Livres,"0,36",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8147,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Sucre ; terré,,,0,,1044400,Livres,"0,55",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8148,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Tabac,,,0,,13214,Livres,"0,9",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8149,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Taffia,,,0,,300,Veltes,3,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8150,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Vin ; d'amont,,,0,,421,Tonneaux,300,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8151,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Vin ; d'amont,,,0,,"1,38",,0,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8152,,,,,Pascal Fontaine,,"Ni unité, ni prix",,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Vin ; de Barcelonne,,,0,,127,Tonneaux,200,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8153,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Vin ; de Barcelonne,,,0,,326,Pièces,100,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8154,,,,,Pascal Fontaine,,à 100 lt la pipe (une pièce = une pipe?),,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Vin ; de Bordeaux,,,0,,10,Tonneaux,400,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8155,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Vin ; de Frontignan,,,0,,100,Bouteilles,"1,25",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8156,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Vin ; Nantais,,,0,,1261,Tonneaux,120,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8157,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Vin ; Nantais,,,0,,3,Bariques,30,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8158,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Vinaigre,,,0,,1,Tonneaux,120,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8159,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Allemagne,Exports,Vinaigre,,,0,,2,Quarts,15,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8160,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Angleterre,Exports,Bois feuillard,,,0,,5040,En nombre,"0,0416667",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8161,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1778,Nantes,,Angleterre,Exports,Cercles de bois,,,0,,10080,En nombre,"0,0357143",sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8162,,,,,Pascal Fontaine,,18 livres la fourniture de 6 paquets. A priori le paquet fait 84 brins ou cercles (c'est le chiffre donné dans les registres de 1767 départ Nantes pour l'Angleterre). C'est ça car ça fait 504 pièces par fourniture qui est un multiple de 10080.,,,,,,,,,
Local,1778,Nantes,,Angleterre,Exports,Chataignes,,,0,,45,Boisseaux,1,sources/Local/AD44_C717_Nantes_Exports_1778.csv,AD44 C717,2,8163,,,,,Pascal Fontaine,,,,,,,,,,,
