line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_value,absurd_quantity,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
4723,Local,1776,Rennes,,"Allemagne, Lorraine et le païs de Liège",Exports,Caffé ; de Bourbon,,,,,45475,livres,.75,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,-34106.25,,,,,,,,,,
4724,Local,1776,Rennes,,"Allemagne, Lorraine et le païs de Liège",Exports,Caffé ; Moka,,,,,1706,livres,1.65,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,-2814.9,,,,,,,,,,
4725,Local,1776,Rennes,,"Allemagne, Lorraine et le païs de Liège",Exports,Canelle,,,,,155,livres,8,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,-1240,,,,,,,,,,
4726,Local,1776,Rennes,,"Allemagne, Lorraine et le païs de Liège",Exports,Thé,,,,,296,livres,1.75,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,-518,,,,,,,,,,
4727,Local,1776,Rennes,,Angleterre,Exports,Amandes,,,,,52,balles,40,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,-2080,,,,,,,,,,
4728,Local,1776,Rennes,,Angleterre,Exports,Beurre,,,,,23610,livres,.55,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,-12985.5,,,,,,,,,,
4729,Local,1776,Rennes,,Angleterre,Exports,Bois d'accajou,,,,,18,pieds,2,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,-36,,,,,,,,,,
4730,Local,1776,Rennes,,Angleterre,Exports,Bray et gaudron,,,,,175,barils,31,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,il est indiqué 35 et 27 livres,-5425,,,,,,,,,,
4731,Local,1776,Rennes,,Angleterre,Exports,Bray et gaudron,,,,,3000,livres,.25,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,-750,,,,,,,,,,
4732,Local,1776,Rennes,,Angleterre,Exports,Caffé des Isles,,,,,47010,livres,.375,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,-17628.75,,,,,,,,,,
4733,Local,1776,Rennes,,Angleterre,Exports,Chaises de paille,,,,,720,en nombre,1,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,-720,,,,,,,,,,
4734,Local,1776,Rennes,,Angleterre,Exports,Chandelle,,,,,3695,livres,.55,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,-2032.25,,,,,,,,,,
4735,Local,1776,Rennes,,Angleterre,Exports,Cuirs de beuf tannés,,,,,15820,livres,1,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,-15820,,,,,,,,,,
4736,Local,1776,Rennes,,Angleterre,Exports,Eau de vie,,,,,168,veltes,4.5,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,-756,,,,,,,,,,
4737,Local,1776,Rennes,,Angleterre,Exports,Etoffe de soye,,,450,,,,0,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,450,,,,,,,,,,
4738,Local,1776,Rennes,,Angleterre,Exports,Fruits ; crus,,,,,51,paniers,6,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,-306,,,,,,,,,,
4739,Local,1776,Rennes,,Angleterre,Exports,Fruits ; secs,,,,,28720,livres,.3,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,1,,,,,Pascal Fontaine,,,-8616,,,,,,,,,,
4740,Local,1776,Rennes,,Angleterre,Exports,Huile d'olive,,,,,2954,pots,4,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-11816,,,,,,,,,,
4741,Local,1776,Rennes,,Angleterre,Exports,Lard,,,,,7930,livres,.4,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-3172,,,,,,,,,,
4742,Local,1776,Rennes,,Angleterre,Exports,Marchandises mêlées,,,1979,,,,0,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,1979,,,,,,,,,,
4743,Local,1776,Rennes,,Angleterre,Exports,Miel,,,,,29100,livres,.175,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-5092.5,,,,,,,,,,
4744,Local,1776,Rennes,,Angleterre,Exports,Noix,,,,,120,milliers,1.75,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-210,,,,,,,,,,
4745,Local,1776,Rennes,,Angleterre,Exports,Noix,,,128,,,,0,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,128,,,,,,,,,,
4746,Local,1776,Rennes,,Angleterre,Exports,Papier blanc,,,,,410,rames,5,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-2050,,,,,,,,,,
4747,Local,1776,Rennes,,Angleterre,Exports,Peaux de veau corroyées,,,,,30,douzaines,45,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-1350,,,,,,,,,,
4748,Local,1776,Rennes,,Angleterre,Exports,Poivre,,,,,222,livres,1.35,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-299.7,,,,,,,,,,
4749,Local,1776,Rennes,,Angleterre,Exports,Savon,,,,,461,caisses,90,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-41490,,,,,,,,,,
4750,Local,1776,Rennes,,Angleterre,Exports,Sirop melasse,,,,,13640,livres,.1,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-1364,,,,,,,,,,
4751,Local,1776,Rennes,,Angleterre,Exports,Sucre ; brut,,,,,39090,livres,.27,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-10554.3,,,,,,,,,,
4752,Local,1776,Rennes,,Angleterre,Exports,Sucre ; terré,,,,,98732,livres,.45,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-44429.4,,,,,,,,,,
4753,Local,1776,Rennes,,Angleterre,Exports,Taffia,,,,,817,veltes,3.75,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-3063.75,,,,,,,,,,
4754,Local,1776,Rennes,,Angleterre,Exports,Thé,,,,,24311,livres,1.75,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-42544.25,,,,,,,,,,
4755,Local,1776,Rennes,,Angleterre,Exports,Toile ; de bretagne,,,,,800,aunes,1,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-800,,,,,,,,,,
4756,Local,1776,Rennes,,Angleterre,Exports,Toile ; de Bretagne ; cirée,,,,,16004,livres,1.35,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-21605.4,,,,,,,,,,
4757,Local,1776,Rennes,,Angleterre,Exports,Toile ; de Bretagne ; de halle,,,,,35610,aunes,1.25,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-44512.5,,,,,,,,,,
4758,Local,1776,Rennes,,Angleterre,Exports,Toile ; de Bretagne ; de Languenan,,,,,500,aunes,1.05,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-525,,,,,,,,,,
4759,Local,1776,Rennes,,Angleterre,Exports,Toile ; de coton,,,,,60,aunes,2.25,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-135,,,,,,,,,,
4760,Local,1776,Rennes,,Angleterre,Exports,Toile ; de Laval,,,,,500,aunes,1.3,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-650,,,,,,,,,,
4761,Local,1776,Rennes,,Angleterre,Exports,Toile ; Serpillère,,,,,1430,aunes,.75,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-1072.5,,,,,,,,,,
4762,Local,1776,Rennes,,Angleterre,Exports,Toile ; à voile,,,,,194,aunes,1.75,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-339.5,,,,,,,,,,
4763,Local,1776,Rennes,,Angleterre,Exports,Vin de Bordeaux,,,,,26,bariques,100,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-2600,,,,,,,,,,
4764,Local,1776,Rennes,,Angleterre,Exports,Vinaigre,,,,,23,quarts,15,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-345,,,,,,,,,,
4765,Local,1776,Rennes,,Danemark,Exports,Caffé des Isles,,,,,9815,livres,.375,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-3680.63,,,,,,,,,,
4766,Local,1776,Rennes,,Danemark,Exports,Sel,,,,,97,muids,40,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-3880,,,,,,,,,,
4767,Local,1776,Rennes,,Danemark,Exports,Toile Siamoise,,,,,2,balles,0,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,prix non indiqué,0,,,,,,,,,,
4768,Local,1776,Rennes,,Danemark,Exports,Vin de Bordeaux,,,,,9,bariques,100,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-900,,,,,,,,,,
4769,Local,1776,Rennes,,Danemark,Exports,Vin de Bordeaux,,,,,1,tierçons,70,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-70,,,,,,,,,,
4770,Local,1776,Rennes,,Danemark,Exports,Vin de Bordeaux,,,,,4,caisses,60,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,2,,,,,Pascal Fontaine,,,-240,,,,,,,,,,
4771,Local,1776,Rennes,,Espagne,Exports,Bas de fil,,,,,82,douzaines,36,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-2952,,,,,,,,,,
4772,Local,1776,Rennes,,Espagne,Exports,Beurre,,,,,23288,livres,.55,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-12808.4,,,,,,,,,,
4773,Local,1776,Rennes,,Espagne,Exports,Bray et gaudron,,,,,15,Barils,31,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,il est indiqué 35 et 27 livres,-465,,,,,,,,,,
4774,Local,1776,Rennes,,Espagne,Exports,Caffé ; des Isles,,,,,1137,livres,.375,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-426.38,,,,,,,,,,
4775,Local,1776,Rennes,,Espagne,Exports,Caffé ; de Moka,,,,,296,livres,1.5,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-444,,,,,,,,,,
4776,Local,1776,Rennes,,Espagne,Exports,Caleçon,,,,,7,douzaines,24,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-168,,,,,,,,,,
4777,Local,1776,Rennes,,Espagne,Exports,Chaussettes de fil,,,,,250,douzaines,36,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-9000,,,,,,,,,,
4778,Local,1776,Rennes,,Espagne,Exports,Cornes de beuf,,,,,1675,en nombre,.1,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-167.5,,,,,,,,,,
4779,Local,1776,Rennes,,Espagne,Exports,Chemises ; bretonnes,,,,,374,en nombre,2.2,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-822.8,,,,,,,,,,
4780,Local,1776,Rennes,,Espagne,Exports,Chemises ; garnies,,,,,7789,en nombre,6,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-46734,,,,,,,,,,
4781,Local,1776,Rennes,,Espagne,Exports,Chemises ; unies,,,,,1575,en nombre,2,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-3150,,,,,,,,,,
4782,Local,1776,Rennes,,Espagne,Exports,Cidre,,,,,7,bariques,20,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-140,,,,,,,,,,
4783,Local,1776,Rennes,,Espagne,Exports,Cidre,,,,,2,tierçons,15,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-30,,,,,,,,,,
4784,Local,1776,Rennes,,Espagne,Exports,Confitures,,,,,3,caisses,25,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-75,,,,,,,,,,
4785,Local,1776,Rennes,,Espagne,Exports,Cuirs ; de genisse corroyés,,,,,403,cuirs,18,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-7254,,,,,,,,,,
4786,Local,1776,Rennes,,Espagne,Exports,Cuirs ; de vache corroyés,,,,,6,en nombre,30,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-180,,,,,,,,,,
4787,Local,1776,Rennes,,Espagne,Exports,Drap de laine,,,,,100,aunes,15,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-1500,,,,,,,,,,
4788,Local,1776,Rennes,,Espagne,Exports,Eau de vie,,,,,172,veltes,4,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-688,,,,,,,,,,
4789,Local,1776,Rennes,,Espagne,Exports,Filain,,,,,114000,livres,.8,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-91200,,,,,,,,,,
4790,Local,1776,Rennes,,Espagne,Exports,Graisse,,,,,1800,livres,.45,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-810,,,,,,,,,,
4791,Local,1776,Rennes,,Espagne,Exports,Manchettes,,,,,9,douzaines,60,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-540,,,,,,,,,,
4792,Local,1776,Rennes,,Espagne,Exports,Marchandises mêlées,,,288,,,,0,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,288,,,,,,,,,,
4793,Local,1776,Rennes,,Espagne,Exports,Matelats de laine,,,,,150,livres,2,sources/Local/AD44_C717_Rennes_Exports_1776.csv,AD44 C717,3,,,,,Pascal Fontaine,,,-300,,,,,,,,,,
