line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1779,Rennes,,pour l'Allemagne la Lorraine et le pais de Liege,Exports,caffé de Bourbon,,,0,,9074,livres,"0,85",sources/Local/AD44_C717_Rennes_Exports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,"-7712,9",,,,,,,,
2,Local,1779,Rennes,,pour l'Allemagne la Lorraine et le pais de Liege,Exports,caffé des Isles,,,0,,347,livres,"0,5",sources/Local/AD44_C717_Rennes_Exports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,"-173,5",,,,,,,,
3,Local,1779,Rennes,,pour l'Allemagne la Lorraine et le pais de Liege,Exports,caffé de Moka,,,0,,8696,livres,"1,5",sources/Local/AD44_C717_Rennes_Exports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,-13044,,,,,,,,
4,Local,1779,Rennes,,pour l'Allemagne la Lorraine et le pais de Liege,Exports,canelle,,,0,,2645,livres,8,sources/Local/AD44_C717_Rennes_Exports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,-21160,,,,,,,,
5,Local,1779,Rennes,,pour l'Allemagne la Lorraine et le pais de Liege,Exports,fleur de canelle,,,0,,1230,livres,12,sources/Local/AD44_C717_Rennes_Exports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,-14760,,,,,,,,
6,Local,1779,Rennes,,pour l'Allemagne la Lorraine et le pais de Liege,Exports,indigo,,,0,,88,livres,"7,5",sources/Local/AD44_C717_Rennes_Exports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,-660,,,,,,,,
7,Local,1779,Rennes,,pour l'Allemagne la Lorraine et le pais de Liege,Exports,papier de Chine,,,3000,,,,0,sources/Local/AD44_C717_Rennes_Exports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,valeur de 3000 L,3000,,,,,,,,
8,Local,1779,Rennes,,pour l'Allemagne la Lorraine et le pais de Liege,Exports,porcelaine,,,0,,273,livres,1,sources/Local/AD44_C717_Rennes_Exports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,-273,,,,,,,,
9,Local,1779,Rennes,,pour l'Allemagne la Lorraine et le pais de Liege,Exports,rotins,,,0,,2625,livres,"0,33",sources/Local/AD44_C717_Rennes_Exports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,33 L %,"-866,25",,,,,,,,
10,Local,1779,Rennes,,pour l'Allemagne la Lorraine et le pais de Liege,Exports,thé,,,0,,101700,livres,"1,4",sources/Local/AD44_C717_Rennes_Exports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,-142380,,,,,,,,
11,Local,1779,Rennes,,pour l'Espagne,Exports,bas de fil,,,0,,154,paires,4,sources/Local/AD44_C717_Rennes_Exports_1779.csv,AD44 C717,2,,,,,Cyril CANET,,,-616,,,,,,,,
12,Local,1779,Rennes,,pour l'Espagne,Exports,beuf salé,,,0,,6542,livres,"0,275",sources/Local/AD44_C717_Rennes_Exports_1779.csv,AD44 C717,2,,,,,Cyril CANET,,27 L 10 S L %,"-1799,05",,,,,,,,
