source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Local,1757,Bayonne,,Isles françoises de l'Amerique,Exports,Amandes,,,200,,,livres,"0,4",sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,14,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Isles françoises de l'Amerique,Exports,Anchois,,,84,,,barils,7,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,14,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Ancres de fer,,,7500,,,livres,"0,3",sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,1,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Isles françoises de l'Amerique,Exports,Ancres de fer,,,3740,,,livres,"0,275",sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,14,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Anes,,,225,,,en nombre,15,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,1,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Anis,,,20,,,livres,"0,4",sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,1,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Arbres à planter,,,200,,,en nombre,1,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,1,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Argenterie,,,20121,,,marcs,57,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,1,,,,,,Pascal Fontaine,,,"-49,88",,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Avirons,,,560,,,en nombre,"1,4",sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,1,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Hollande,Exports,Avirons,,,2784,,,traques,4,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,10,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Portugal,Exports,Avirons,,,892,,,traques,4,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,13,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Bahû,,,160,,,en nombre,20,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,2,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Baleine en fanon,,,700,,,livres,2,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,1,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Bas communs,,,3882,,,livres,3,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,1,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Bas communs,,,194,,,paires,1,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,1,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Bas de laine communs,,,8079,,,livres,3,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,1,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Bas de laine communs,,,2430,,,paires,1,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,1,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Bas de soye,,,325,,,paires,"6,5",sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,1,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Bas de soye,,,126,,,,,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,1,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Bas de soye,,,23800,,,livres,40,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,1,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Portugal,Exports,Bas de soye,,,8320,,,livres,40,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,13,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Basin,,,38542,,,pièces,14,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,2,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Basin,,,12088,,,livres,4,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,2,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Isles françoises de l'Amerique,Exports,Beuf salé,,,11200,,,barils,35,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,14,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Beurre,,,6272,,,livres,"0,4",sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,2,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Isles françoises de l'Amerique,Exports,Beurre,,,14630,,,livres,"0,4",sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,14,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Isles françoises de l'Amerique,Exports,Bierre,,,1260,,,bariques,21,sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,14,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Bled d'inde,,,25025,,,conques,"2,5",sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,2,,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1757,Bayonne,,Espagne,Exports,Bled froment,,,"10732,5",,,conques,"4,5",sources/Local/AD64_2_ETP_104_Bayonne_Exports_1757.csv,AD64 2 ETP 104,2,,,,,,Pascal Fontaine,,,0,,,,,,,,
