source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Local,1776,Bayonne,,Angleterre,Imports,Charbon de terre,,,15480,,12900,conques,"1,2",sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,1,5427,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Alpargattes,,,459,,1224,en nombre,"0,375",sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,1,5428,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Alpargattes,,,537,,,,,sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,1,5429,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Avoine,,,703,,11250,livres,"0,0625",sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,1,5430,,,,,Pascal Fontaine,,,"-0,13",,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Bas de fil,,,1158,,193,livres,6,sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,1,5431,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Bled froment,,,43687,,388335,livres,"0,1125",sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,1,5432,,,,,Pascal Fontaine,,,"-0,69",,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Bois de campeche,,,4100,,41000,livres,"0,1",sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,1,5433,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Cacao,,,77815,,51877,livres,"1,5",sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,1,5434,,,,,Pascal Fontaine,,,"-0,5",,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Canelle,,,4400,,400,livres,11,sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,1,5435,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Cardes à carder,,,40,,40,paires,1,sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,1,5436,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Cercles de bois,,,312,,12500,en nombre,"0,025",sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,1,5437,,,,,Pascal Fontaine,,,"-0,5",,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Chanvre en rame,,,26580,,88600,livres,"0,3",sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,2,5438,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Chocolat,,,2115,,1410,livres,"1,5",sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,2,5439,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Citrons,,,1050,,70000,en nombre,"0,015",sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,2,5440,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Clous de fer,,,1672,,6710,livres,"0,25",sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,2,5441,,,,,Pascal Fontaine,,erreur de calcul,"-5,5",,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Cochenille,,,13540,,677,livres,20,sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,2,5442,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Couperose,,,2030,,20300,livres,"0,1",sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,2,5443,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Crasse d'huile,,,400,,1600,livres,"0,25",sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,2,5444,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Cuirs de bœuf en poil,,,42152,,"3242,5",en nombre,13,sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,2,5445,,,,,Pascal Fontaine,,,"-0,5",,,,,,,,
Local,1776,Bayonne,,Espagne,Imports,Cuirs de bœuf en poil,,,120,,200,livres,"0,6",sources/Local/AD64_2_ETP_105_Bayonne_Imports_1776.csv,AD64 2 ETP 105,2,5446,,,,,Pascal Fontaine,,,0,,,,,,,,
