line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_value,absurd_quantity,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1247,Local,1733,Marseille,,Pour la Hollande,Exports,Anchois,,,75,,50,pots,1.5,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
1248,Local,1733,Marseille,,Pour la Hollande,Exports,Amandes cassées,,,108471,,493050,livres,.22,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
1249,Local,1733,Marseille,,Pour la Hollande,Exports,Amandes en coques,,,4075,,40750,livres,.1,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
1250,Local,1733,Marseille,,Pour la Hollande,Exports,Bazannes tannées,,,630,,105,douzaines,6,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
1251,Local,1733,Marseille,,Pour la Hollande,Exports,Capres,,,5700,,32000,livres,.18,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,erreur de calcul,60,,,,,,,,,,
1252,Local,1733,Marseille,,Pour la Hollande,Exports,Chataignes,,,4152,,69200,livres,.06,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
1253,Local,1733,Marseille,,Pour la Hollande,Exports,Confutions d'hyacinthé,,,120,,10,livres,12,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
1254,Local,1733,Marseille,,Pour la Hollande,Exports,Droguer,,,18,,,,,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,-18,,,,,,,,,,
1255,Local,1733,Marseille,,Pour la Hollande,Exports,Eau de vie,,,187755,,1251700,livres,.15,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
1256,Local,1733,Marseille,,Pour la Hollande,Exports,Esprit de vin,,,119,,340,livres,.35,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
1257,Local,1733,Marseille,,Pour la Hollande,Exports,Figues,,,5085,,50850,livres,.1,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,1,,,,,Demba,,,0,,,,,,,,,,
1258,Local,1733,Marseille,,Pour la Hollande,Exports,Graine de Jardin,,,665,,3325,livres,.2,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
1259,Local,1733,Marseille,,Pour la Hollande,Exports,Gans de Senteur,,,117,,78,douzaines,1.5,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
1260,Local,1733,Marseille,,Pour la Hollande,Exports,Huille d'olive,,,75600,,2520,milleroles,30,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
1261,Local,1733,Marseille,,Pour la Hollande,Exports,Huile de senteur,,,4010,,4010,livres,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
1262,Local,1733,Marseille,,Pour la Hollande,Exports,Liqueurs a boire,,,445,,445,livres,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
1263,Local,1733,Marseille,,Pour la Hollande,Exports,Liege,,,667,,6675,livres,.1,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,arrondi,.5,,,,,,,,,,
1264,Local,1733,Marseille,,Pour la Hollande,Exports,Miel,,,10302,,79250,livres,.13,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,arrondi,.5,,,,,,,,,,
1265,Local,1733,Marseille,,Pour la Hollande,Exports,Noisette,,,159,,2650,livres,.06,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
1266,Local,1733,Marseille,,Pour la Hollande,Exports,Olives,,,82,,825,livres,.1,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,arrondi,.5,,,,,,,,,,
1267,Local,1733,Marseille,,Pour la Hollande,Exports,Oignons de tubereuse,,,835,,4175,livres,.2,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
1268,Local,1733,Marseille,,Pour la Hollande,Exports,Prunes Brignolles,,,7290,,30375,livres,.24,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
1269,Local,1733,Marseille,,Pour la Hollande,Exports,Peaux de maroquin,,,4100,,1640,nombre,2.5,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
1270,Local,1733,Marseille,,Pour la Hollande,Exports,Pommade,,,90,,120,livres,.75,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
1271,Local,1733,Marseille,,Pour la Hollande,Exports,Raisin sec,,,22236,,185300,livres,.12,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
1272,Local,1733,Marseille,,Pour la Hollande,Exports,Soye ouvres,,,4080,,102,livres,40,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
1273,Local,1733,Marseille,,Pour la Hollande,Exports,Savon,,,1245,,6225,livres,.2,sources/Local/Archives_de_la_CCI_de_Marseille_I_21_Marseille_Exports_1733.csv,Archives de la CCI de Marseille - I 21,2,,,,,Demba,,,0,,,,,,,,,,
