source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Local,1745,Marseille,,Hollande,Exports,Alun,,,14572,,145725,livres,"0,1",sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,1,,,,,Pascal Fontaine,,,"-0,5",,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Amandes cassées,,,41998,,209990,livres,"0,2",sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,2,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Anchois,,,7413,,14826,livres,"0,5",sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,3,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Anis,,,1424,,7123,livres,"0,2",sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,4,,,,,Pascal Fontaine,,,"-0,6",,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Agent vif,,,1246,,356,livres,"3,5",sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,5,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Aristoloche,,,240,,2400,livres,"0,1",sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,6,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Bas de soye,,,6200,,155,livres,40,sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,7,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Baume de la meque,,,720,,60,livres,12,sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,8,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Bois de buis,,,1140,,7600,livres,"0,15",sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,9,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Bois de fumel,,,2090,,20900,livres,"0,1",sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,10,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Bourses en soye,,,2160,,60,pièces,36,sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,11,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Bouchon de liege,,,4167,,1389,livres,3,sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,12,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Caffé des Isles,,,4636,,4636,livres,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,13,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Capres,,,15796,,71800,livres,"0,22",sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,14,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Cantarides,,,1600,,800,livres,2,sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,15,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Citrons,,,4275,,285,milliers,15,sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,16,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Cochenille mesteque,,,15620,,781,livres,20,sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,1,17,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Cocque de Levant,,,835,,1671,livres,"0,5",sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,2,18,,,,,Pascal Fontaine,,,"-0,5",,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Collequinte,,,5232,,4186,livres,"1,25",sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,2,19,,,,,Pascal Fontaine,,,"-0,5",,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Confitures,,,750,,750,livres,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,2,20,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Corail ouvré,,,176000,,1100,livres,160,sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,2,21,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Cotton filé,,,81862,,74420,livres,"1,1",sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,2,22,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Cotton en laine,,,139818,,279636,livres,"0,5",sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,2,23,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Creme de tartre,,,1275,,3986,livres,"0,32",sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,2,24,,,,,Pascal Fontaine,,,"-0,52",,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Cumin,,,1453,,8550,livres,"0,17",sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,2,25,,,,,Pascal Fontaine,,,"-0,5",,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Demitte,,,13200,,3300,pièces,4,sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,2,26,,,,,Pascal Fontaine,,,0,,,,,,,,
Local,1745,Marseille,,Hollande,Exports,Drap londrin,,,2296,,328,livres,7,sources/Local/Archives_de_la_CCI_de_Marseille_I_22_Marseille_Exports_1745.csv,Archives de la CCI de Marseille - I 22,2,27,,,,,Pascal Fontaine,,,0,,,,,,,,
