line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1728,Marseille,,Hollande,Imports,Argent vif,,,657.5,,263,livres,2.5,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1728.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,,
2,Local,1728,Marseille,,Hollande,Imports,Acier,,,377.29999,,1715,livres,.22,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1728.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,,
3,Local,1728,Marseille,,Hollande,Imports,Ambre jaune,,,25,,20,livres,1.25,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1728.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,,
4,Local,1728,Marseille,,Hollande,Imports,Azur fin,,,6,,8,livres,.75,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1728.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,,
5,Local,1728,Marseille,,Hollande,Imports,Azur commun,,,468,,1170,livres,.40000001,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1728.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,,
6,Local,1728,Marseille,,Hollande,Imports,Amidon,,,759.5,,5425,livres,.14,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1728.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,,
7,Local,1728,Marseille,,Hollande,Imports,Antimoine cru,,,232.5,,2325,livres,.1,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1728.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,,
8,Local,1728,Marseille,,Hollande,Imports,Baleine coupée,,,855,,380,livres,2.25,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1728.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,,
9,Local,1728,Marseille,,Hollande,Imports,Chair salée,,,280,,1400,livres,.2,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1728.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,,
10,Local,1728,Marseille,,Hollande,Imports,Canelle,,,7224,,2064,livres,3.5,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1728.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,,
11,Local,1728,Marseille,,Hollande,Imports,Cuir de roussy,,,49.5,,55,livres,.89999998,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1728.csv,Archives de la CCI de Marseille - I 29,1,,,,,Hasna,,,0,,,,,,,,,
12,Local,1728,Marseille,,Hollande,Imports,Crin,,,1532.4,,6385,livres,.23999999,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1728.csv,Archives de la CCI de Marseille - I 29,2,,,,,Hasna,,,0,,,,,,,,,
