line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_value,absurd_quantity,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1745,Marseille,,Holande,Imports,Amidon,,,4691,,23457,livres,.2,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,-.4,,,,,,,,,,
2,Local,1745,Marseille,,Holande,Imports,Antimoine cru,,,146,,977,livres,.15,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,-.55,,,,,,,,,,
3,Local,1745,Marseille,,Holande,Imports,Argent vif,,,2500,,500,livres,5,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,0,,,,,,,,,,
4,Local,1745,Marseille,,Holande,Imports,Arsenic,,,2190,,7300,livres,.3,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,0,,,,,,,,,,
5,Local,1745,Marseille,,Holande,Imports,Avoine,,,280,,20,charges,14,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,0,,,,,,,,,,
6,Local,1745,Marseille,,Holande,Imports,Azur commun,,,6840,,11400,livres,.6,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,0,,,,,,,,,,
7,Local,1745,Marseille,,Holande,Imports,Baleine coupée,,,15675,,3300,livres,4.75,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,0,,,,,,,,,,
8,Local,1745,Marseille,,Holande,Imports,Bœuf salé,,,3350,,16750,livres,.2,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,0,,,,,,,,,,
9,Local,1745,Marseille,,Holande,Imports,Beurre,,,1426,,4756,livres,.3,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,-.8,,,,,,,,,,
10,Local,1745,Marseille,,Holande,Imports,Bierre,,,6200,,124000,livres,.05,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,0,,,,,,,,,,
11,Local,1745,Marseille,,Holande,Imports,Bled froment,,,211500,,11750,charges,18,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,0,,,,,,,,,,
12,Local,1745,Marseille,,Holande,Imports,Bois de campesche,,,1800,,12000,livres,.15,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,0,,,,,,,,,,
13,Local,1745,Marseille,,Holande,Imports,Bois de sandal,,,970,,4850,livres,.2,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,0,,,,,,,,,,
14,Local,1745,Marseille,,Holande,Imports,Bois de sandal moulu,,,1890,,6300,livres,.3,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,0,,,,,,,,,,
15,Local,1745,Marseille,,Holande,Imports,Bois a teindre,,,240,,1600,livres,.15,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,0,,,,,,,,,,
16,Local,1745,Marseille,,Holande,Imports,Bray gras,,,6160,,61600,livres,.1,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,0,,,,,,,,,,
17,Local,1745,Marseille,,Holande,Imports,Cacao,,,196599,,151230,livres,1.3,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,1,,,,,Pascal Fontaine,,,0,,,,,,,,,,
18,Local,1745,Marseille,,Holande,Imports,Canelle,,,27000,,4500,livres,6,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,2,,,,,Pascal Fontaine,,,0,,,,,,,,,,
19,Local,1745,Marseille,,Holande,Imports,Canons de fonte,,,28000,,28000,livres,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,2,,,,,Pascal Fontaine,,,0,,,,,,,,,,
20,Local,1745,Marseille,,Holande,Imports,Ceruze,,,12980,,64900,livres,.2,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,2,,,,,Pascal Fontaine,,,0,,,,,,,,,,
21,Local,1745,Marseille,,Holande,Imports,Chaises de commodité,,,384,,48,en nombre,8,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,2,,,,,Pascal Fontaine,,,0,,,,,,,,,,
22,Local,1745,Marseille,,Holande,Imports,Cinabrium,,,10000,,2000,livres,5,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,2,,,,,Pascal Fontaine,,,0,,,,,,,,,,
23,Local,1745,Marseille,,Holande,Imports,Cire blanche,,,630,,350,livres,1.8,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1745.csv,Archives de la CCI de Marseille - I 29,2,,,,,Pascal Fontaine,,,0,,,,,,,,,,
