line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1778,Marseille,,Angleterre,Imports,Bled ; froment,,,36000,,360000,livres,"0,1",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,1,,,,,Pascal Fontaine,,,0,,,,,,,,
2,Local,1778,Marseille,,Angleterre,Imports,Bois ; de campeche,,,5625,,37500,livres,"0,15",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,1,,,,,Pascal Fontaine,,,0,,,,,,,,
3,Local,1778,Marseille,,Angleterre,Imports,Plomb ; en saumon,,,102040,,501200,livres,"0,2",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,1,,,,,Pascal Fontaine,,erreur de calcul,1800,,,,,,,,
4,Local,1778,Marseille,,Espagne,Imports,Alun,,,5590,,27950,livres,"0,2",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,1,,,,,Pascal Fontaine,,,0,,,,,,,,
5,Local,1778,Marseille,,Espagne,Imports,Amandes,,,1385,,9235,livres,"0,15",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,1,,,,,Pascal Fontaine,,,"-0,25",,,,,,,,
6,Local,1778,Marseille,,Espagne,Imports,Anchoix,,,237500,,475000,livres,"0,5",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,1,,,,,Pascal Fontaine,,,0,,,,,,,,
7,Local,1778,Marseille,,Espagne,Imports,Anis,,,12403,,62019,livres,"0,2",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,1,,,,,Pascal Fontaine,,,"-0,8",,,,,,,,
8,Local,1778,Marseille,,Espagne,Imports,Arquifou,,,63300,,422000,livres,"0,15",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,1,,,,,Pascal Fontaine,,,0,,,,,,,,
9,Local,1778,Marseille,,Espagne,Imports,Auf,,,49694,,496949,livres,"0,1",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,"-0,9",,,,,,,,
10,Local,1778,Marseille,,Espagne,Imports,Avoine,,,59150,,591500,livres,"0,1",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
11,Local,1778,Marseille,,Espagne,Imports,Balais ; de palme,,,72,,1450,livres,"0,05",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,"-0,5",,,,,,,,
12,Local,1778,Marseille,,Espagne,Imports,Boeuf ; salé,,,2952,,9840,livres,"0,3",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
13,Local,1778,Marseille,,Espagne,Imports,Bourre,,,2000,,5000,livres,"0,4",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
14,Local,1778,Marseille,,Espagne,Imports,Bled ; froment,,,35400,,354000,livres,"0,1",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
15,Local,1778,Marseille,,Espagne,Imports,Bois ; a bruler,,,123,,16500,livres,"0,0075",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,"-0,75",,,,,,,,
16,Local,1778,Marseille,,Espagne,Imports,Bois ; de bresil,,,17320,,86600,livres,"0,2",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
17,Local,1778,Marseille,,Espagne,Imports,Bois ; de campeche,,,204539,,1363597,livres,"0,15",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,"-0,55",,,,,,,,
18,Local,1778,Marseille,,Espagne,Imports,Cacao,,,20854,,16042,livres,"1,3",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,"-0,6",,,,,,,,
19,Local,1778,Marseille,,Espagne,Imports,Capres,,,1000,,2000,livres,"0,5",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
20,Local,1778,Marseille,,Espagne,Imports,Charbon ; de bois,,,2400,,80000,livres,"0,03",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
21,Local,1778,Marseille,,Espagne,Imports,Chocolat,,,320,,160,livres,2,sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
22,Local,1778,Marseille,,Espagne,Imports,Cire ; jaune,,,48297,,32198,livres,"1,5",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
23,Local,1778,Marseille,,Espagne,Imports,Cochenille,,,1723374,,95743,livres,18,sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
24,Local,1778,Marseille,,Espagne,Imports,Colle ; forte,,,5400,,13500,livres,"0,4",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
25,Local,1778,Marseille,,Espagne,Imports,Coloquinte,,,1200,,1200,livres,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
26,Local,1778,Marseille,,Espagne,Imports,Corail ; brut,,,600,,1200,livres,"0,5",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
27,Local,1778,Marseille,,Espagne,Imports,Cornes ; de mouton,,,3963,,39631,livres,"0,1",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,"-0,1",,,,,,,,
28,Local,1778,Marseille,,Espagne,Imports,Coton ; en laine,,,10320,,17200,livres,"0,6",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
29,Local,1778,Marseille,,Espagne,Imports,Cuirs ; de bœuf ; en poil,,,98982,,659882,livres,"0,15",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,"-0,3",,,,,,,,
30,Local,1778,Marseille,,Espagne,Imports,Cuivre ; brut,,,219100,,219100,livres,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
31,Local,1778,Marseille,,Espagne,Imports,Drogueries,,,2020,,1010,livres,2,sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
32,Local,1778,Marseille,,Espagne,Imports,Eau de vie,,,32260,,161300,livres,"0,2",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
33,Local,1778,Marseille,,Espagne,Imports,Etain ; en bloc,,,18000,,30000,livres,"0,6",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
34,Local,1778,Marseille,,Espagne,Imports,Figues,,,59445,,396300,livres,"0,15",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
35,Local,1778,Marseille,,Espagne,Imports,Fromages,,,24250,,97000,livres,"0,25",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
36,Local,1778,Marseille,,Espagne,Imports,Fumier,,,178,,118710,livres,"0,0015",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,"-0,06",,,,,,,,
37,Local,1778,Marseille,,Espagne,Imports,Galles,,,1600,,4000,livres,"0,4",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
38,Local,1778,Marseille,,Espagne,Imports,Grabeau ; de cochenille,,,101085,,20217,livres,5,sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
39,Local,1778,Marseille,,Espagne,Imports,Graine ; longue,,,710,,7100,livres,"0,1",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
40,Local,1778,Marseille,,Espagne,Imports,Huile ; d'olive,,,83016,,2306,milleroles,36,sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
41,Local,1778,Marseille,,Espagne,Imports,Huile ; de poisson,,,1500,,6000,livres,"0,25",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
42,Local,1778,Marseille,,Espagne,Imports,Jalap,,,35238,,23492,livres,"1,5",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
43,Local,1778,Marseille,,Espagne,Imports,Indigo,,,59855,,11971,livres,5,sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
44,Local,1778,Marseille,,Espagne,Imports,Jus ; de citron,,,2100,,7000,livres,"0,3",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
45,Local,1778,Marseille,,Espagne,Imports,Jus ; de reglisse,,,8550,,34200,livres,"0,25",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
46,Local,1778,Marseille,,Espagne,Imports,Laine ; diverses,,,562989,,750653,livres,"0,75",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,"-0,75",,,,,,,,
47,Local,1778,Marseille,,Espagne,Imports,Laine ; lavée,,,107900,,107900,livres,1,sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
48,Local,1778,Marseille,,Espagne,Imports,Legumes,,,600,,6000,livres,"0,1",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
49,Local,1778,Marseille,,Espagne,Imports,Liege,,,22325,,89300,livres,"0,25",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
50,Local,1778,Marseille,,Espagne,Imports,Manne,,,15050,,8600,livres,"1,75",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
51,Local,1778,Marseille,,Espagne,Imports,Mercerie,,,2800,,700,livres,4,sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
52,Local,1778,Marseille,,Espagne,Imports,Miel,,,4000,,20000,livres,"0,2",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
53,Local,1778,Marseille,,Espagne,Imports,Millet ; gros,,,25150,,503000,livres,"0,05",sources/Local/Archives_de_la_CCI_de_Marseille_I_31_Marseille_Imports_1778.csv,Archives de la CCI de Marseille - I 31,2,,,,,Pascal Fontaine,,,0,,,,,,,,
