line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Bazin,,,744,,186,Livres,4,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
2,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Bois ; de marqueterie,,,1242,,4140,Livres,.30000001,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
3,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Bois ; de pallisandre,,,52.5,,525,Livres,.1,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
4,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Caffé,,,4057.2,,4508,Livres,.89999998,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
5,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Camelot de laine,,,2352,,392,Livres,6,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
6,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Confitures,,,193,,193,Livres,1,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
7,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Coton filé,,,390,,78,Livres,5,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
8,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Coutil,,,1190,,595,Livres,2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
9,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Couvertures de laine,,,308,,154,Livres,2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
10,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Drap ; d'Elbeuf,,,111044.5,,7931.75,Aulnes,14,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
11,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Drap ; d'Arnetal,,,259,,18.5,Aulnes,14,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
12,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Drap ; de Lodève,,,910,,130,Aulnes,7,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
13,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Drap ; de Louviers,,,41355,,2297.5,Aulnes,18,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
14,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Drap ; de Sedan,,,335.5,,15.25,Aulnes,22,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
15,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Epingles,,,1870,,,,,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
16,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Etamines du mans,,,432,,72,Livres,6,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,1,,,,,Pascal Fontaine,,,,,,,,,,,,
17,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Espagnolette ; croisée,,,22267,,3181,Livres,7,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,2,,,,,Pascal Fontaine,,,,,,,,,,,,
18,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Espagnolette ; simple,,,4506,,751,Livres,6,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,2,,,,,Pascal Fontaine,,,,,,,,,,,,
19,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Etoffe ; au quart,,,47620,,2381,Livres,20,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,2,,,,,Pascal Fontaine,,,,,,,,,,,,
20,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Etoffe ; de soye,,,150,,2.5,Livres,60,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,2,,,,,Pascal Fontaine,,,,,,,,,,,,
21,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Flanelle ; simple,,,1167.5,,467,Livres,2.5,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,2,,,,,Pascal Fontaine,,,,,,,,,,,,
22,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Flanelle ; a fleurs,,,1580,,395,Livres,4,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,2,,,,,Pascal Fontaine,,,,,,,,,,,,
23,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Huile de terebenthine,,,130,,,,,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,2,,,,,Pascal Fontaine,,,,,,,,,,,,
24,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Indienne,,,60,,15,Livres,4,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,2,,,,,Pascal Fontaine,,,,,,,,,,,,
25,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Mercerie,,,511,,,,,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,2,,,,,Pascal Fontaine,,,,,,,,,,,,
26,Local,1767,Rouen,,Allemagne la Loraine et le pays de Liege,Exports,Molton,,,364,,91,Livres,4,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_110_Rouen_Exports_1767.csv,Archives de la CCI de Rouen Carton VIII 110,2,,,,,Pascal Fontaine,,,,,,,,,,,,
