source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Local,1732,Caen,,Hollande,Exports,Aigre ; de cidre,,,0,,,pots,0.15,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,9,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Amidon,,,0,,,livres,0.135,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Ardoises,,,0,,,miliers,38,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Armoire ; ayant servi,,,0,,,estimées,20,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Bas ; de soye,,,45,,,,,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Portugal,Exports,Basanes ; tannées,,,0,,,douzaines,24,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,9,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Baterie ; d'airain,,,0,,,livres,180.0075,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Beure,,,0,,,livres,0.3,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Bois ; travaillé,,,336,,,,,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Bois ; à bâtir,,,0,,,chariot,50,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Cailles,,,0,,,douzaines,1.8,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Cardes ; vieilles,,,0,,,douzaine,12,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,7,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Careaux ; moulage ; de France,,,0,,,pièces,1.2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,7,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Cartes ; à jouer,,,0,,,livres,2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Cerises,,,6,,,,,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Chandelle,,,0,,,livres,0.45,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,7,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Portugal,Exports,Chapeaux ; castor,,,0,,,en nombre,18,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,9,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Charuës,,,0,,,en nombre,30,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,7,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Chataignes,,,0,,,li,0.15,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Chaux,,,0,,,tonneaux,20,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,7,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Cheveux,,,355,,,,,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Cidre,,,0,,,bariques,20,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Clous ; de fer,,,0,,,livres,0.28,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,7,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Colier ; de chevaux,,,0,,,en nombre,3.5,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Hollande,Exports,Cornes ; de beuf,,,0,,,en nombre,0.25,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,9,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Coton ; filé,,,0,,,livres,3,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Coutil,,,0,,,livres,2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Coutil,,,0,,,aunes,2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Craye,,,0,,,barils,40,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,7,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Cribles ; à blé,,,0,,,douzaines,36,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Cuirs ; de vache ; tannés,,,0,,,en nombre,8,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Cuivre ; en mitraille,,,0,,,livres,1.2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,7,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Cuivre ; ouvré,,,0,,,livres,2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,6,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Damas ; caffart,,,0,,,livres,10,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,7,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Dap ; de laine ; fin,,,0,,,livres,15,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,7,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Dentelle ; de fil,,,0,,,livres,300,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,7,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Hollande,Exports,Dominoterie,,,0,,,livres,5,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,9,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Hollande,Exports,Eau ; de vie,,,0,,,pots,2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,9,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Hollande,Exports,Eau ; divine,,,0,,,livres,2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,9,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Eau de vie,,,0,,,muids,180,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,7,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Portugal,Exports,Etamine,,,0,,,livres,6,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,9,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Fer ; en verges,,,0,,,livres,0.225,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,7,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Fer ; ouvré,,,0,,,livres,0.28,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,7,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1732,Caen,,Angleterre,Exports,Fil ; d'étoupe,,,0,,,livres,0.75,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,7,,,,,,Pascal Fontaine,,,,,,,,,,,
