source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Local,1776,Caen,,Angleterre,Imports,Bois ; de campêche,,,1268.75,,,livres,0.125,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1776,Caen,,Angleterre,Imports,Bois ; à teindre,,,3306.25,,,livres,0.125,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1776,Caen,,Angleterre,Imports,Briques,,,80,,,milliers,10,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1776,Caen,,Angleterre,Imports,Charbon ; de terre,,,22372,,,tonneaux,28,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1776,Caen,,Angleterre,Imports,Chevaux,,,1000,,,en nombre,250,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1776,Caen,,Angleterre,Imports,Cire ; jeaune,,,104,,,livres,2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1776,Caen,,Angleterre,Imports,Couperose,,,4580,,,livres,0.1,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1776,Caen,,Angleterre,Imports,Cuivre ; vieux,,,900,,,livres,0.9,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1776,Caen,,Angleterre,Imports,Etain ; en saumons,,,2023.2,,,livres,0.9,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1776,Caen,,Angleterre,Imports,Laine ; filée,,,1610,,,livres,4,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1776,Caen,,Angleterre,Imports,Laine ; peignée,,,38247,,,livres,3,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1776,Caen,,Angleterre,Imports,Laine ; en suin,,,14110,,,livres,1.5,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1776,Caen,,Angleterre,Imports,Marchandises ; meslées,,,548,,,,,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,2,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1776,Caen,,Angleterre,Imports,Meules ; à taillandier,,,5250,,,en nombre,30,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,2,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1776,Caen,,Angleterre,Imports,Peaux ; de mouton ; en laine,,,2507.5,,,peaux,2.5,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,2,,,,,,Pascal Fontaine,,,,,,,,,,,
Local,1776,Caen,,Angleterre,Imports,Plomb ; en saumons,,,11179,,,livres,0.2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Caen_Imports_1776.csv,Archives de la CCI de Rouen Carton VIII,2,,,,,,Pascal Fontaine,,,,,,,,,,,
