line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1730,Rouen,,Angleterre,Exports,Amandes ; en coques,,,,0,950,livres,.2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
2,Local,1730,Rouen,,Angleterre,Exports,Beure,,,,0,75,livres,.40000001,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
3,Local,1730,Rouen,,Angleterre,Exports,Confitures,,,,0,134,livres,1.1,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
4,Local,1730,Rouen,,Angleterre,Exports,Cidre,,,,0,54,muids,50,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
5,Local,1730,Rouen,,Angleterre,Exports,Eau de vie,,,,0,9,muids,280,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
6,Local,1730,Rouen,,Angleterre,Exports,Eau de vie,,,,0,36,pots,1.9,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
7,Local,1730,Rouen,,Angleterre,Exports,Eau de Mélice,,,,0,17,livres,3,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
8,Local,1730,Rouen,,Angleterre,Exports,Fromage ; de Normandie,,,,0,1440,livres,.5,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
9,Local,1730,Rouen,,Angleterre,Exports,Fruit ; sec,,,,0,350,livres,.5,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
10,Local,1730,Rouen,,Angleterre,Exports,Fruit ; cru,,,,0,16,barils,12,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
11,Local,1730,Rouen,,Angleterre,Exports,Fleurs ; artificielles,,,55,0,,,,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
12,Local,1730,Rouen,,Angleterre,Exports,Miel,,,,0,150,livres,.15000001,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
13,Local,1730,Rouen,,Angleterre,Exports,Navets,,,,0,1,baril,5,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
14,Local,1730,Rouen,,Angleterre,Exports,Pommes,,,,0,20,charges,3,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
15,Local,1730,Rouen,,Angleterre,Exports,Pruneaux ; de Sainte Catherine,,,,0,3450,livres,.40000001,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
16,Local,1730,Rouen,,Angleterre,Exports,Poivre,,,,0,4,livres,1.1,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1730.csv,Archives de la CCI de Rouen Carton VIII,1,,,,,Pascal Fontaine,,,,,,,,,,,,
