line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
749,Local,1732,Rouen,,Angleterre,Exports,Amidon,,,,0,1000,livres,.13,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,23,,,,,Pascal Fontaine,,%,,,,,,,,,,
750,Local,1732,Rouen,,Angleterre,Exports,Arbres ; fruitiers,,,95,0,,,,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,23,,,,,Pascal Fontaine,,,,,,,,,,,,
751,Local,1732,Rouen,,Angleterre,Exports,Boutons ; de fil or et argent,,,,0,7.5,livres,70,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,23,,,,,Pascal Fontaine,,,,,,,,,,,,
752,Local,1732,Rouen,,Angleterre,Exports,Boutons ; de crin,,,,0,100,livres,10,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,23,,,,,Pascal Fontaine,,,,,,,,,,,,
753,Local,1732,Rouen,,Angleterre,Exports,Bustes ; de marbre,,,850,0,14,estimés,60.709999,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,23,,,,,Pascal Fontaine,,estimation de 850 livres pour 14 bustes,,,,,,,,,,
754,Local,1732,Rouen,,Angleterre,Exports,Bas relief ; de marbre,,,210,0,4,estimés,52.5,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,23,,,,,Pascal Fontaine,,estimation de 210 livrespour 4 bas reliefs,,,,,,,,,,
755,Local,1732,Rouen,,Angleterre,Exports,Bordures ; de bois ; doré,,,478,0,,,,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,23,,,,,Pascal Fontaine,,,,,,,,,,,,
756,Local,1732,Rouen,,Angleterre,Exports,Bureau,,,,0,1,estimé,75,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,23,,,,,Pascal Fontaine,,,,,,,,,,,,
757,Local,1732,Rouen,,Angleterre,Exports,Bonnets ; à la turc ; de fer ; blanc,,,,0,1,estimé,70,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,23,,,,,Pascal Fontaine,,,,,,,,,,,,
758,Local,1732,Rouen,,Angleterre,Exports,Bougie ; de cire ; blanche,,,,0,100,livres,2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,23,,,,,Pascal Fontaine,,,,,,,,,,,,
759,Local,1732,Rouen,,Angleterre,Exports,Balais ; de laine ; à laver les planchéts,,,,0,500,livres,.2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,23,,,,,Pascal Fontaine,,,,,,,,,,,,
760,Local,1732,Rouen,,Angleterre,Exports,Confitures,,,,0,180,livres,1.1,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,23,,,,,Pascal Fontaine,,,,,,,,,,,,
761,Local,1732,Rouen,,Angleterre,Exports,Cidre,,,,0,.5,muids,50,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,23,,,,,Pascal Fontaine,,,,,,,,,,,,
762,Local,1732,Rouen,,Angleterre,Exports,Cartes ; à jouer,,,,0,500,livres,2,sources/Local/Archives_de_la_CCI_de_Rouen_Carton_VIII_Rouen_Exports_1732.csv,Archives de la CCI de Rouen Carton VIII,24,,,,,Pascal Fontaine,,,,,,,,,,,,
