numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Bled froment,Angleterre,"1 420,00",Boisseaux,"9,5000000","13490,00","0,00",,,,
2,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Bœuf salé,Angleterre,"7 167,00",Barils,"30,0000000","215010,00","0,00",,,,
3,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Beurre,Angleterre,"1 403 487,50",Livres,"0,3500000","491220,63","0,00",,,,
4,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Bierre,Angleterre,"11,00",Barriques,"30,0000000","330,00","0,00",,,,
5,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Fromage,Angleterre,"141 550,00",Livres,"0,2200000","31141,00","0,00",,,,
6,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Morue seche,Angleterre,"2 715,00",Livres,"0,2200000","597,30","0,00",,,,
7,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Saumon salé,Angleterre,"311,50",Barils,"45,0000000","14017,50","0,00",,,,
8,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Thé,Angleterre,"13,00",Livres,"14,0000000","182,00","0,00",,,,
9,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Bourdillons,Angleterre,"957,00",Pieces,"1,4000000","1339,80","0,00",,,,
10,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Barriques en bottes,Angleterre,"1 830,00",Nombre,"4,0000000","7320,00","0,00",,,,
11,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Barrils vuides,Angleterre,"100,00",Nombre,"0,9000000","90,00","0,00",,,,
12,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Bourre de beuf,Angleterre,"60,00",Livres,"0,1500000","9,00","0,00",,,,
13,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Cuirs vert en poil,Angleterre,"1 083,00",Nombre,"15,0000000","16245,00","0,00",,,,
14,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Cire jaune,Angleterre,"305,00",Livres,"2,0000000","610,00","0,00",,,,
15,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Charbon de terre,Angleterre,"86,00",Tonneaux,"300,0000000","25800,00","0,00",,,,
16,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Graine de lain,Angleterre,"30,00",Livres,"0,1000000","3,00","0,00",,,,
17,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Huille de poisson,Angleterre,"4 100,00",Livres,"0,3500000","1435,00","0,00",,,,
18,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Laine,Angleterre,"1 300,00",Livres,"1,0000000","1300,00","0,00",,,,
19,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Planches de sapin,Angleterre,"1 650,00",Nombre,"1,0000000","1650,00","0,00",,,,
20,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Planches de sapin fendues,Angleterre,"290,00",Nombre,"0,7500000","217,50","0,00",,,,
21,Demba,AD 33 C4269,Local/Bordeaux/Bordeaux - Entrées - 1721.csv,Local,1721,Imports,Bordeaux,1,Pierres a eguisser,Angleterre,"10,00",Milliers,"10,0000000","100,00","0,00",,,,
