numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,Droits unitaires,value,probleme,remarks
1,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,2,1725-1726,Acier,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,17",Quintaux,"3,000","0,00","0,00",Mesure d'origine livre
2,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,2,1725-1726,Acier,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,50",Quintaux,"1,400","0,00","0,00",Mesure d'origine livre
3,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,2,1725-1726,Acier,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,17",Quintaux,"1,150","0,00","0,00",Mesure d'origine livre
4,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,2,1725-1726,Acier non ouvré,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,13",Quintaux,"1,400","0,00","0,00",Mesure d'origine livre
5,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,2,1725-1726,Amadoue,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,40",Quintaux,"2,500","0,00","0,00",Mesure d'origine livre
6,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,2,1725-1726,Alun,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,20",Quintaux,"4,583","0,00","0,00",Mesure d'origine livre
7,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,2,1725-1726,Agaric gros,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"2,60",Quintaux,"3,000","0,00","0,00",Mesure d'origine livre
8,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,2,1725-1726,Bruyeres etrangeres non montées,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,50",Quintaux,"1,000","0,00","0,00",Mesure d'origine livre
9,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,2,1725-1726,Bruyeres a faire des verjettes,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,08",Quintaux,"1,000","0,00","0,00",Mesure d'origine livre
10,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,2,1725-1726,Beches de fer,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"8,00",Douzaines,"0,150","0,00","0,00",
11,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,2,1725-1726,Boutons,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,75",Quintaux,"0,750","0,00","0,00",Mesure d'origine livre
