numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Aloès,Marseille,Hollande,"1 100,00",livres,"1,0000","1100,00","0,00",
2,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Amidon,Marseille,Hollande,"2 500,00",livres,"0,2000","500,00","0,00",
3,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Ancres de fer,Marseille,Hollande,"115 000,00",livres,"0,2000","23000,00","0,00",
4,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Arcenic,Marseille,Hollande,"850,00",livres,"0,3000","255,00","0,00",
5,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Avoine,Marseille,Hollande,"183,00",charges,"12,0000","2196,00","0,00",
6,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Balaine coupée,Marseille,Hollande,"21 950,00",livres,"4,7500","104262,00","-0,50",
7,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Baume de copahu,Marseille,Hollande,"383,00",livres,"5,0000","1915,00","0,00",
8,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Beuf salé,Marseille,Hollande,"19 000,00",livres,"0,2000","3800,00","0,00",
9,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Beure,Marseille,Hollande,"23 760,00",livres,"0,3000","7128,00","0,00",
10,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Bierre,Marseille,Hollande,"133 900,00",livres,"0,0500","6695,00","0,00",
11,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Bled froment,Marseille,Hollande,"32 336,00",charges,"18,0000","582048,00","0,00",
12,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Bois de bresil,Marseille,Hollande,"59 645,00",livres,"0,2500","14911,00","-0,25",
13,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Bois a bruler,Marseille,Hollande,"26 000,00",livres,"0,0090","234,00","0,00",
14,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Bois de campeche,Marseille,Hollande,"356 350,00",livres,"0,1500","53452,00","-0,50",
15,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Bois de gayac,Marseille,Hollande,"150,00",livres,"0,6000","90,00","0,00",
16,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Bois jaune,Marseille,Hollande,"5 650,00",livres,"0,1200","678,00","0,00",
17,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Bois pour mature,Marseille,Hollande,"52,00",pieces,"60,0000","3120,00","0,00",
18,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,bois de salsafras,Marseille,Hollande,"1 500,00",livres,"0,5000","750,00","0,00",
19,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Bois de sandal moulu,Marseille,Hollande,"49 830,00",livres,"0,3000","14949,00","0,00",
20,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Borax,Marseille,Hollande,"300,00",livres,"0,2500","75,00","0,00",
21,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Bray gras,Marseille,Hollande,"80 000,00",livres,"0,1000","8000,00","0,00",
22,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Cacao,Marseille,Hollande,"175 409,00",livres,"1,3000","228031,00","-0,70",
23,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,1,1743,Imports,Cabarets a caffé,Marseille,Hollande,"27,00",douzaines,"5,0000","135,00","0,00",
24,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,2,1743,Imports,Caffé des isles,Marseille,Hollande,"10 000,00",livres,"0,6000","6000,00","0,00",
25,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,2,1743,Imports,Camphre,Marseille,Hollande,"1 265,00",livres,"2,5000","3162,00","-0,50",
26,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,2,1743,Imports,Canelle,Marseille,Hollande,"26 640,00",livres,"6,0000","159840,00","0,00",
27,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,2,1743,Imports,Cassia lignea,Marseille,Hollande,"84,00",livres,"2,5000","210,00","0,00",
28,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,2,1743,Imports,Ceruze,Marseille,Hollande,"87 480,00",livres,"0,2000","17496,00","0,00",
29,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1743,Local,2,1743,Imports,Chandelle,Marseille,Hollande,"1 660,00",livres,"0,4500","747,00","0,00",
