numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,1,1756,Imports,arquifou,Marseille,Angleterre,"126 700,00",livres,"0,1500000","19005,00","0,00",
2,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,1,1756,Imports,harangs fumés,Marseille,Angleterre,"1 200,00",barils,"24,0000000","28800,00","0,00",
3,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,1,1756,Imports,plomb en saumon,Marseille,Angleterre,"413 500,00",livres,"0,2000000","82700,00","0,00",
4,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,1,1756,Imports,acier,Marseille,Espagne,"8 750,00",livres,"0,3500000","3062,00","-0,50",
5,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,1,1756,Imports,amendes,Marseille,Espagne,"29 790,00",livres,"0,2000000","5958,00","0,00",
6,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,1,1756,Imports,ancres de fer,Marseille,Espagne,"3 000,00",livres,"0,2000000","600,00","0,00",
7,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,1,1756,Imports,anis,Marseille,Espagne,"57 808,00",livres,"0,2000000","11561,00","-0,60",
8,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,1,1756,Imports,arquifou,Marseille,Espagne,"45 000,00",livres,"0,1500000","6750,00","0,00",
9,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,1,1756,Imports,avoine,Marseille,Espagne,"100,00",charges,"12,0000000","1200,00","0,00",
10,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,1,1756,Imports,balais de palmes,Marseille,Espagne,"18 805,00",douzaines,"0,9000000","16924,00","-0,50",
11,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,1,1756,Imports,beaume du Perou,Marseille,Espagne,"717,00",livres,"10,0000000","7170,00","0,00",
12,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,bœuf salé,Marseille,Espagne,"485,00",livres,"35,0000000","16975,00","0,00",
13,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,beurre,Marseille,Espagne,"4 000,00",livres,"0,4000000","1600,00","0,00",
14,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,bled froment,Marseille,Espagne,"89 467,00",livres,"20,0000000","1789340,00","0,00",
15,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,bonnets de laine,Marseille,Espagne,"1 510,00",livres,"9,0000000","13590,00","0,00",
16,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,biscuit de mer,Marseille,Espagne,"12 100,00",livres,"0,1200000","1452,00","0,00",
17,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,bois a bruler,Marseille,Espagne,"13 500,00",livres,"0,7500000","10125,00","0,00",
18,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,bois de campeche,Marseille,Espagne,"287 780,00",livres,"0,1500000","43167,00","0,00",
19,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,bois de ste marthe,Marseille,Espagne,"759 100,00",livres,"0,2000000","151820,00","0,00",
20,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,bouchons de liege,Marseille,Espagne,"3 600,00",livres,"3,0000000","10800,00","0,00",
21,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,bourde,Marseille,Espagne,"7 249 000,00",livres,"0,0800000","579920,00","0,00",
22,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,bourre,Marseille,Espagne,"1 990,00",livres,"0,5000000","995,00","0,00",
23,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,brun rouge,Marseille,Espagne,"70 800,00",livres,"0,0250000","1770,00","0,00",
24,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,cacao,Marseille,Espagne,"169 515,00",livres,"1,3000000","220369,00","-0,50",
25,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,caffé,Marseille,Espagne,"396 334,00",livres,"0,7500000","297250,00","-0,50",
26,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,caneffice,Marseille,Espagne,"18 932,00",livres,"0,3000000","5679,00","-0,60",
27,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,canelle,Marseille,Espagne,"244,00",livres,"6,0000000","1464,00","0,00",
28,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,capres,Marseille,Espagne,"79 645,00",livres,"0,2200000","17521,00","-0,90",
29,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,cendres,Marseille,Espagne,"45 800,00",livres,"0,0800000","3664,00","0,00",
30,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,chanvre cru,Marseille,Espagne,"21 100,00",livres,"0,1800000","3798,00","0,00",
31,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,chocolat,Marseille,Espagne,"300,00",livres,"2,0000000","600,00","0,00",
32,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,cire jaune,Marseille,Espagne,"2 386,00",livres,"1,5000000","3579,00","0,00",
33,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,citrons,Marseille,Espagne,"24,00",milliers,"15,0000000","360,00","0,00",
34,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,cochenille,Marseille,Espagne,"50 748,00",livres,"17,0000000","862716,00","0,00",
35,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1756,Local,2,1756,Imports,coloquinte,Marseille,Espagne,"920,00",livres,"0,7500000","690,00","0,00",
