numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,unverified
1,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Bois d'acajou,Allemagne,6,Madrier,30,,,,1
2,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Bois de Gayac,Allemagne,14000,Livre,"0,45",,,Prix unitaire en pourcentage,1
3,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Bois rouge,Allemagne,3605,Livre,"0,09",,,Prix unitaire en pourcentage,1
4,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Cacao,Allemagne,1010,Livre,"0,45",,,Prix unitaire en pourcentage,1
5,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Caffé,Allemagne,1120735,Livre,"0,5",,,,1
6,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Chaises,Allemagne,"16,75",Douzaine,22,,,Quantité originale = 201 nombre,1
7,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Confitures,Allemagne,24,Livre,"1,25",,,,1
8,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Crème de tartre,Allemagne,100,Livre,"0,45",,,,1
9,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Drogueries,Allemagne,641,Livre,"2,1",,,,1
10,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Eau de vie,Allemagne,515,Velte,4,,,,1
11,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Fleur de canelle,Allemagne,163,Livre,12,,,,1
12,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Guinée,Allemagne,538,Pièce,18,,,,1
13,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Huile d'olive,Allemagne,1220,Livre,"0,7",,,,1
14,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Indigo,Allemagne,80412,Livre,"7,5",,,,1
15,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Librairie,Allemagne,45,Livre,"3,5",,,,1
16,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Liqueurs,Allemagne,108,Bouteille,3,,,,1
17,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Miel,Allemagne,12234,Livre,"0,175",,,,1
18,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,1,Peaux de veau corroyées,Allemagne,129,Douzaine,40,,,,1
19,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,2,Pierres à fusil,Allemagne,36340,Nombre,"0,003",,,Prix unitaire en millier,1
20,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1778.csv,Local,1778,Exports,Nantes,2,Ris,Allemagne,182704,Livre,"0,2",,,Prix unitaire en pourcentage,1
