numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,unverified
1,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1743.csv,Local,1743,Imports,Nantes,1,bœuf salé,Angleterre,"12 571,00",barils,"30,0000000","377130,00","0,00",,1
2,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1743.csv,Local,1743,Imports,Nantes,1,bœuf salé,Angleterre,"171,00",tierçons,"50,0000000","8550,00","0,00",,1
3,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1743.csv,Local,1743,Imports,Nantes,1,bœuf salé,Angleterre,"168 807,00",livres,"0,1500000","25321,00","-0,05",,1
4,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1743.csv,Local,1743,Imports,Nantes,1,beure,Angleterre,"512 700,00",livres,"0,3000000","153810,00","0,00",,1
5,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1743.csv,Local,1743,Imports,Nantes,1,bled froment,Angleterre,"22,00",tonneaux,"110,0000000","2420,00","0,00",,1
6,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1743.csv,Local,1743,Imports,Nantes,1,chandelle,Angleterre,"31 853,00",livres,"0,4000000","12741,00","-0,20",,1
7,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1743.csv,Local,1743,Imports,Nantes,1,charbon de terre,Angleterre,"988,00",bariques,"13,5000000","3458,00","-9 880,00",erreur de calcul,1
8,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1743.csv,Local,1743,Imports,Nantes,1,charbon de terre,Angleterre,"1 720,00",barils,"3,3750000","7097,00","1 292,00",erreur de calcul,1
9,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1743.csv,Local,1743,Imports,Nantes,1,charbon de terre,Angleterre,"513 600,00",livres,"0,0135000","6933,00","-0,60",,1
10,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1743.csv,Local,1743,Imports,Nantes,1,crins de cheval,Angleterre,"6 192,00",livres,"0,5000000","3096,00","0,00",,1
11,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1743.csv,Local,1743,Imports,Nantes,1,cuirs verds en poil,Angleterre,"1 879,00",livres,"0,3000000","563,00","-0,70",,1
12,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1743.csv,Local,1743,Imports,Nantes,1,etaim en saumon,Angleterre,"1 000,00",livres,"1,1000000","1100,00","0,00",,1
13,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1743.csv,Local,1743,Imports,Nantes,1,farine,Angleterre,"40,00",tonneaux,"240,0000000","9600,00","0,00",,1
14,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1743.csv,Local,1743,Imports,Nantes,1,feves,Angleterre,"16,00",tonneaux,"130,0000000","2080,00","0,00",,1
15,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1743.csv,Local,1743,Imports,Nantes,1,fromages,Angleterre,"29 186,00",livres,"0,1500000","4377,00","-0,90",,1
